TIMESTAMP,ZOOMER27424_OPEN_PRICE_USD,ZOOMER27424_HIGH_PRICE_USD,ZOOMER27424_LOW_PRICE_USD,ZOOMER27424_CLOSE_PRICE_USD,ZOOMER27424_VOLUME_USD,ZOOMER27424_DIVIDENDS_USD,ZOOMER27424_STOCK_SPLITS_USD
2023-07-08 00:00:00+00:00,1.4999999621068127e-05,2.700000004551839e-05,1.1000000085914508e-05,1.700000029813964e-05,310349,0.0,0.0
2023-07-09 00:00:00+00:00,1.700000029813964e-05,3.199999991920777e-05,1.2000000424450263e-05,2.5999999706982635e-05,627340,0.0,0.0
2023-07-10 00:00:00+00:00,,,,0.0,1502619,0.0,0.0
2023-07-11 00:00:00+00:00,,,,0.0,439063,0.0,0.0
2023-07-12 00:00:00+00:00,0.0,4.999999873689376e-05,0.0,3.199999991920777e-05,495797,0.0,0.0
2023-07-13 00:00:00+00:00,3.199999991920777e-05,4.8000001697801054e-05,2.5999999706982635e-05,3.600000127335079e-05,408872,0.0,0.0
2023-07-14 00:00:00+00:00,3.600000127335079e-05,3.7999998312443495e-05,2.700000004551839e-05,3.099999958067201e-05,325528,0.0,0.0
2023-07-15 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,2.300000051036477e-05,2.300000051036477e-05,126701,0.0,0.0
2023-07-16 00:00:00+00:00,2.300000051036477e-05,3.400000059627928e-05,2.300000051036477e-05,2.499999936844688e-05,308540,0.0,0.0
2023-07-17 00:00:00+00:00,2.499999936844688e-05,2.9000000722589903e-05,1.8999999156221747e-05,2.2000000171829015e-05,205998,0.0,0.0
2023-07-18 00:00:00+00:00,2.099999983329326e-05,3.600000127335079e-05,1.8999999156221747e-05,2.4000000848900527e-05,271561,0.0,0.0
2023-07-19 00:00:00+00:00,2.4000000848900527e-05,2.9999999242136255e-05,2.099999983329326e-05,2.499999936844688e-05,264381,0.0,0.0
2023-07-20 00:00:00+00:00,2.499999936844688e-05,3.099999958067201e-05,1.8000000636675395e-05,2.4000000848900527e-05,487987,0.0,0.0
2023-07-21 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,1.700000029813964e-05,1.8000000636675395e-05,110834,0.0,0.0
2023-07-22 00:00:00+00:00,1.8000000636675395e-05,2.2000000171829015e-05,1.4000000192027073e-05,1.5999999959603883e-05,218942,0.0,0.0
2023-07-23 00:00:00+00:00,1.5999999959603883e-05,1.9999999494757503e-05,9.000000318337698e-06,1.2999999853491317e-05,308989,0.0,0.0
2023-07-24 00:00:00+00:00,1.2999999853491317e-05,1.9999999494757503e-05,7.999999979801942e-06,1.2999999853491317e-05,405039,0.0,0.0
