TIMESTAMP,O_OPEN_PRICE_USD,O_HIGH_PRICE_USD,O_LOW_PRICE_USD,O_CLOSE_PRICE_USD,O_VOLUME_USD,O_DIVIDENDS_USD,O_STOCK_SPLITS_USD
2022-09-15 00:00:00+00:00,3.899999865097925e-05,4.3000000005122274e-05,3.7999998312443495e-05,3.899999865097925e-05,525776,0.0,0.0
2022-09-16 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,2.9999999242136255e-05,3.400000059627928e-05,687062,0.0,0.0
2022-09-17 00:00:00+00:00,3.400000059627928e-05,3.5000000934815034e-05,3.300000025774352e-05,3.5000000934815034e-05,192665,0.0,0.0
2022-09-18 00:00:00+00:00,3.5000000934815034e-05,3.600000127335079e-05,2.700000004551839e-05,2.8000000384054147e-05,547360,0.0,0.0
2022-09-19 00:00:00+00:00,2.8000000384054147e-05,3.099999958067201e-05,2.8000000384054147e-05,2.9999999242136255e-05,295524,0.0,0.0
2022-09-20 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.700000004551839e-05,2.700000004551839e-05,241892,0.0,0.0
2022-09-21 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.499999936844688e-05,2.499999936844688e-05,392399,0.0,0.0
2022-09-22 00:00:00+00:00,2.499999936844688e-05,2.700000004551839e-05,2.499999936844688e-05,2.700000004551839e-05,178199,0.0,0.0
2022-09-23 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.5999999706982635e-05,2.700000004551839e-05,101921,0.0,0.0
2022-09-24 00:00:00+00:00,2.700000004551839e-05,2.9999999242136255e-05,2.700000004551839e-05,2.9999999242136255e-05,234020,0.0,0.0
2022-09-25 00:00:00+00:00,2.9999999242136255e-05,3.600000127335079e-05,2.9000000722589903e-05,3.400000059627928e-05,657312,0.0,0.0
2022-09-26 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,3.300000025774352e-05,3.300000025774352e-05,123813,0.0,0.0
2022-09-27 00:00:00+00:00,3.300000025774352e-05,3.300000025774352e-05,3.199999991920777e-05,3.199999991920777e-05,116310,0.0,0.0
2022-09-28 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.8000000384054147e-05,2.9999999242136255e-05,346813,0.0,0.0
2022-09-29 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9999999242136255e-05,102057,0.0,0.0
2022-09-30 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9999999242136255e-05,3.099999958067201e-05,206757,0.0,0.0
2022-10-01 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9999999242136255e-05,3.099999958067201e-05,52548,0.0,0.0
2022-10-02 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9999999242136255e-05,2.9999999242136255e-05,18495,0.0,0.0
2022-10-03 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9999999242136255e-05,2.9999999242136255e-05,35860,0.0,0.0
2022-10-04 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9999999242136255e-05,3.099999958067201e-05,95326,0.0,0.0
2022-10-05 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,3.099999958067201e-05,3.099999958067201e-05,114210,0.0,0.0
2022-10-06 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,2.9999999242136255e-05,2.9999999242136255e-05,283408,0.0,0.0
2022-10-07 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9999999242136255e-05,159937,0.0,0.0
2022-10-08 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.700000004551839e-05,2.8000000384054147e-05,190083,0.0,0.0
2022-10-09 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.9000000722589903e-05,99886,0.0,0.0
2022-10-10 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.9000000722589903e-05,2.9000000722589903e-05,22180,0.0,0.0
2022-10-11 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.499999936844688e-05,2.5999999706982635e-05,242499,0.0,0.0
2022-10-12 00:00:00+00:00,2.5999999706982635e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.9000000722589903e-05,138545,0.0,0.0
2022-10-13 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.700000004551839e-05,2.9999999242136255e-05,177812,0.0,0.0
2022-10-14 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9000000722589903e-05,7779,0.0,0.0
2022-10-15 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9999999242136255e-05,21189,0.0,0.0
2022-10-16 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9000000722589903e-05,3.099999958067201e-05,91713,0.0,0.0
2022-10-17 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,3.099999958067201e-05,3.199999991920777e-05,77166,0.0,0.0
2022-10-18 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,3.099999958067201e-05,3.099999958067201e-05,35343,0.0,0.0
2022-10-19 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9999999242136255e-05,2.9999999242136255e-05,44708,0.0,0.0
2022-10-20 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9000000722589903e-05,2.9000000722589903e-05,36203,0.0,0.0
2022-10-21 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,51506,0.0,0.0
2022-10-22 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,19010,0.0,0.0
