TIMESTAMP,BTC_TOTAL_TRANSACTION_COUNT
2009-01-03 00:00:00,1.0
2009-01-09 00:00:00,3.0
2009-01-10 00:00:00,17.0
2009-01-11 00:00:00,77.0
2009-01-12 00:00:00,170.0
2009-01-13 00:00:00,271.0
2009-01-14 00:00:00,394.0
2009-01-15 00:00:00,524.0
2009-01-16 00:00:00,658.0
2009-01-17 00:00:00,768.0
2009-01-18 00:00:00,877.0
2009-01-19 00:00:00,985.0
2009-01-20 00:00:00,1102.0
2009-01-21 00:00:00,1217.0
2009-01-22 00:00:00,1322.0
2009-01-23 00:00:00,1412.0
2009-01-24 00:00:00,1498.0
2009-01-25 00:00:00,1700.0
2009-01-26 00:00:00,1892.0
2009-01-27 00:00:00,1989.0
2009-01-28 00:00:00,2087.0
2009-01-29 00:00:00,2199.0
2009-01-30 00:00:00,2321.0
2009-01-31 00:00:00,2438.0
2009-02-01 00:00:00,2577.0
2009-02-02 00:00:00,2691.0
2009-02-03 00:00:00,2820.0
2009-02-04 00:00:00,2975.0
2009-02-05 00:00:00,3094.0
2009-02-06 00:00:00,3220.0
2009-02-07 00:00:00,3342.0
2009-02-08 00:00:00,3475.0
2009-02-09 00:00:00,3608.0
2009-02-10 00:00:00,3743.0
2009-02-11 00:00:00,3863.0
2009-02-12 00:00:00,3998.0
2009-02-13 00:00:00,4117.0
2009-02-14 00:00:00,4241.0
2009-02-15 00:00:00,4377.0
2009-02-16 00:00:00,4508.0
2009-02-17 00:00:00,4631.0
2009-02-18 00:00:00,4748.0
2009-02-19 00:00:00,4866.0
2009-02-20 00:00:00,4991.0
2009-02-21 00:00:00,5113.0
2009-02-22 00:00:00,5227.0
2009-02-23 00:00:00,5352.0
2009-02-24 00:00:00,5460.0
2009-02-25 00:00:00,5566.0
2009-02-26 00:00:00,5671.0
2009-02-27 00:00:00,5778.0
2009-02-28 00:00:00,5894.0
2009-03-01 00:00:00,5994.0
2009-03-02 00:00:00,6099.0
2009-03-03 00:00:00,6207.0
2009-03-04 00:00:00,6314.0
2009-03-05 00:00:00,6420.0
2009-03-06 00:00:00,6533.0
2009-03-07 00:00:00,6650.0
2009-03-08 00:00:00,6759.0
