TIMESTAMP,SEND36565_OPEN_PRICE_USD,SEND36565_HIGH_PRICE_USD,SEND36565_LOW_PRICE_USD,SEND36565_CLOSE_PRICE_USD,SEND36565_VOLUME_USD,SEND36565_DIVIDENDS_USD,SEND36565_STOCK_SPLITS_USD
2025-05-20 00:00:00+00:00,,,,0.0,583482,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,1157891,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,560259,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,35914,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,9643,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,14049,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,6157,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,2678,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,793,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,3826,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,56,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,730,0.0,0.0
2025-06-01 00:00:00+00:00,9.300200177033216e-14,9.35739997314812e-14,7.751300144277773e-14,8.168726112200986e-14,54,0.0,0.0
