TIMESTAMP,PRZS_OPEN_PRICE_USD,PRZS_HIGH_PRICE_USD,PRZS_LOW_PRICE_USD,PRZS_CLOSE_PRICE_USD,PRZS_VOLUME_USD,PRZS_DIVIDENDS_USD,PRZS_STOCK_SPLITS_USD
2024-04-10 00:00:00+00:00,,,,0.0,445562,0.0,0.0
2024-04-11 00:00:00+00:00,,,,0.0,143411,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,116226,0.0,0.0
2024-04-13 00:00:00+00:00,,,,0.0,154609,0.0,0.0
2024-04-14 00:00:00+00:00,,,,0.0,37333,0.0,0.0
2024-04-15 00:00:00+00:00,,,,0.0,76132,0.0,0.0
2024-04-16 00:00:00+00:00,,,,0.0,51717,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,46338,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,19474,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,22573,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,26708,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,11954,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,19809,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,15176,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,10528,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,16975,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,18264,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,15364,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,14772,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,15323,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,30077,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,22181,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,8995,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,17271,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,30499,0.0,0.0
