,MSE,MAE,RMSE,MAPE,R2
0,3434318.0841024723,1483.7938180642132,1853.1913242033247,0.041805937015896,0.3744951094347331
1,1134169.333999544,880.081999827046,1064.9738654068203,0.0253988499288755,0.8814401424264031
2,2217412.441739073,1250.008782092678,1489.0978617065678,0.0275546818606905,0.7844627641168734
3,3502591.69577808,1392.5731910006205,1871.5212250407635,0.0307250370089059,0.6326565493097598
4,3989793.2573714433,1589.3060105169966,1997.4466844878348,0.0276213097126009,0.8385918522236508
5,4033828.276559909,1595.096285512447,2008.4392638464096,0.0266647786440917,0.6874338391614159
6,2831324.781733808,1276.742533331071,1682.6540885558768,0.0261111424409357,0.601544818732175
7,1306614.1310585516,843.1431721348918,1143.0722335261896,0.0209305339322955,0.8879570285745196
8,3116722.3983344818,1216.870975978033,1765.4241412007716,0.0298543440630885,0.5007802687676886
9,1874311.200558596,1020.7525581888996,1369.054856665209,0.0245816913822438,0.7760665163861383
10,1157816.6571290973,873.9855978325213,1076.018892552123,0.0214018147493566,0.8148371987251251
11,1788659.226233743,1036.9451825209592,1337.407651478689,0.0326933474683542,0.8426290276529544
Mean,2532296.790383233,1204.9416755833647,1554.8585073892152,0.027945289017277903,0.7185745929592865
