TIMESTAMP,COPE24556_OPEN_PRICE_USD,COPE24556_HIGH_PRICE_USD,COPE24556_LOW_PRICE_USD,COPE24556_CLOSE_PRICE_USD,COPE24556_VOLUME_USD,COPE24556_DIVIDENDS_USD,COPE24556_STOCK_SPLITS_USD
2023-04-19 00:00:00+00:00,4.3000000005122274e-05,7.100000220816582e-05,9.999999747378752e-06,1.8999999156221747e-05,23743875,0.0,0.0
2023-04-20 00:00:00+00:00,1.8999999156221747e-05,3.7999998312443495e-05,3.999999989900971e-06,7.000000096013537e-06,3434840,0.0,0.0
2023-04-21 00:00:00+00:00,7.000000096013537e-06,1.4999999621068127e-05,4.999999873689376e-06,7.999999979801942e-06,825107,0.0,0.0
2023-04-22 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,4.999999873689376e-06,7.000000096013537e-06,381055,0.0,0.0
2023-04-23 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,9.999999974752427e-07,1.9999999949504854e-06,283993,0.0,0.0
2023-04-24 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,88723,0.0,0.0
2023-04-25 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,12063,0.0,0.0
2023-04-26 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,54309,0.0,0.0
2023-04-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9101,0.0,0.0
2023-04-28 00:00:00+00:00,9.999999974752427e-07,4.999999873689376e-06,9.999999974752427e-07,3.000000106112566e-06,245995,0.0,0.0
2023-04-29 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,1.9999999949504854e-06,1.9999999949504854e-06,181305,0.0,0.0
2023-04-30 00:00:00+00:00,1.9999999949504854e-06,2.4000000848900527e-05,1.9999999949504854e-06,1.9999999494757503e-05,2059438,0.0,0.0
