TIMESTAMP,KASPY_OPEN_PRICE_USD,KASPY_HIGH_PRICE_USD,KASPY_LOW_PRICE_USD,KASPY_CLOSE_PRICE_USD,KASPY_VOLUME_USD,KASPY_DIVIDENDS_USD,KASPY_STOCK_SPLITS_USD
2024-10-22 00:00:00+00:00,8.70000003487803e-05,9.500000305706635e-05,6.399999983841553e-05,6.500000017695129e-05,341597,0.0,0.0
2024-10-23 00:00:00+00:00,6.500000017695129e-05,7.300000288523734e-05,4.999999873689376e-05,7.200000254670158e-05,148881,0.0,0.0
2024-10-24 00:00:00+00:00,7.500000356230885e-05,7.500000356230885e-05,4.199999966658652e-05,4.70000013592653e-05,122954,0.0,0.0
2024-10-25 00:00:00+00:00,4.70000013592653e-05,5.900000178371556e-05,4.400000034365803e-05,4.5000000682193786e-05,103286,0.0,0.0
2024-10-26 00:00:00+00:00,4.5000000682193786e-05,5.199999941396527e-05,4.199999966658652e-05,4.600000102072954e-05,157975,0.0,0.0
2024-10-27 00:00:00+00:00,4.600000102072954e-05,5.2999999752501026e-05,4.3000000005122274e-05,5.199999941396527e-05,95651,0.0,0.0
2024-10-28 00:00:00+00:00,5.199999941396527e-05,7.300000288523734e-05,4.5000000682193786e-05,6.199999916134402e-05,352389,0.0,0.0
2024-10-29 00:00:00+00:00,6.199999916134402e-05,6.500000017695129e-05,5.0999999075429514e-05,5.8000001445179805e-05,114628,0.0,0.0
2024-10-30 00:00:00+00:00,5.8000001445179805e-05,6.70000008540228e-05,5.2999999752501026e-05,5.900000178371556e-05,204574,0.0,0.0
2024-10-31 00:00:00+00:00,5.900000178371556e-05,6.500000017695129e-05,3.899999865097925e-05,5.199999941396527e-05,406234,0.0,0.0
2024-11-01 00:00:00+00:00,5.199999941396527e-05,6.299999949987978e-05,4.5000000682193786e-05,5.199999941396527e-05,389799,0.0,0.0
2024-11-02 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,3.400000059627928e-05,3.899999865097925e-05,335575,0.0,0.0
2024-11-03 00:00:00+00:00,3.899999865097925e-05,3.9999998989515007e-05,2.9000000722589903e-05,2.9999999242136255e-05,227812,0.0,0.0
