TIMESTAMP,SRT24185_OPEN_PRICE_USD,SRT24185_HIGH_PRICE_USD,SRT24185_LOW_PRICE_USD,SRT24185_CLOSE_PRICE_USD,SRT24185_VOLUME_USD,SRT24185_DIVIDENDS_USD,SRT24185_STOCK_SPLITS_USD
2023-04-03 00:00:00+00:00,6.0999998822808266e-05,6.70000008540228e-05,5.500000042957254e-05,5.900000178371556e-05,14378,0.0,0.0
2023-04-04 00:00:00+00:00,5.900000178371556e-05,8.399999933317304e-05,5.900000178371556e-05,7.999999797903001e-05,8597,0.0,0.0
2023-04-05 00:00:00+00:00,7.999999797903001e-05,9.600000339560211e-05,7.999999797903001e-05,8.800000068731606e-05,5631,0.0,0.0
2023-04-06 00:00:00+00:00,8.800000068731606e-05,9.699999645818025e-05,8.70000003487803e-05,9.500000305706635e-05,4194,0.0,0.0
2023-04-07 00:00:00+00:00,9.40000027185306e-05,0.00010299999848939478,9.40000027185306e-05,9.899999713525176e-05,5773,0.0,0.0
2023-04-08 00:00:00+00:00,9.899999713525176e-05,0.00010599999950500205,9.7999996796716e-05,0.00010199999815085903,3753,0.0,0.0
2023-04-09 00:00:00+00:00,0.00010199999815085903,0.00010399999882793054,9.999999747378752e-05,0.00010199999815085903,1704,0.0,0.0
2023-04-10 00:00:00+00:00,0.00010199999815085903,0.00010399999882793054,9.699999645818025e-05,9.7999996796716e-05,5006,0.0,0.0
2023-04-11 00:00:00+00:00,9.7999996796716e-05,0.00010299999848939478,9.699999645818025e-05,9.699999645818025e-05,2335,0.0,0.0
2023-04-12 00:00:00+00:00,9.699999645818025e-05,9.699999645818025e-05,9.300000237999484e-05,9.500000305706635e-05,1428,0.0,0.0
2023-04-13 00:00:00+00:00,9.40000027185306e-05,9.899999713525176e-05,9.40000027185306e-05,9.699999645818025e-05,1249,0.0,0.0
2023-04-14 00:00:00+00:00,9.699999645818025e-05,0.00010199999815085903,9.699999645818025e-05,9.7999996796716e-05,2270,0.0,0.0
2023-04-15 00:00:00+00:00,9.7999996796716e-05,0.00010199999815085903,9.7999996796716e-05,9.999999747378752e-05,3357,0.0,0.0
2023-04-16 00:00:00+00:00,9.999999747378752e-05,0.00010699999984353781,9.899999713525176e-05,0.00010399999882793054,5590,0.0,0.0
2023-04-17 00:00:00+00:00,0.00010399999882793054,0.00010399999882793054,9.699999645818025e-05,9.7999996796716e-05,6071,0.0,0.0
2023-04-18 00:00:00+00:00,9.7999996796716e-05,0.00010099999781232327,9.500000305706635e-05,9.7999996796716e-05,6082,0.0,0.0
2023-04-19 00:00:00+00:00,9.7999996796716e-05,9.7999996796716e-05,9.000000136438757e-05,9.100000170292333e-05,4057,0.0,0.0
2023-04-20 00:00:00+00:00,9.100000170292333e-05,9.500000305706635e-05,9.100000170292333e-05,9.40000027185306e-05,4568,0.0,0.0
2023-04-21 00:00:00+00:00,9.40000027185306e-05,0.00010299999848939478,9.40000027185306e-05,9.699999645818025e-05,1430,0.0,0.0
2023-04-22 00:00:00+00:00,9.699999645818025e-05,9.699999645818025e-05,8.600000001024455e-05,9.100000170292333e-05,6639,0.0,0.0
2023-04-23 00:00:00+00:00,9.100000170292333e-05,9.200000204145908e-05,8.199999865610152e-05,8.299999899463728e-05,3759,0.0,0.0
2023-04-24 00:00:00+00:00,8.299999899463728e-05,8.600000001024455e-05,8.299999899463728e-05,8.399999933317304e-05,929,0.0,0.0
2023-04-25 00:00:00+00:00,8.399999933317304e-05,8.499999967170879e-05,8.199999865610152e-05,8.399999933317304e-05,1047,0.0,0.0
2023-04-26 00:00:00+00:00,8.399999933317304e-05,8.399999933317304e-05,7.899999764049426e-05,7.999999797903001e-05,1582,0.0,0.0
2023-04-27 00:00:00+00:00,7.999999797903001e-05,8.399999933317304e-05,7.899999764049426e-05,8.099999831756577e-05,2666,0.0,0.0
2023-04-28 00:00:00+00:00,8.099999831756577e-05,8.199999865610152e-05,7.79999973019585e-05,8.099999831756577e-05,974,0.0,0.0
2023-04-29 00:00:00+00:00,8.099999831756577e-05,8.299999899463728e-05,7.79999973019585e-05,7.899999764049426e-05,4366,0.0,0.0
2023-04-30 00:00:00+00:00,7.899999764049426e-05,8.299999899463728e-05,7.79999973019585e-05,8.299999899463728e-05,2573,0.0,0.0
2023-05-01 00:00:00+00:00,8.299999899463728e-05,8.299999899463728e-05,8.099999831756577e-05,8.199999865610152e-05,1113,0.0,0.0
2023-05-02 00:00:00+00:00,8.199999865610152e-05,8.199999865610152e-05,7.200000254670158e-05,7.200000254670158e-05,2123,0.0,0.0
2023-05-03 00:00:00+00:00,7.200000254670158e-05,7.400000322377309e-05,7.200000254670158e-05,7.300000288523734e-05,957,0.0,0.0
2023-05-04 00:00:00+00:00,7.300000288523734e-05,7.400000322377309e-05,7.100000220816582e-05,7.100000220816582e-05,2048,0.0,0.0
2023-05-05 00:00:00+00:00,7.100000220816582e-05,7.300000288523734e-05,7.000000186963007e-05,7.100000220816582e-05,1367,0.0,0.0
2023-05-06 00:00:00+00:00,7.100000220816582e-05,7.100000220816582e-05,6.900000153109431e-05,7.000000186963007e-05,76,0.0,0.0
2023-05-07 00:00:00+00:00,7.000000186963007e-05,7.200000254670158e-05,7.000000186963007e-05,7.100000220816582e-05,971,0.0,0.0
2023-05-08 00:00:00+00:00,7.100000220816582e-05,7.100000220816582e-05,7.000000186963007e-05,7.000000186963007e-05,659,0.0,0.0
2023-05-09 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,6.900000153109431e-05,6.900000153109431e-05,580,0.0,0.0
2023-05-10 00:00:00+00:00,6.900000153109431e-05,7.100000220816582e-05,6.600000051548705e-05,6.600000051548705e-05,1192,0.0,0.0
