TIMESTAMP,SUILAMA_OPEN_PRICE_USD,SUILAMA_HIGH_PRICE_USD,SUILAMA_LOW_PRICE_USD,SUILAMA_CLOSE_PRICE_USD,SUILAMA_VOLUME_USD,SUILAMA_DIVIDENDS_USD,SUILAMA_STOCK_SPLITS_USD
2024-10-15 00:00:00+00:00,0.00020399999630171806,0.00025400001322850585,0.00013299999409355223,0.00015999999595806003,971948,0.0,0.0
2024-10-16 00:00:00+00:00,0.00015999999595806003,0.0001939999929163605,0.00010199999815085903,0.00011000000085914508,704805,0.0,0.0
2024-10-17 00:00:00+00:00,0.00011000000085914508,0.00016500000492669642,0.00010900000052060932,0.00013800000306218863,313466,0.0,0.0
2024-10-18 00:00:00+00:00,0.00013800000306218863,0.0001539999939268455,9.899999713525176e-05,0.00011200000153621659,341104,0.0,0.0
2024-10-19 00:00:00+00:00,0.00011200000153621659,0.00013000000035390258,5.900000178371556e-05,7.000000186963007e-05,381401,0.0,0.0
2024-10-20 00:00:00+00:00,7.000000186963007e-05,0.00015300000086426735,5.900000178371556e-05,0.0001429999974789098,319560,0.0,0.0
2024-10-21 00:00:00+00:00,0.0001429999974789098,0.0001720000000204891,8.900000102585182e-05,0.00011000000085914508,469493,0.0,0.0
2024-10-22 00:00:00+00:00,0.00011000000085914508,0.00017499999376013875,7.999999797903001e-05,0.00010699999984353781,703569,0.0,0.0
2024-10-23 00:00:00+00:00,0.00010699999984353781,0.00013000000035390258,7.999999797903001e-05,9.000000136438757e-05,359702,0.0,0.0
2024-10-24 00:00:00+00:00,9.000000136438757e-05,0.00013099999341648072,8.199999865610152e-05,0.00011200000153621659,242530,0.0,0.0
2024-10-25 00:00:00+00:00,0.00011200000153621659,0.00013299999409355223,6.500000017695129e-05,8.399999933317304e-05,384349,0.0,0.0
2024-10-26 00:00:00+00:00,8.399999933317304e-05,9.300000237999484e-05,6.500000017695129e-05,7.999999797903001e-05,136140,0.0,0.0
2024-10-27 00:00:00+00:00,7.999999797903001e-05,8.70000003487803e-05,5.8000001445179805e-05,6.70000008540228e-05,280252,0.0,0.0
2024-10-28 00:00:00+00:00,6.70000008540228e-05,7.000000186963007e-05,3.899999865097925e-05,5.500000042957254e-05,209639,0.0,0.0
2024-10-29 00:00:00+00:00,5.500000042957254e-05,7.200000254670158e-05,4.70000013592653e-05,6.399999983841553e-05,183306,0.0,0.0
2024-10-30 00:00:00+00:00,6.399999983841553e-05,6.500000017695129e-05,4.600000102072954e-05,4.70000013592653e-05,106812,0.0,0.0
2024-10-31 00:00:00+00:00,4.8000001697801054e-05,5.0999999075429514e-05,4.3000000005122274e-05,4.3000000005122274e-05,72199,0.0,0.0
2024-11-01 00:00:00+00:00,4.3000000005122274e-05,4.5000000682193786e-05,2.499999936844688e-05,2.499999936844688e-05,122365,0.0,0.0
2024-11-02 00:00:00+00:00,2.499999936844688e-05,3.300000025774352e-05,2.4000000848900527e-05,2.5999999706982635e-05,60115,0.0,0.0
