TIMESTAMP,ALGO_OPEN_PRICE_USD,ALGO_HIGH_PRICE_USD,ALGO_LOW_PRICE_USD,ALGO_CLOSE_PRICE_USD
2019-07-01,1.263,1.367,1.262,1.367
2019-07-02,1.367,1.367,1.03,1.165
2019-07-03,1.165,1.176,1.094,1.094
2019-07-04,1.094,1.15,0.99,1.032
2019-07-05,1.032,1.15,0.9848,1.13
2019-07-06,1.13,1.199,1.027,1.198
2019-07-07,1.198,1.198,1.024,1.09
2019-07-08,1.09,1.1,0.9843,1.1
2019-07-09,1.1,1.101,1.042,1.101
2019-07-10,1.101,1.111,0.98,1.03
2019-07-11,1.03,1.03,0.8683,0.8966
2019-07-12,0.8966,0.94,0.8,0.94
2019-07-13,0.94,0.9401,0.8565,0.9
2019-07-14,0.9,1.755,0.81,1.05
2019-07-15,1.05,1.05,0.7218,0.83
2019-07-16,0.83,0.83,0.6763,0.68
2019-07-17,0.68,0.701,0.621,0.67
2019-07-18,0.67,1.088,0.6413,0.68
2019-07-19,0.68,0.6905,0.6412,0.6758
2019-07-20,0.6758,0.751,0.6758,0.7065
2019-07-21,0.7065,0.7395,0.6613,0.6613
2019-07-22,0.6613,0.6882,0.6355,0.6355
2019-07-23,0.6355,0.65,0.5881,0.5881
2019-07-24,0.5881,0.6279,0.5566,0.5609
2019-07-25,0.5609,0.5609,0.5609,0.5609
2019-07-26,0.5609,0.6807,0.5609,0.66
2019-07-27,0.66,0.66,0.59,0.59
2019-07-28,0.59,0.59,0.555,0.555
2019-07-29,0.555,0.555,0.555,0.555
2019-07-30,0.555,0.555,0.5526,0.5526
2019-07-31,0.5526,0.5601,0.5526,0.5601
2019-08-01,0.5601,0.5903,0.5132,0.5132
2019-08-02,0.5132,0.87,0.5132,0.805
2019-08-03,0.805,0.8267,0.7579,0.7579
2019-08-04,0.7579,0.9298,0.6909,0.9298
2019-08-05,0.9298,0.9298,0.657,0.798
2019-08-06,0.798,0.798,0.7141,0.7141
2019-08-07,0.7141,0.7323,0.7,0.7323
2019-08-08,0.7323,0.7323,0.68,0.68
2019-08-09,0.68,0.81,0.68,0.81
2019-08-10,0.81,0.87,0.79,0.87
2019-08-11,0.87,0.91,0.8642,0.91
2019-08-12,0.91,0.91,0.91,0.91
2019-08-13,0.91,0.91,0.8967,0.8967
2019-08-14,0.8967,0.8967,0.7642,0.7642
2019-08-15,0.7642,1.1,0.646,0.6897
2019-08-16,0.6897,0.76,0.6763,0.677
2019-08-17,0.677,0.7183,0.6733,0.6818
2019-08-18,0.6818,0.6968,0.6658,0.6769
2019-08-19,0.6769,0.6769,0.6506,0.6548
2019-08-20,0.6548,0.67,0.6034,0.625
2019-08-21,0.625,0.6274,0.56,0.5657
2019-08-22,0.5657,0.5922,0.5321,0.5742
2019-08-23,0.5742,0.5915,0.5427,0.5747
2019-08-24,0.5747,0.5799,0.5435,0.5772
2019-08-25,0.5772,0.5815,0.5323,0.5378
2019-08-26,0.5378,0.5789,0.5201,0.5201
2019-08-27,0.5201,0.547,0.51,0.5185
2019-08-28,0.5185,0.5355,0.4225,0.4358
2019-08-29,0.4358,0.449,0.3901,0.4014
2019-08-30,0.4014,0.4245,0.3971,0.4198
2019-08-31,0.4198,0.4316,0.397,0.4085
2019-09-01,0.4085,0.4166,0.3803,0.3903
2019-09-02,0.3903,0.3998,0.376,0.3942
2019-09-03,0.3942,0.4051,0.365,0.3696
2019-09-04,0.3696,0.3736,0.345,0.3463
2019-09-05,0.3463,0.3957,0.34,0.3884
2019-09-06,0.3884,0.4199,0.3411,0.3475
2019-09-07,0.3475,0.3889,0.3406,0.3737
2019-09-08,0.3737,0.3857,0.3552,0.3846
2019-09-09,0.3846,0.391,0.3546,0.3689
2019-09-10,0.3689,0.3935,0.3628,0.3655
2019-09-11,0.3655,0.3809,0.3425,0.3489
2019-09-12,0.3489,0.3497,0.3093,0.3185
2019-09-13,0.3185,0.3453,0.309,0.3193
2019-09-14,0.3193,0.3247,0.311,0.324
2019-09-15,0.324,0.3398,0.3204,0.3285
2019-09-16,0.3285,0.337,0.3148,0.3207
2019-09-17,0.3207,0.3344,0.311,0.319
2019-09-18,0.319,0.3608,0.3157,0.3406
2019-09-19,0.3406,0.3411,0.3068,0.3222
2019-09-20,0.3222,0.3295,0.3162,0.3207
2019-09-21,0.3207,0.33,0.314,0.3157
2019-09-22,0.3157,0.3232,0.2693,0.3005
2019-09-23,0.3005,0.3005,0.2674,0.2674
2019-09-24,0.2674,0.281,0.1901,0.1929
2019-09-25,0.1929,0.22,0.1925,0.205
2019-09-26,0.205,0.2149,0.165,0.189
2019-09-27,0.189,0.1975,0.177,0.1891
2019-09-28,0.1891,0.2079,0.1876,0.2035
2019-09-29,0.2035,0.2431,0.1982,0.2247
2019-09-30,0.2247,0.26,0.2144,0.25
2019-10-01,0.25,0.2664,0.2242,0.234
2019-10-02,0.234,0.24,0.2193,0.2335
2019-10-03,0.2335,0.2394,0.2203,0.2312
2019-10-04,0.2312,0.2398,0.223,0.2286
2019-10-05,0.2286,0.2319,0.22,0.224
2019-10-06,0.224,0.227,0.2114,0.2118
2019-10-07,0.2118,0.2238,0.2054,0.2178
2019-10-08,0.2178,0.234,0.2138,0.2277
2019-10-09,0.2277,0.2562,0.2274,0.2398
2019-10-10,0.2398,0.2695,0.2318,0.252
2019-10-11,0.252,0.2755,0.2485,0.2505
2019-10-12,0.2505,0.2621,0.2429,0.2562
2019-10-13,0.2562,0.2679,0.2455,0.2511
2019-10-14,0.2511,0.2686,0.2456,0.2667
2019-10-15,0.2667,0.2748,0.245,0.2475
2019-10-16,0.2475,0.25,0.2225,0.2289
2019-10-17,0.2289,0.24,0.2287,0.2358
2019-10-18,0.2358,0.24,0.2184,0.2258
2019-10-19,0.2258,0.2298,0.2229,0.2242
2019-10-20,0.2242,0.2281,0.2105,0.2245
2019-10-21,0.2245,0.2321,0.2216,0.2269
2019-10-22,0.2269,0.2289,0.2161,0.2192
2019-10-23,0.2192,0.2192,0.1964,0.2006
2019-10-24,0.2006,0.2079,0.1995,0.2004
2019-10-25,0.2004,0.2203,0.1997,0.213
2019-10-26,0.213,0.236,0.2102,0.2172
2019-10-27,0.2172,0.237,0.2078,0.2197
2019-10-28,0.2197,0.239,0.2197,0.2316
2019-10-29,0.2316,0.2356,0.224,0.2267
2019-10-30,0.2267,0.2277,0.2066,0.212
2019-10-31,0.212,0.2242,0.2089,0.2229
2019-11-01,0.2229,0.28,0.2154,0.2613
2019-11-02,0.2613,0.2797,0.2489,0.2597
2019-11-03,0.2597,0.2789,0.2425,0.265
2019-11-04,0.265,0.2709,0.2531,0.2578
2019-11-05,0.2578,0.2974,0.2446,0.2856
2019-11-06,0.2856,0.3099,0.2771,0.2841
2019-11-07,0.2841,0.2854,0.2645,0.2704
2019-11-08,0.2704,0.2825,0.2454,0.255
2019-11-09,0.255,0.266,0.2505,0.2631
2019-11-10,0.2631,0.2741,0.2549,0.2682
2019-11-11,0.2682,0.292,0.255,0.2827
2019-11-12,0.2827,0.29,0.2651,0.2736
2019-11-13,0.2736,0.2967,0.2695,0.2885
2019-11-14,0.2885,0.293,0.2722,0.2772
2019-11-15,0.2772,0.286,0.261,0.2645
2019-11-16,0.2645,0.2749,0.2618,0.272
2019-11-17,0.272,0.2789,0.265,0.268
2019-11-18,0.268,0.2735,0.2426,0.2488
2019-11-19,0.2488,0.2535,0.2311,0.245
2019-11-20,0.245,0.263,0.2377,0.2531
2019-11-21,0.2531,0.2642,0.2301,0.2459
2019-11-22,0.2459,0.2498,0.1997,0.2232
2019-11-23,0.2232,0.232,0.2115,0.2295
2019-11-24,0.2295,0.2299,0.2006,0.2034
2019-11-25,0.2034,0.225,0.19,0.2135
2019-11-26,0.2135,0.235,0.2104,0.2259
2019-11-27,0.2259,0.2333,0.2091,0.2252
2019-11-28,0.2252,0.315,0.2213,0.288
2019-11-29,0.288,0.2998,0.2716,0.2768
2019-11-30,0.2768,0.2892,0.2605,0.265
2019-12-01,0.265,0.2754,0.2425,0.2687
2019-12-02,0.2687,0.291,0.2596,0.275
2019-12-03,0.275,0.2985,0.2702,0.2881
2019-12-04,0.2881,0.2947,0.2638,0.2638
2019-12-05,0.2638,0.2681,0.2553,0.2647
2019-12-06,0.2647,0.2717,0.2568,0.2696
2019-12-07,0.2696,0.2778,0.2621,0.2758
2019-12-08,0.2758,0.3048,0.2758,0.2938
2019-12-09,0.2938,0.3467,0.2853,0.2942
2019-12-10,0.2942,0.2942,0.2646,0.2744
2019-12-11,0.2744,0.3048,0.2744,0.2865
2019-12-12,0.2865,0.298,0.269,0.277
2019-12-13,0.277,0.2771,0.2681,0.2718
2019-12-14,0.2718,0.2747,0.249,0.2522
2019-12-15,0.2522,0.2681,0.25,0.2673
2019-12-16,0.2673,0.2692,0.2342,0.2418
2019-12-17,0.2418,0.2428,0.2151,0.2183
2019-12-18,0.2183,0.245,0.213,0.2437
2019-12-19,0.2437,0.2437,0.2265,0.2286
2019-12-20,0.2286,0.2448,0.2208,0.2392
2019-12-21,0.2392,0.2421,0.2303,0.241
2019-12-22,0.241,0.2534,0.2383,0.2478
2019-12-23,0.2478,0.2532,0.2358,0.2404
2019-12-24,0.2404,0.2404,0.2281,0.2286
2019-12-25,0.2286,0.2333,0.2239,0.2273
2019-12-26,0.2273,0.2415,0.2249,0.2395
2019-12-27,0.2395,0.2395,0.22,0.2291
2019-12-28,0.2291,0.2361,0.228,0.2322
2019-12-29,0.2322,0.2361,0.2279,0.2314
2019-12-30,0.2314,0.2337,0.2219,0.2239
2019-12-31,0.2239,0.2292,0.2127,0.2156
2020-01-01,0.2156,0.223,0.2148,0.2187
2020-01-02,0.2187,0.2206,0.2095,0.2133
2020-01-03,0.2133,0.2284,0.2133,0.2268
2020-01-04,0.2268,0.2343,0.2245,0.234
2020-01-05,0.234,0.2379,0.2283,0.2294
2020-01-06,0.2294,0.2433,0.2294,0.2409
2020-01-07,0.2409,0.2436,0.2275,0.2305
2020-01-08,0.2305,0.2387,0.2246,0.2275
2020-01-09,0.2275,0.229,0.221,0.2231
2020-01-10,0.2231,0.2274,0.22,0.2269
2020-01-11,0.2269,0.2323,0.224,0.2268
2020-01-12,0.2268,0.2308,0.2242,0.2278
2020-01-13,0.2278,0.2316,0.2234,0.2264
2020-01-14,0.2264,0.236,0.2242,0.2295
2020-01-15,0.2295,0.2635,0.2256,0.2494
2020-01-16,0.2494,0.2534,0.224,0.241
2020-01-17,0.241,0.28,0.2398,0.2611
2020-01-18,0.2611,0.2706,0.247,0.2587
2020-01-19,0.2587,0.2613,0.2322,0.2396
2020-01-20,0.2396,0.2426,0.2315,0.2369
2020-01-21,0.2369,0.2592,0.2341,0.249
2020-01-22,0.249,0.2523,0.2423,0.2456
2020-01-23,0.2456,0.2462,0.2325,0.2344
2020-01-24,0.2344,0.245,0.2287,0.2323
2020-01-25,0.2323,0.237,0.2286,0.2329
2020-01-26,0.2329,0.2375,0.2324,0.2365
2020-01-27,0.2365,0.2421,0.2365,0.2391
2020-01-28,0.2391,0.2455,0.2385,0.2433
2020-01-29,0.2433,0.2447,0.2371,0.2392
2020-01-30,0.2392,0.2454,0.2367,0.2409
2020-01-31,0.2409,0.2639,0.2399,0.2471
2020-02-01,0.2471,0.2539,0.2436,0.2478
2020-02-02,0.2478,0.2593,0.2421,0.2525
2020-02-03,0.2525,0.2674,0.248,0.263
2020-02-04,0.263,0.2869,0.2587,0.2805
2020-02-05,0.2805,0.2808,0.2651,0.276
2020-02-06,0.276,0.2945,0.2725,0.2891
2020-02-07,0.2891,0.3225,0.2811,0.3125
2020-02-08,0.3125,0.321,0.2912,0.3073
2020-02-09,0.3073,0.3492,0.3055,0.3424
2020-02-10,0.3424,0.378,0.3106,0.3588
2020-02-11,0.3588,0.3829,0.3425,0.3708
2020-02-12,0.3708,0.4281,0.3613,0.3893
2020-02-13,0.3893,0.4035,0.3416,0.3489
2020-02-14,0.3489,0.3878,0.3427,0.3692
2020-02-15,0.3692,0.3893,0.3278,0.3342
2020-02-16,0.3342,0.3506,0.2923,0.347
2020-02-17,0.347,0.347,0.2917,0.3302
2020-02-18,0.3302,0.3569,0.308,0.3505
2020-02-19,0.3505,0.3943,0.3372,0.3478
2020-02-20,0.3478,0.456,0.3346,0.4366
2020-02-21,0.4366,0.4814,0.4115,0.4191
2020-02-22,0.4191,0.4686,0.4112,0.45
2020-02-23,0.45,0.4695,0.4261,0.4616
2020-02-24,0.4616,0.5043,0.4305,0.4969
2020-02-25,0.4969,0.4974,0.3755,0.3917
2020-02-26,0.3917,0.4094,0.3397,0.3644
2020-02-27,0.3644,0.3946,0.3392,0.3751
2020-02-28,0.3751,0.3844,0.3345,0.3492
2020-02-29,0.3492,0.3709,0.325,0.325
2020-03-01,0.325,0.346,0.3067,0.3234
2020-03-02,0.3234,0.3893,0.311,0.3733
2020-03-03,0.3733,0.3887,0.355,0.3699
2020-03-04,0.3699,0.4147,0.3651,0.3919
2020-03-05,0.3919,0.4113,0.375,0.3755
2020-03-06,0.3755,0.3849,0.3611,0.3741
2020-03-07,0.3741,0.3837,0.3359,0.3383
2020-03-08,0.3383,0.3415,0.2858,0.2878
2020-03-09,0.2878,0.3009,0.2413,0.2795
2020-03-10,0.2795,0.3178,0.2674,0.2819
2020-03-11,0.2819,0.2886,0.2492,0.2697
2020-03-12,0.2697,0.2715,0.1312,0.1388
2020-03-13,0.1388,0.1923,0.1025,0.1533
2020-03-14,0.1533,0.1683,0.1438,0.1472
2020-03-15,0.1472,0.1616,0.1409,0.1467
2020-03-16,0.1467,0.1472,0.1149,0.1263
