TIMESTAMP,NGMI_OPEN_PRICE_USD,NGMI_HIGH_PRICE_USD,NGMI_LOW_PRICE_USD,NGMI_CLOSE_PRICE_USD,NGMI_VOLUME_USD,NGMI_DIVIDENDS_USD,NGMI_STOCK_SPLITS_USD
2023-05-20 00:00:00+00:00,,,,0.0,1265021,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,613801,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,453919,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,147177,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,90326,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,60724,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,48858,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,26034,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,21184,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,8539,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,1376,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,403,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,1108,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,389,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,548,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,467,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,598,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,448,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,193,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,390,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,89,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,44,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,214,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,53,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,317,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,85,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,470,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,44,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,52,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,211,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,1690,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,204,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,411,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,168,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,4,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,45,0.0,0.0
2023-06-28 00:00:00+00:00,,,,0.0,40,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,1,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,42,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,252,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,162,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,14,0.0,0.0
2023-07-05 00:00:00+00:00,,,,0.0,435,0.0,0.0
2023-07-06 00:00:00+00:00,,,,0.0,271,0.0,0.0
2023-07-07 00:00:00+00:00,,,,0.0,68,0.0,0.0
2023-07-08 00:00:00+00:00,,,,0.0,334,0.0,0.0
2023-07-09 00:00:00+00:00,,,,0.0,224,0.0,0.0
2023-07-10 00:00:00+00:00,,,,0.0,22,0.0,0.0
2023-07-11 00:00:00+00:00,,,,0.0,39718,0.0,0.0
2023-07-12 00:00:00+00:00,,,,0.0,2977,0.0,0.0
2023-07-13 00:00:00+00:00,,,,0.0,355,0.0,0.0
2023-07-14 00:00:00+00:00,,,,0.0,1043,0.0,0.0
2023-07-15 00:00:00+00:00,,,,0.0,5,0.0,0.0
2023-07-16 00:00:00+00:00,,,,0.0,52,0.0,0.0
2023-07-17 00:00:00+00:00,,,,0.0,274,0.0,0.0
2023-07-18 00:00:00+00:00,,,,0.0,131,0.0,0.0
2023-07-19 00:00:00+00:00,,,,0.0,135,0.0,0.0
2023-07-20 00:00:00+00:00,,,,0.0,102,0.0,0.0
2023-07-21 00:00:00+00:00,,,,0.0,66,0.0,0.0
2023-07-22 00:00:00+00:00,,,,0.0,248,0.0,0.0
