TIMESTAMP,NGMI_OPEN_PRICE_USD,NGMI_HIGH_PRICE_USD,NGMI_LOW_PRICE_USD,NGMI_CLOSE_PRICE_USD,NGMI_VOLUME_USD,NGMI_DIVIDENDS_USD,NGMI_STOCK_SPLITS_USD
2023-07-23 00:00:00+00:00,,,,0.0,99,0.0,0.0
2023-07-25 00:00:00+00:00,,,,0.0,10,0.0,0.0
2023-07-26 00:00:00+00:00,,,,0.0,255,0.0,0.0
2023-07-31 00:00:00+00:00,,,,0.0,48,0.0,0.0
2023-08-01 00:00:00+00:00,,,,0.0,297,0.0,0.0
2023-08-03 00:00:00+00:00,,,,0.0,26,0.0,0.0
2023-08-04 00:00:00+00:00,,,,0.0,135,0.0,0.0
2023-08-05 00:00:00+00:00,,,,0.0,127,0.0,0.0
2023-08-06 00:00:00+00:00,,,,0.0,72,0.0,0.0
2023-08-07 00:00:00+00:00,,,,0.0,58,0.0,0.0
2023-08-08 00:00:00+00:00,,,,0.0,85,0.0,0.0
2023-08-12 00:00:00+00:00,,,,0.0,30,0.0,0.0
2023-08-13 00:00:00+00:00,,,,0.0,77,0.0,0.0
2023-08-14 00:00:00+00:00,,,,0.0,55,0.0,0.0
2023-08-15 00:00:00+00:00,,,,0.0,5,0.0,0.0
2023-08-16 00:00:00+00:00,,,,0.0,44,0.0,0.0
2023-08-17 00:00:00+00:00,,,,0.0,50,0.0,0.0
2023-08-18 00:00:00+00:00,,,,0.0,101,0.0,0.0
2023-08-19 00:00:00+00:00,,,,0.0,159,0.0,0.0
2023-08-20 00:00:00+00:00,,,,0.0,577,0.0,0.0
2023-08-21 00:00:00+00:00,,,,0.0,391,0.0,0.0
2023-08-23 00:00:00+00:00,,,,0.0,741,0.0,0.0
2023-08-24 00:00:00+00:00,,,,0.0,79,0.0,0.0
2023-08-25 00:00:00+00:00,,,,0.0,120,0.0,0.0
2023-08-26 00:00:00+00:00,,,,0.0,462,0.0,0.0
2023-08-27 00:00:00+00:00,,,,0.0,49,0.0,0.0
2023-08-29 00:00:00+00:00,,,,0.0,86,0.0,0.0
2023-08-30 00:00:00+00:00,,,,0.0,102,0.0,0.0
2023-08-31 00:00:00+00:00,,,,0.0,100,0.0,0.0
2023-09-02 00:00:00+00:00,,,,0.0,7,0.0,0.0
2023-09-04 00:00:00+00:00,,,,0.0,83,0.0,0.0
2023-09-05 00:00:00+00:00,,,,0.0,143,0.0,0.0
2023-09-07 00:00:00+00:00,,,,0.0,200,0.0,0.0
2023-09-09 00:00:00+00:00,,,,0.0,5,0.0,0.0
2023-09-10 00:00:00+00:00,,,,0.0,118,0.0,0.0
2023-09-16 00:00:00+00:00,,,,0.0,60,0.0,0.0
2023-09-17 00:00:00+00:00,,,,0.0,35,0.0,0.0
2025-06-01 00:00:00+00:00,4.952037113703511e-10,4.962456001678106e-10,4.880818527119857e-10,4.931498542859458e-10,14,0.0,0.0
