,ETH,Lag
BTC,5.677649833887002e-06,28
ETC,0.000135194442233,28
XRP,0.0001418293692463,11
SC,0.0005999577323079,28
FIRO,0.0006908544199384,15
XEM,0.0007521249230348,1
XMR,0.001669330986641,24
GNO,0.0029084665821195,18
DOGE,0.0031728054834342,5
ZEN,0.004098247425548,28
RLC,0.0050878870725474,22
DGB,0.006430295734323,30
BAT,0.0109309406149059,30
LSK,0.0177507469591601,4
WAVES,0.0188748131967954,29
QTUM,0.0447492102465999,27
GAS,0.06021673177032,7
LTC,0.0692370695527647,10
BTS,0.0736498826698519,4
XLM,0.0745479335251115,18
LUNC,0.0873978575297901,3
KMD,0.1037984155958539,2
MIOTA,0.1198157062579867,28
PIVX,0.1737587190364585,19
DCR,0.2038021308404176,30
DASH,0.2105661792680103,19
ARK,0.3001669028606561,10
ANT,0.3230777611372012,10
ZEC,0.3588329859616999,3
STEEM,0.3740709073345876,19
SYS,0.4198068913317107,29
