TIMESTAMP,SHND_OPEN_PRICE_USD,SHND_HIGH_PRICE_USD,SHND_LOW_PRICE_USD,SHND_CLOSE_PRICE_USD,SHND_VOLUME_USD,SHND_DIVIDENDS_USD,SHND_STOCK_SPLITS_USD
2017-11-09 00:00:00+00:00,,,,0.0,522,0.0,0.0
2017-11-10 00:00:00+00:00,,,,0.0,283,0.0,0.0
2017-11-11 00:00:00+00:00,,,,0.0,284,0.0,0.0
2017-11-12 00:00:00+00:00,,,,0.0,239,0.0,0.0
2017-11-13 00:00:00+00:00,,,,0.0,494,0.0,0.0
2017-11-14 00:00:00+00:00,,,,0.0,437,0.0,0.0
2017-11-15 00:00:00+00:00,,,,0.0,595,0.0,0.0
2017-11-16 00:00:00+00:00,,,,0.0,959,0.0,0.0
2017-11-17 00:00:00+00:00,,,,0.0,504,0.0,0.0
2017-11-18 00:00:00+00:00,,,,0.0,963,0.0,0.0
2017-11-19 00:00:00+00:00,,,,0.0,1091,0.0,0.0
2017-11-20 00:00:00+00:00,,,,0.0,410,0.0,0.0
2017-11-21 00:00:00+00:00,,,,0.0,567,0.0,0.0
2017-11-22 00:00:00+00:00,,,,0.0,3124,0.0,0.0
2017-11-23 00:00:00+00:00,,,,0.0,1676,0.0,0.0
2017-11-24 00:00:00+00:00,,,,0.0,2832,0.0,0.0
2017-11-25 00:00:00+00:00,,,,0.0,1663,0.0,0.0
2017-11-26 00:00:00+00:00,,,,0.0,849,0.0,0.0
2017-11-27 00:00:00+00:00,,,,0.0,1300,0.0,0.0
2017-11-28 00:00:00+00:00,,,,0.0,971,0.0,0.0
2017-11-29 00:00:00+00:00,,,,0.0,1282,0.0,0.0
2017-11-30 00:00:00+00:00,,,,0.0,767,0.0,0.0
2017-12-01 00:00:00+00:00,,,,0.0,518,0.0,0.0
2017-12-02 00:00:00+00:00,,,,0.0,916,0.0,0.0
2017-12-03 00:00:00+00:00,,,,0.0,3872,0.0,0.0
2017-12-04 00:00:00+00:00,,,,0.0,1237,0.0,0.0
2017-12-05 00:00:00+00:00,,,,0.0,1309,0.0,0.0
2017-12-06 00:00:00+00:00,,,,0.0,3388,0.0,0.0
2017-12-07 00:00:00+00:00,,,,0.0,1943,0.0,0.0
2017-12-08 00:00:00+00:00,,,,0.0,3274,0.0,0.0
2017-12-09 00:00:00+00:00,,,,0.0,4085,0.0,0.0
2017-12-10 00:00:00+00:00,,,,0.0,1055,0.0,0.0
2017-12-11 00:00:00+00:00,,,,0.0,7111,0.0,0.0
2017-12-12 00:00:00+00:00,,,,0.0,7925,0.0,0.0
