TIMESTAMP,MEAT_OPEN_PRICE_USD,MEAT_HIGH_PRICE_USD,MEAT_LOW_PRICE_USD,MEAT_CLOSE_PRICE_USD,MEAT_VOLUME_USD,MEAT_DIVIDENDS_USD,MEAT_STOCK_SPLITS_USD
2024-04-01 00:00:00+00:00,3.899999865097925e-05,3.9999998989515007e-05,3.5000000934815034e-05,3.5000000934815034e-05,68519,0.0,0.0
2024-04-02 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,2.5999999706982635e-05,3.199999991920777e-05,74779,0.0,0.0
2024-04-03 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,2.700000004551839e-05,2.8000000384054147e-05,40519,0.0,0.0
2024-04-04 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.700000004551839e-05,2.9000000722589903e-05,12799,0.0,0.0
2024-04-05 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.5999999706982635e-05,30671,0.0,0.0
2024-04-06 00:00:00+00:00,2.5999999706982635e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.9999999242136255e-05,14027,0.0,0.0
2024-04-07 00:00:00+00:00,2.9999999242136255e-05,3.199999991920777e-05,2.9000000722589903e-05,3.199999991920777e-05,39124,0.0,0.0
2024-04-08 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,3.199999991920777e-05,3.199999991920777e-05,20461,0.0,0.0
2024-04-09 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.700000004551839e-05,2.700000004551839e-05,36623,0.0,0.0
2024-04-10 00:00:00+00:00,2.700000004551839e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.9000000722589903e-05,21367,0.0,0.0
2024-04-11 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.700000004551839e-05,24844,0.0,0.0
2024-04-12 00:00:00+00:00,2.700000004551839e-05,3.400000059627928e-05,2.4000000848900527e-05,2.4000000848900527e-05,109389,0.0,0.0
2024-04-13 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,1.700000029813964e-05,1.9999999494757503e-05,27501,0.0,0.0
2024-04-14 00:00:00+00:00,1.9999999494757503e-05,2.2000000171829015e-05,1.8999999156221747e-05,2.2000000171829015e-05,24327,0.0,0.0
2024-04-15 00:00:00+00:00,2.2000000171829015e-05,2.5999999706982635e-05,2.099999983329326e-05,2.099999983329326e-05,46609,0.0,0.0
2024-04-16 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.9999999494757503e-05,1.9999999494757503e-05,16441,0.0,0.0
2024-04-17 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8999999156221747e-05,4779,0.0,0.0
2024-04-18 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.8999999156221747e-05,716,0.0,0.0
2024-04-19 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8999999156221747e-05,2324,0.0,0.0
2024-04-20 00:00:00+00:00,1.8999999156221747e-05,2.300000051036477e-05,1.8999999156221747e-05,2.300000051036477e-05,8001,0.0,0.0
2024-04-21 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,855,0.0,0.0
2024-04-22 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,1037,0.0,0.0
2024-04-23 00:00:00+00:00,2.2000000171829015e-05,2.300000051036477e-05,1.9999999494757503e-05,1.9999999494757503e-05,11210,0.0,0.0
2024-04-24 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.8999999156221747e-05,1.8999999156221747e-05,2237,0.0,0.0
2024-04-25 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8999999156221747e-05,1077,0.0,0.0
