,XRP,Lag
XEM,1.680154479903139e-14,27
SC,3.863238688070486e-12,28
STEEM,4.606129910539757e-12,25
DOGE,2.7209252237835455e-11,27
ARK,7.765210940972632e-11,19
LSK,1.3770569776339255e-09,21
ETC,2.978247555328687e-09,11
BTC,3.801885362612666e-09,28
QTUM,8.45171023332092e-09,11
ETH,1.1921824473619885e-08,29
GNO,5.54346167310506e-07,28
DGB,1.3139789562816922e-06,15
MONA,4.243299675679013e-06,17
KMD,3.360885743427471e-05,19
MAID,7.629068789277008e-05,28
DCR,0.0001006691765357,19
ZEN,0.000188155017522,19
USDT,0.0003067792378101,2
SYS,0.0006410157889443,17
BTS,0.0010033848801044,16
RLC,0.0012007572767509,10
XWC,0.0089422349975002,21
ANT,0.0407914185913292,26
FIRO,0.0539206812650808,12
VERI,0.1422465003712084,2
CON,0.2644353386185203,1
