TIMESTAMP,BSB30716_OPEN_PRICE_USD,BSB30716_HIGH_PRICE_USD,BSB30716_LOW_PRICE_USD,BSB30716_CLOSE_PRICE_USD,BSB30716_VOLUME_USD,BSB30716_DIVIDENDS_USD,BSB30716_STOCK_SPLITS_USD
2024-04-17 00:00:00+00:00,4.999999873689376e-06,9.000000318337698e-06,3.999999989900971e-06,6.000000212225132e-06,51778,0.0,0.0
2024-04-18 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,3.000000106112566e-06,6.000000212225132e-06,54393,0.0,0.0
2024-04-19 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,7.000000096013537e-06,37548,0.0,0.0
2024-04-20 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,23347,0.0,0.0
2024-04-21 00:00:00+00:00,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,9.000000318337698e-06,33541,0.0,0.0
2024-04-22 00:00:00+00:00,7.999999979801942e-06,1.4999999621068127e-05,7.000000096013537e-06,7.999999979801942e-06,75025,0.0,0.0
2024-04-23 00:00:00+00:00,7.999999979801942e-06,1.5999999959603883e-05,7.999999979801942e-06,1.2000000424450263e-05,116615,0.0,0.0
2024-04-24 00:00:00+00:00,9.999999747378752e-06,1.5999999959603883e-05,9.999999747378752e-06,1.2999999853491317e-05,90295,0.0,0.0
2024-04-25 00:00:00+00:00,1.4000000192027073e-05,2.9999999242136255e-05,1.2000000424450263e-05,2.499999936844688e-05,414529,0.0,0.0
2024-04-26 00:00:00+00:00,2.499999936844688e-05,3.899999865097925e-05,1.8999999156221747e-05,3.7999998312443495e-05,512034,0.0,0.0
2024-04-27 00:00:00+00:00,3.099999958067201e-05,4.999999873689376e-05,2.8000000384054147e-05,4.099999932805076e-05,547461,0.0,0.0
2024-04-28 00:00:00+00:00,4.099999932805076e-05,4.400000034365803e-05,2.300000051036477e-05,2.499999936844688e-05,394449,0.0,0.0
2024-04-29 00:00:00+00:00,2.499999936844688e-05,3.600000127335079e-05,1.1000000085914508e-05,1.8999999156221747e-05,281432,0.0,0.0
2024-04-30 00:00:00+00:00,1.8999999156221747e-05,3.099999958067201e-05,1.4999999621068127e-05,2.499999936844688e-05,232709,0.0,0.0
2024-05-01 00:00:00+00:00,2.499999936844688e-05,2.700000004551839e-05,1.5999999959603883e-05,2.2000000171829015e-05,171113,0.0,0.0
2024-05-02 00:00:00+00:00,2.2000000171829015e-05,3.600000127335079e-05,1.8000000636675395e-05,3.199999991920777e-05,242952,0.0,0.0
