Lag,ANT,ARK,BTS,CON,DCR,DGB,DOGE,ETC,ETH,FIRO,GNO,KMD,LSK,MAID,MONA,QTUM,RLC,SC,STEEM,SYS,USDT,VERI,XEM,XRP,XWC,ZEN
1,0.21672844768496727,0.2476345052325514,0.4876500390415658,0.7814703676062003,0.16433303722910333,0.13514989223217483,0.4630202522434516,0.07765330253483117,0.17696057208458885,0.37474599596954483,0.6486702097848375,0.1521737420910725,0.10548865136763617,0.3502124850537481,0.40300993524421047,0.19401590490428716,0.19524290321172694,0.011662188013776926,0.17822194674957895,0.23180273766051912,0.2690189382636662,0.8480902268943254,0.045088906538480356,0.17251668068847947,0.21149860604995346,0.06467963701703615
2,0.2694065609839222,0.24585213097226247,0.6199089291041715,0.786166684069837,0.2023002396786851,0.21954401610958774,0.5718931838972263,0.11047472409691358,0.2195318423181448,0.4697964539941558,0.19298208131782385,0.11949202613472253,0.22875831867397298,0.3358554415902488,0.2563448847365407,0.18419812143658562,0.22039539301110178,0.04002795281306157,0.3276432170738596,0.1484140289562671,0.0012099468737361127,0.7166583382190387,0.14517221817912204,0.24358509992915595,0.20977585275722047,0.1010978393884955
3,0.23443272085708827,0.24439935551718375,0.6615921769429544,0.7459589495357049,0.2157042270653521,0.2977591306730643,0.5321824297654337,0.14316029239491984,0.19098417536187712,0.6584445544932098,0.19853557438947342,0.04762259299367306,0.27158625996248376,0.36622057534597885,0.32603886368129475,0.08637606396041407,0.08663196856733783,0.06747182176731853,0.4807742624549023,0.1465794867181998,0.003330009519350404,0.3946221831155869,0.10676629765178186,0.32919098476903264,0.13395574408065308,0.171637575317354
4,0.31241336347896703,0.2528364079667688,0.37324575067985005,0.7039119226143955,0.3016500957672156,0.3933476722894676,0.5583040032077051,0.03181187814714133,0.1992938808425355,0.7661546733745035,0.2549788191159472,0.08174481691154942,0.3808907802284301,0.3231981052783923,0.3778039522516944,0.07545404453493575,0.1638461795185147,0.03667667160370433,0.4261200424426703,0.20489564774054056,0.006464306905391985,0.3579597994221882,0.1929978319085251,0.34998168889073655,0.19426969903156419,0.1736839968649855
5,0.28244975387671106,0.20702218889574953,0.3354855503950006,0.6062464880398021,0.3767262441331519,0.19984912836395308,0.5900574176516699,0.05055512122838088,0.20900622807514765,0.758733316232972,0.2045148112734693,0.07210584724524594,0.26684173062190747,0.3458815959325193,0.3573623237814575,0.08313709601538691,0.10896307778974759,0.03096579305521387,0.5154767450681987,0.16567991493582426,0.012966359538401436,0.4150860376646663,0.20373502865712276,0.29045818495637016,0.2545758517605569,0.12177810346868302
6,0.2690364103906763,0.22727307374686473,0.3921468859254702,0.646606478150664,0.44588136515431664,0.22407534974861099,0.5466762502383088,0.06491693116002968,0.21407587879233828,0.7411876767824198,0.1911612303264679,0.03575719787279507,0.17848762528660916,0.3935569329763932,0.1123714144196279,0.08681991590190084,0.15010922275127916,0.03773484538101843,0.5346375786905723,0.16076435326369065,0.01888413262925908,0.4518252007557322,0.08309225386520734,0.12232379175127782,0.3031947586218292,0.13052903255585668
7,0.1967531242533317,0.2033197067007705,0.4869229349406444,0.7163930877114377,0.40437680750051486,0.2727980217733897,0.5608198601543584,0.011233566327394225,0.16476375167625243,0.8104548237661227,0.1990209858034957,0.02740508155817922,0.20303208412643975,0.1533250200411374,0.1247710925212517,0.11244646872211132,0.14581876214205305,0.052115505606401914,0.4414232731714665,0.15077819490296454,0.04173717977883487,0.47485774283453686,0.10539745112130448,0.08103405067170222,0.3493418968164785,0.14392989753983668
8,0.20460166598759827,0.22191049476045263,0.5644693406511777,0.655924553141999,0.5031511907214806,0.20314546819037066,0.6033454689839995,0.015347592692583123,0.04092924558444831,0.7460370485819496,0.2266837332537075,0.04544968724386174,0.21491998242794738,0.17159778262426248,0.14313300932455597,0.0798670178460039,0.07678676489753608,0.05936561786830722,0.43154803609512105,0.20195611258693727,0.05962121217730081,0.44610578845267984,0.06411340430826158,0.07667160719378235,0.28315464696839765,0.1873695071124195
9,0.1511805777433592,0.21965962163715735,0.5376112574589406,0.7173609102711074,0.3974088197062409,0.22561894473559727,0.6324270176721574,0.02333966620324147,0.022469990302131,0.7160466048788279,0.21693670211658164,0.0368313337298998,0.21225517953139006,0.13889149863409053,0.14021832225135655,0.08049459285227603,0.008253877209470658,0.051438649839527645,0.4739631398052352,0.17468719977445007,0.06404659183755243,0.48491435958259715,0.02239926210269032,0.07190390266496921,0.13055293036018512,0.18331002564147827
10,0.06362746304655048,0.22021383399710745,0.5582561986159688,0.7660594976426536,0.35407835364207274,0.19822127575838822,0.6739562117324479,0.02169146264337217,0.010688082137620007,0.649928055024961,0.2533250918117879,0.042329395283748794,0.20118947963182054,0.16241378276098803,0.1467473021289801,0.04003093724023227,0.00504523613042028,0.06320782495326668,0.40254114187652207,0.15681633133407766,0.026365790273522902,0.5347677071236706,0.03240521104855929,0.05859627838627923,0.15335159620786268,0.18747138793295437
