TIMESTAMP,BOSSUS_OPEN_PRICE_USD,BOSSUS_HIGH_PRICE_USD,BOSSUS_LOW_PRICE_USD,BOSSUS_CLOSE_PRICE_USD,BOSSUS_VOLUME_USD,BOSSUS_DIVIDENDS_USD,BOSSUS_STOCK_SPLITS_USD
2024-12-28 00:00:00+00:00,,,,0.0,32983,0.0,0.0
2024-12-29 00:00:00+00:00,,,,0.0,19832,0.0,0.0
2024-12-30 00:00:00+00:00,,,,0.0,6975,0.0,0.0
2024-12-31 00:00:00+00:00,,,,0.0,9782,0.0,0.0
2025-01-01 00:00:00+00:00,,,,0.0,11363,0.0,0.0
2025-01-02 00:00:00+00:00,,,,0.0,9153,0.0,0.0
2025-01-03 00:00:00+00:00,,,,0.0,27815,0.0,0.0
2025-01-04 00:00:00+00:00,,,,0.0,19577,0.0,0.0
2025-01-05 00:00:00+00:00,,,,0.0,18413,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,23396,0.0,0.0
2025-01-07 00:00:00+00:00,,,,0.0,23958,0.0,0.0
2025-01-08 00:00:00+00:00,,,,0.0,18242,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,7970,0.0,0.0
2025-01-10 00:00:00+00:00,,,,0.0,69094,0.0,0.0
2025-01-11 00:00:00+00:00,,,,0.0,2090,0.0,0.0
2025-01-12 00:00:00+00:00,,,,0.0,7874,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,8936,0.0,0.0
2025-01-14 00:00:00+00:00,,,,0.0,2056,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,1732,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,750,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,12396,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,18174,0.0,0.0
2025-01-19 00:00:00+00:00,,,,0.0,12838,0.0,0.0
2025-01-20 00:00:00+00:00,,,,0.0,13968,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,3080,0.0,0.0
2025-01-22 00:00:00+00:00,,,,0.0,3661,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,21407,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,4105,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,1625,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,1390,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,988,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,2014,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,11701,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,26389,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,25515,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,3025,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,1221,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,182,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,2206,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,401,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,1082,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,1451,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,272,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,2092,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,1805,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,424,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,51,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,202,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,46,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,74,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,1117,0.0,0.0
2025-02-17 00:00:00+00:00,,,,0.0,25,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,88,0.0,0.0
2025-02-19 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,367,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,667,0.0,0.0
2025-02-22 00:00:00+00:00,,,,0.0,14401,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,25555,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,12961,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,715,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,361,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,29,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,208,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-03-10 00:00:00+00:00,,,,0.0,55,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,55,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,296,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,5534,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,17990,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,5163,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,91,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,1217,0.0,0.0
2025-05-06 00:00:00+00:00,,,,0.0,5841,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,48,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,33,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,21,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-06-01 00:00:00+00:00,1.0047378928845774e-08,1.0047378928845774e-08,1.0047378928845774e-08,1.0047378928845774e-08,7,0.0,0.0
