TIMESTAMP,MONA7866_OPEN_PRICE_USD,MONA7866_HIGH_PRICE_USD,MONA7866_LOW_PRICE_USD,MONA7866_CLOSE_PRICE_USD,MONA7866_VOLUME_USD,MONA7866_DIVIDENDS_USD,MONA7866_STOCK_SPLITS_USD
2020-12-06 00:00:00+00:00,691.2232055664062,1620.4853515625,670.012939453125,1064.39697265625,1876724,0.0,0.0
2020-12-07 00:00:00+00:00,1064.4202880859375,1915.305419921875,892.6217651367188,1155.439453125,1822799,0.0,0.0
2020-12-08 00:00:00+00:00,1155.4163818359375,1331.1212158203125,498.11981201171875,679.130126953125,873720,0.0,0.0
2020-12-09 00:00:00+00:00,679.13134765625,680.0624389648438,518.0728149414062,577.090087890625,241334,0.0,0.0
2020-12-10 00:00:00+00:00,577.1053466796875,634.670654296875,330.8239440917969,346.8897705078125,188165,0.0,0.0
2020-12-11 00:00:00+00:00,346.8773498535156,366.2613525390625,305.7790222167969,306.7559509277344,45306,0.0,0.0
2020-12-12 00:00:00+00:00,306.76348876953125,453.8327941894531,306.76348876953125,438.3963928222656,130767,0.0,0.0
2020-12-13 00:00:00+00:00,438.4076232910156,882.7244873046875,411.7995300292969,792.5778198242188,682592,0.0,0.0
2020-12-14 00:00:00+00:00,792.5917358398438,884.5835571289062,636.9747924804688,672.4615478515625,475431,0.0,0.0
2020-12-15 00:00:00+00:00,672.4378662109375,794.984375,598.2601928710938,706.4940185546875,230600,0.0,0.0
2020-12-16 00:00:00+00:00,706.5183715820312,1185.112548828125,692.6992797851562,1185.112548828125,524872,0.0,0.0
2020-12-17 00:00:00+00:00,1185.0909423828125,1330.365234375,815.9201049804688,818.1044921875,422479,0.0,0.0
2020-12-18 00:00:00+00:00,818.0902709960938,907.5142822265625,757.4513549804688,826.8519287109375,125140,0.0,0.0
2020-12-19 00:00:00+00:00,826.8641967773438,1306.7593994140625,783.1695556640625,932.4523315429688,716760,0.0,0.0
2020-12-20 00:00:00+00:00,932.4616088867188,1267.2696533203125,903.1956787109375,1022.6292724609375,479922,0.0,0.0
2020-12-21 00:00:00+00:00,1022.6317138671875,1040.1558837890625,847.4183959960938,907.0770874023438,278314,0.0,0.0
2020-12-22 00:00:00+00:00,907.052490234375,1081.6861572265625,873.5960693359375,997.1983642578125,386155,0.0,0.0
2020-12-23 00:00:00+00:00,997.2036743164062,1015.3814086914062,787.38037109375,794.5289306640625,94637,0.0,0.0
2020-12-24 00:00:00+00:00,794.555419921875,800.2846069335938,595.9869384765625,749.6290893554688,390220,0.0,0.0
2020-12-25 00:00:00+00:00,749.5942993164062,769.8181762695312,651.3986206054688,710.359619140625,138042,0.0,0.0
2020-12-26 00:00:00+00:00,710.375244140625,717.2510986328125,593.0924682617188,593.9331665039062,68008,0.0,0.0
2020-12-27 00:00:00+00:00,593.926513671875,677.961181640625,590.2645263671875,619.0739135742188,87742,0.0,0.0
2020-12-28 00:00:00+00:00,619.0797729492188,643.98388671875,522.1299438476562,581.1378173828125,165202,0.0,0.0
