TIMESTAMP,BASEFARCON_OPEN_PRICE_USD,BASEFARCON_HIGH_PRICE_USD,BASEFARCON_LOW_PRICE_USD,BASEFARCON_CLOSE_PRICE_USD,BASEFARCON_VOLUME_USD,BASEFARCON_DIVIDENDS_USD,BASEFARCON_STOCK_SPLITS_USD
2025-05-20 00:00:00+00:00,0.00014699999883305281,0.00015100000018719584,5.6000000768108293e-05,8.600000001024455e-05,20819,0.0,0.0
2025-05-21 00:00:00+00:00,8.600000001024455e-05,8.70000003487803e-05,6.900000153109431e-05,7.699999696342275e-05,4286,0.0,0.0
2025-05-22 00:00:00+00:00,7.699999696342275e-05,8.299999899463728e-05,7.300000288523734e-05,7.400000322377309e-05,1706,0.0,0.0
2025-05-23 00:00:00+00:00,7.400000322377309e-05,7.79999973019585e-05,5.6000000768108293e-05,5.6000000768108293e-05,2864,0.0,0.0
2025-05-24 00:00:00+00:00,5.6000000768108293e-05,6.600000051548705e-05,5.500000042957254e-05,6.399999983841553e-05,1310,0.0,0.0
2025-05-25 00:00:00+00:00,6.399999983841553e-05,6.500000017695129e-05,5.999999848427251e-05,6.199999916134402e-05,497,0.0,0.0
2025-05-26 00:00:00+00:00,6.199999916134402e-05,7.400000322377309e-05,6.0999998822808266e-05,6.299999949987978e-05,0,0.0,0.0
2025-05-27 00:00:00+00:00,6.299999949987978e-05,6.500000017695129e-05,6.199999916134402e-05,6.399999983841553e-05,228,0.0,0.0
2025-05-28 00:00:00+00:00,6.399999983841553e-05,6.399999983841553e-05,5.8000001445179805e-05,5.8000001445179805e-05,0,0.0,0.0
2025-05-29 00:00:00+00:00,5.8000001445179805e-05,6.0999998822808266e-05,5.6000000768108293e-05,5.6000000768108293e-05,0,0.0,0.0
2025-05-30 00:00:00+00:00,5.6000000768108293e-05,5.6000000768108293e-05,5.400000009103678e-05,5.400000009103678e-05,0,0.0,0.0
2025-05-31 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,4.8999998398358e-05,4.8999998398358e-05,0,0.0,0.0
2025-06-01 00:00:00+00:00,4.866215749643743e-05,5.2247560233809054e-05,4.821069887839258e-05,5.2247560233809054e-05,408,0.0,0.0
