TIMESTAMP,LADYF_OPEN_PRICE_USD,LADYF_HIGH_PRICE_USD,LADYF_LOW_PRICE_USD,LADYF_CLOSE_PRICE_USD,LADYF_VOLUME_USD,LADYF_DIVIDENDS_USD,LADYF_STOCK_SPLITS_USD
2024-03-22 00:00:00+00:00,8.800000068731606e-05,9.300000237999484e-05,3.899999865097925e-05,5.700000110664405e-05,5265833,0.0,0.0
2024-03-23 00:00:00+00:00,5.700000110664405e-05,6.299999949987978e-05,3.099999958067201e-05,3.199999991920777e-05,988726,0.0,0.0
2024-03-24 00:00:00+00:00,3.199999991920777e-05,3.9999998989515007e-05,2.700000004551839e-05,3.7000001611886546e-05,736479,0.0,0.0
2024-03-25 00:00:00+00:00,3.7000001611886546e-05,7.400000322377309e-05,3.600000127335079e-05,5.999999848427251e-05,1909606,0.0,0.0
2024-03-26 00:00:00+00:00,5.999999848427251e-05,7.000000186963007e-05,4.5000000682193786e-05,5.199999941396527e-05,1319076,0.0,0.0
2024-03-27 00:00:00+00:00,5.199999941396527e-05,8.600000001024455e-05,5.0999999075429514e-05,7.999999797903001e-05,6536869,0.0,0.0
2024-03-28 00:00:00+00:00,7.200000254670158e-05,7.999999797903001e-05,4.8999998398358e-05,5.400000009103678e-05,1970630,0.0,0.0
2024-03-29 00:00:00+00:00,5.400000009103678e-05,7.000000186963007e-05,5.2999999752501026e-05,6.900000153109431e-05,1397714,0.0,0.0
2024-03-30 00:00:00+00:00,6.900000153109431e-05,7.000000186963007e-05,5.700000110664405e-05,5.700000110664405e-05,1116406,0.0,0.0
2024-03-31 00:00:00+00:00,5.700000110664405e-05,6.600000051548705e-05,5.400000009103678e-05,6.0999998822808266e-05,1374346,0.0,0.0
2024-04-01 00:00:00+00:00,6.0999998822808266e-05,6.199999916134402e-05,4.8999998398358e-05,5.400000009103678e-05,1448618,0.0,0.0
2024-04-02 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,4.199999966658652e-05,4.5000000682193786e-05,880023,0.0,0.0
2024-04-03 00:00:00+00:00,4.5000000682193786e-05,4.70000013592653e-05,4.3000000005122274e-05,4.3000000005122274e-05,778442,0.0,0.0
2024-04-04 00:00:00+00:00,4.3000000005122274e-05,4.3000000005122274e-05,3.7999998312443495e-05,3.7999998312443495e-05,623023,0.0,0.0
2024-04-05 00:00:00+00:00,3.7999998312443495e-05,3.9999998989515007e-05,3.400000059627928e-05,3.7000001611886546e-05,393412,0.0,0.0
2024-04-06 00:00:00+00:00,3.7000001611886546e-05,3.7999998312443495e-05,3.600000127335079e-05,3.7999998312443495e-05,160015,0.0,0.0
2024-04-07 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.600000127335079e-05,3.7000001611886546e-05,202016,0.0,0.0
2024-04-08 00:00:00+00:00,3.7000001611886546e-05,3.7999998312443495e-05,3.600000127335079e-05,3.7000001611886546e-05,244662,0.0,0.0
2024-04-09 00:00:00+00:00,3.7000001611886546e-05,3.899999865097925e-05,3.600000127335079e-05,3.7000001611886546e-05,235929,0.0,0.0
