TIMESTAMP,XENO29915_OPEN_PRICE_USD,XENO29915_HIGH_PRICE_USD,XENO29915_LOW_PRICE_USD,XENO29915_CLOSE_PRICE_USD,XENO29915_VOLUME_USD,XENO29915_DIVIDENDS_USD,XENO29915_STOCK_SPLITS_USD
2024-03-18 00:00:00+00:00,6.199999916134402e-05,0.00011800000356743112,5.6000000768108293e-05,7.100000220816582e-05,112255,0.0,0.0
2024-03-19 00:00:00+00:00,6.800000119255856e-05,9.999999747378752e-05,6.399999983841553e-05,6.399999983841553e-05,104816,0.0,0.0
2024-03-20 00:00:00+00:00,6.399999983841553e-05,6.800000119255856e-05,5.500000042957254e-05,6.600000051548705e-05,28673,0.0,0.0
2024-03-21 00:00:00+00:00,6.600000051548705e-05,6.600000051548705e-05,4.3000000005122274e-05,4.400000034365803e-05,39987,0.0,0.0
2024-03-22 00:00:00+00:00,4.400000034365803e-05,4.8000001697801054e-05,4.199999966658652e-05,4.199999966658652e-05,9907,0.0,0.0
2024-03-23 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,3.600000127335079e-05,3.7999998312443495e-05,14707,0.0,0.0
2024-03-24 00:00:00+00:00,3.7999998312443495e-05,4.099999932805076e-05,3.300000025774352e-05,4.099999932805076e-05,13228,0.0,0.0
2024-03-25 00:00:00+00:00,4.099999932805076e-05,5.500000042957254e-05,3.9999998989515007e-05,5.0999999075429514e-05,16775,0.0,0.0
2024-03-26 00:00:00+00:00,5.0999999075429514e-05,5.500000042957254e-05,5.0999999075429514e-05,5.500000042957254e-05,3026,0.0,0.0
2024-03-27 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,4.400000034365803e-05,4.400000034365803e-05,5583,0.0,0.0
2024-03-28 00:00:00+00:00,4.400000034365803e-05,4.5000000682193786e-05,4.099999932805076e-05,4.199999966658652e-05,4376,0.0,0.0
2024-03-29 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,2.9000000722589903e-05,4.199999966658652e-05,26103,0.0,0.0
2024-03-30 00:00:00+00:00,4.199999966658652e-05,5.8000001445179805e-05,3.9999998989515007e-05,4.400000034365803e-05,25655,0.0,0.0
2024-03-31 00:00:00+00:00,4.400000034365803e-05,7.300000288523734e-05,4.400000034365803e-05,5.900000178371556e-05,39482,0.0,0.0
2024-04-01 00:00:00+00:00,5.900000178371556e-05,5.999999848427251e-05,5.400000009103678e-05,5.400000009103678e-05,4955,0.0,0.0
2024-04-02 00:00:00+00:00,5.8000001445179805e-05,7.79999973019585e-05,5.8000001445179805e-05,6.299999949987978e-05,36408,0.0,0.0
2024-04-03 00:00:00+00:00,6.299999949987978e-05,6.500000017695129e-05,5.700000110664405e-05,5.999999848427251e-05,11423,0.0,0.0
2024-04-04 00:00:00+00:00,5.999999848427251e-05,7.100000220816582e-05,5.999999848427251e-05,7.100000220816582e-05,9339,0.0,0.0
2024-04-05 00:00:00+00:00,7.100000220816582e-05,8.099999831756577e-05,7.100000220816582e-05,7.100000220816582e-05,17176,0.0,0.0
2024-04-06 00:00:00+00:00,7.100000220816582e-05,8.499999967170879e-05,6.800000119255856e-05,8.499999967170879e-05,20579,0.0,0.0
2024-04-07 00:00:00+00:00,8.499999967170879e-05,8.800000068731606e-05,6.800000119255856e-05,7.500000356230885e-05,23048,0.0,0.0
2024-04-08 00:00:00+00:00,7.500000356230885e-05,7.500000356230885e-05,5.900000178371556e-05,5.999999848427251e-05,14658,0.0,0.0
2024-04-09 00:00:00+00:00,5.999999848427251e-05,5.999999848427251e-05,5.199999941396527e-05,5.199999941396527e-05,16246,0.0,0.0
2024-04-10 00:00:00+00:00,5.199999941396527e-05,5.500000042957254e-05,4.8999998398358e-05,5.2999999752501026e-05,9755,0.0,0.0
2024-04-11 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,4.999999873689376e-05,5.0999999075429514e-05,4118,0.0,0.0
2024-04-12 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,4.3000000005122274e-05,4.3000000005122274e-05,2636,0.0,0.0
2024-04-13 00:00:00+00:00,4.3000000005122274e-05,5.199999941396527e-05,4.3000000005122274e-05,4.8999998398358e-05,8697,0.0,0.0
2024-04-14 00:00:00+00:00,4.8999998398358e-05,5.2999999752501026e-05,3.7999998312443495e-05,3.7999998312443495e-05,14674,0.0,0.0
2024-04-15 00:00:00+00:00,3.7999998312443495e-05,3.899999865097925e-05,3.600000127335079e-05,3.899999865097925e-05,4308,0.0,0.0
2024-04-16 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.5000000934815034e-05,3.5000000934815034e-05,1767,0.0,0.0
2024-04-17 00:00:00+00:00,3.5000000934815034e-05,3.9999998989515007e-05,3.400000059627928e-05,3.400000059627928e-05,12628,0.0,0.0
2024-04-18 00:00:00+00:00,3.400000059627928e-05,4.099999932805076e-05,3.400000059627928e-05,3.600000127335079e-05,16307,0.0,0.0
2024-04-19 00:00:00+00:00,3.600000127335079e-05,3.9999998989515007e-05,3.5000000934815034e-05,3.7999998312443495e-05,4851,0.0,0.0
2024-04-20 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.400000059627928e-05,3.600000127335079e-05,3715,0.0,0.0
2024-04-21 00:00:00+00:00,3.600000127335079e-05,3.7000001611886546e-05,3.300000025774352e-05,3.300000025774352e-05,2558,0.0,0.0
2024-04-22 00:00:00+00:00,3.300000025774352e-05,3.7000001611886546e-05,3.300000025774352e-05,3.400000059627928e-05,7695,0.0,0.0
2024-04-23 00:00:00+00:00,3.400000059627928e-05,3.9999998989515007e-05,3.199999991920777e-05,3.899999865097925e-05,8324,0.0,0.0
2024-04-24 00:00:00+00:00,3.899999865097925e-05,4.400000034365803e-05,3.899999865097925e-05,3.9999998989515007e-05,5112,0.0,0.0
2024-04-25 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,3.5000000934815034e-05,3.5000000934815034e-05,3595,0.0,0.0
2024-04-26 00:00:00+00:00,3.5000000934815034e-05,4.3000000005122274e-05,2.8000000384054147e-05,2.8000000384054147e-05,16890,0.0,0.0
2024-04-27 00:00:00+00:00,2.8000000384054147e-05,3.5000000934815034e-05,2.8000000384054147e-05,3.199999991920777e-05,10202,0.0,0.0
2024-04-28 00:00:00+00:00,3.199999991920777e-05,3.7000001611886546e-05,3.199999991920777e-05,3.7000001611886546e-05,5034,0.0,0.0
2024-04-29 00:00:00+00:00,3.7000001611886546e-05,3.9999998989515007e-05,3.600000127335079e-05,3.600000127335079e-05,4617,0.0,0.0
2024-04-30 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.400000059627928e-05,3.400000059627928e-05,1494,0.0,0.0
2024-05-01 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,2.9000000722589903e-05,2.9999999242136255e-05,2609,0.0,0.0
2024-05-02 00:00:00+00:00,2.9999999242136255e-05,3.400000059627928e-05,2.9999999242136255e-05,2.9999999242136255e-05,5462,0.0,0.0
2024-05-03 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.8000000384054147e-05,3314,0.0,0.0
2024-05-04 00:00:00+00:00,2.8000000384054147e-05,3.099999958067201e-05,2.8000000384054147e-05,3.099999958067201e-05,2528,0.0,0.0
2024-05-05 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,0,0.0,0.0
2024-05-06 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9999999242136255e-05,2.9999999242136255e-05,306,0.0,0.0
2024-05-07 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.8000000384054147e-05,3597,0.0,0.0
2024-05-08 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,242,0.0,0.0
2024-05-09 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.700000004551839e-05,2.8000000384054147e-05,1760,0.0,0.0
