TIMESTAMP,BTS_CLOSE_PRICE_USD,BTS_OPEN_PRICE_USD,BTS_HIGH_PRICE_USD,BTS_LOW_PRICE_USD
2018-01-16,0.3302,0.5521,0.5553,0.302
2018-01-17,0.3575,0.3302,0.3809,0.239
2018-01-18,0.3598,0.3575,0.399,0.3125
2018-01-19,0.4101,0.3595,0.42,0.3255
2018-01-20,0.4638,0.4101,0.481,0.3916
2018-01-21,0.3881,0.4638,0.4757,0.3531
2018-01-22,0.3394,0.3881,0.4007,0.306
2018-01-23,0.3325,0.3394,0.3715,0.3008
2018-01-24,0.4229,0.335,0.431,0.3252
2018-01-25,0.4379,0.4229,0.4649,0.403
2018-01-26,0.4662,0.4379,0.481,0.3838
2018-01-27,0.5323,0.4663,0.55,0.466
2018-01-28,0.5145,0.5323,0.555,0.4829
2018-01-29,0.4579,0.5145,0.5167,0.4554
2018-01-30,0.4052,0.4579,0.4766,0.3861
2018-01-31,0.4476,0.4052,0.4548,0.3701
2018-02-01,0.3962,0.4451,0.4635,0.3858
2018-02-02,0.3272,0.3962,0.4009,0.2588
2018-02-03,0.34,0.3272,0.3566,0.2878
2018-02-04,0.268,0.34,0.3448,0.2588
2018-02-05,0.2011,0.2688,0.2749,0.1934
2018-02-06,0.2234,0.2011,0.23,0.1641
2018-02-07,0.2133,0.2234,0.2477,0.1997
2018-02-08,0.2345,0.2133,0.245,0.2124
2018-02-09,0.2609,0.2345,0.2648,0.215
2018-02-10,0.2469,0.2609,0.2818,0.2345
2018-02-11,0.2372,0.2469,0.2538,0.2232
2018-02-12,0.2454,0.2372,0.2558,0.2334
2018-02-13,0.2361,0.2454,0.2489,0.2291
2018-02-14,0.2731,0.2361,0.2749,0.2359
2018-02-15,0.2686,0.2731,0.2744,0.2525
2018-02-16,0.2716,0.2686,0.275,0.25
2018-02-17,0.2803,0.2716,0.2885,0.2668
2018-02-18,0.2564,0.2803,0.2822,0.2505
2018-02-19,0.2663,0.2564,0.2746,0.2526
2018-02-20,0.2471,0.2663,0.27,0.245
2018-02-21,0.2186,0.2471,0.2499,0.2163
2018-02-22,0.226,0.2186,0.25,0.2076
2018-02-23,0.2273,0.226,0.2367,0.2152
2018-02-24,0.217,0.2273,0.2331,0.2151
2018-02-25,0.2174,0.217,0.2263,0.21
2018-02-26,0.220534,0.21701,0.230307,0.210604
2018-02-27,0.219261,0.220534,0.227753,0.214864
2018-02-28,0.221025,0.219261,0.230265,0.211373
2018-03-01,0.239494,0.221871,0.243987,0.219379
2018-03-02,0.230156,0.239487,0.239526,0.225276
2018-03-03,0.220504,0.230156,0.233514,0.214955
2018-03-04,0.226479,0.220361,0.22706,0.211254
2018-03-05,0.217726,0.226478,0.22978,0.216865
2018-03-06,0.189716,0.217726,0.221222,0.186841
2018-03-07,0.174369,0.189716,0.196503,0.169997
2018-03-08,0.163252,0.174369,0.18816,0.162101
2018-03-09,0.169801,0.163252,0.169801,0.150412
2018-03-10,0.167601,0.169801,0.178084,0.16757
2018-03-11,0.167167,0.167601,0.168258,0.159657
2018-03-12,0.161873,0.167164,0.1749,0.1563
2018-03-13,0.161979,0.161873,0.167425,0.158346
2018-03-14,0.146142,0.161979,0.165271,0.145015
2018-03-15,0.150442,0.146142,0.156098,0.137147
2018-03-16,0.150094,0.150442,0.157315,0.148648
2018-03-17,0.145802,0.150094,0.15168,0.144958
2018-03-18,0.135164,0.145802,0.145802,0.120269
2018-03-19,0.148679,0.135164,0.149255,0.133502
2018-03-20,0.161193,0.148678,0.163223,0.14794
2018-03-21,0.160248,0.161192,0.166656,0.154662
2018-03-22,0.1601,0.160248,0.165793,0.1521
2018-03-23,0.164775,0.1601,0.164795,0.153044
2018-03-24,0.161523,0.164793,0.167958,0.159658
2018-03-25,0.160737,0.161523,0.165766,0.154966
