TIMESTAMP,BFLOKI29998_OPEN_PRICE_USD,BFLOKI29998_HIGH_PRICE_USD,BFLOKI29998_LOW_PRICE_USD,BFLOKI29998_CLOSE_PRICE_USD,BFLOKI29998_VOLUME_USD,BFLOKI29998_DIVIDENDS_USD,BFLOKI29998_STOCK_SPLITS_USD
2024-03-20 00:00:00+00:00,3.099999958067201e-05,5.400000009103678e-05,2.9999999242136255e-05,4.8000001697801054e-05,115628,0.0,0.0
2024-03-21 00:00:00+00:00,4.70000013592653e-05,5.2999999752501026e-05,4.099999932805076e-05,4.199999966658652e-05,26811,0.0,0.0
2024-03-22 00:00:00+00:00,4.199999966658652e-05,5.0999999075429514e-05,4.199999966658652e-05,4.70000013592653e-05,18629,0.0,0.0
2024-03-23 00:00:00+00:00,4.70000013592653e-05,4.999999873689376e-05,4.5000000682193786e-05,4.70000013592653e-05,6210,0.0,0.0
2024-03-24 00:00:00+00:00,4.70000013592653e-05,5.8000001445179805e-05,4.600000102072954e-05,5.8000001445179805e-05,30795,0.0,0.0
2024-03-25 00:00:00+00:00,5.8000001445179805e-05,6.800000119255856e-05,5.199999941396527e-05,6.600000051548705e-05,15845,0.0,0.0
2024-03-26 00:00:00+00:00,6.600000051548705e-05,7.000000186963007e-05,6.199999916134402e-05,6.900000153109431e-05,6409,0.0,0.0
2024-03-27 00:00:00+00:00,6.900000153109431e-05,7.500000356230885e-05,6.199999916134402e-05,6.900000153109431e-05,32774,0.0,0.0
2024-03-28 00:00:00+00:00,6.900000153109431e-05,0.00013800000306218863,6.900000153109431e-05,8.900000102585182e-05,376987,0.0,0.0
2024-03-29 00:00:00+00:00,8.900000102585182e-05,0.00010099999781232327,5.999999848427251e-05,6.70000008540228e-05,508530,0.0,0.0
2024-03-30 00:00:00+00:00,6.70000008540228e-05,9.000000136438757e-05,5.199999941396527e-05,6.800000119255856e-05,977533,0.0,0.0
2024-03-31 00:00:00+00:00,6.800000119255856e-05,8.199999865610152e-05,4.600000102072954e-05,4.70000013592653e-05,1720245,0.0,0.0
2024-04-01 00:00:00+00:00,4.70000013592653e-05,5.199999941396527e-05,2.8000000384054147e-05,2.9999999242136255e-05,202215,0.0,0.0
2024-04-02 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,1.5999999959603883e-05,2.2000000171829015e-05,140956,0.0,0.0
2024-04-03 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.4999999621068127e-05,1.700000029813964e-05,63590,0.0,0.0
2024-04-04 00:00:00+00:00,1.700000029813964e-05,2.9000000722589903e-05,1.700000029813964e-05,2.300000051036477e-05,116414,0.0,0.0
2024-04-05 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.8999999156221747e-05,1.9999999494757503e-05,38693,0.0,0.0
2024-04-06 00:00:00+00:00,1.9999999494757503e-05,2.499999936844688e-05,1.700000029813964e-05,2.4000000848900527e-05,139357,0.0,0.0
