TIMESTAMP,BORING_OPEN_PRICE_USD,BORING_HIGH_PRICE_USD,BORING_LOW_PRICE_USD,BORING_CLOSE_PRICE_USD,BORING_VOLUME_USD,BORING_DIVIDENDS_USD,BORING_STOCK_SPLITS_USD
2021-08-11 00:00:00+00:00,0.019267000257968903,0.021344000473618507,0.01827700063586235,0.01848600059747696,1421346,0.0,0.0
2021-08-12 00:00:00+00:00,0.018487000837922096,0.019077999517321587,0.017028000205755234,0.017802000045776367,779205,0.0,0.0
2021-08-13 00:00:00+00:00,0.01780099980533123,0.019585000351071358,0.01779700070619583,0.01934400014579296,2167151,0.0,0.0
2021-08-14 00:00:00+00:00,0.019300000742077827,0.019677000120282173,0.018523000180721283,0.019300999119877815,1384130,0.0,0.0
2021-08-15 00:00:00+00:00,0.01929900050163269,0.02081499993801117,0.018725000321865082,0.020305000245571136,2709335,0.0,0.0
2021-08-16 00:00:00+00:00,0.020306000486016273,0.020496999844908714,0.019533999264240265,0.019639000296592712,1505899,0.0,0.0
2021-08-17 00:00:00+00:00,0.019617000594735146,0.019785000011324883,0.01826700009405613,0.01826700009405613,1507799,0.0,0.0
2021-08-18 00:00:00+00:00,0.018154000863432884,0.018897000700235367,0.01738400012254715,0.018107999116182327,1786686,0.0,0.0
2021-08-19 00:00:00+00:00,0.01810700073838234,0.019063999876379967,0.017281999811530113,0.017893999814987183,1958391,0.0,0.0
2021-08-20 00:00:00+00:00,0.01789500005543232,0.018982000648975372,0.01783199980854988,0.01897300034761429,1093083,0.0,0.0
2021-08-21 00:00:00+00:00,0.018914999440312386,0.019291000440716743,0.018425000831484795,0.018924999982118607,1401254,0.0,0.0
2021-08-22 00:00:00+00:00,0.018922999501228333,0.019491000100970268,0.018063999712467194,0.018713999539613724,1382256,0.0,0.0
2021-08-23 00:00:00+00:00,0.0187120009213686,0.019380999729037285,0.018470000475645065,0.01912200078368187,1404276,0.0,0.0
2021-08-24 00:00:00+00:00,0.0191430002450943,0.01927199959754944,0.018324999138712883,0.01856599934399128,1633727,0.0,0.0
2021-08-25 00:00:00+00:00,0.018564999103546143,0.019216999411582947,0.018154999241232872,0.018990999087691307,1390210,0.0,0.0
2021-08-26 00:00:00+00:00,0.019040999934077263,0.019146999344229698,0.018163999542593956,0.018295999616384506,1271890,0.0,0.0
2021-08-27 00:00:00+00:00,0.018295999616384506,0.018449999392032623,0.01769299991428852,0.017938999459147453,957443,0.0,0.0
2021-08-28 00:00:00+00:00,0.017921000719070435,0.018163999542593956,0.01774599961936474,0.017813999205827713,779671,0.0,0.0
2021-08-29 00:00:00+00:00,0.017805000767111778,0.018285000696778297,0.017784999683499336,0.017998000606894493,773603,0.0,0.0
2021-08-30 00:00:00+00:00,0.017969999462366104,0.017971999943256378,0.01746699959039688,0.017645999789237976,898204,0.0,0.0
2021-08-31 00:00:00+00:00,0.01760599948465824,0.017795000225305557,0.017033999785780907,0.017114000394940376,1147461,0.0,0.0
