TIMESTAMP,PLSX_OPEN_PRICE_USD,PLSX_HIGH_PRICE_USD,PLSX_LOW_PRICE_USD,PLSX_CLOSE_PRICE_USD,PLSX_VOLUME_USD,PLSX_DIVIDENDS_USD,PLSX_STOCK_SPLITS_USD
2023-05-19 00:00:00+00:00,4.8000001697801054e-05,6.299999949987978e-05,4.70000013592653e-05,5.999999848427251e-05,14942216,0.0,0.0
2023-05-20 00:00:00+00:00,5.999999848427251e-05,8.600000001024455e-05,5.900000178371556e-05,7.79999973019585e-05,39401235,0.0,0.0
2023-05-21 00:00:00+00:00,7.79999973019585e-05,0.00013299999409355223,7.500000356230885e-05,0.00012199999764561653,68500180,0.0,0.0
2023-05-22 00:00:00+00:00,0.0001230000052601099,0.00013899999612476677,9.7999996796716e-05,0.00010199999815085903,48022948,0.0,0.0
2023-05-23 00:00:00+00:00,0.00010199999815085903,0.00011899999663000926,9.500000305706635e-05,9.600000339560211e-05,30926824,0.0,0.0
2023-05-24 00:00:00+00:00,9.600000339560211e-05,0.00010800000018207356,7.200000254670158e-05,8.199999865610152e-05,33338399,0.0,0.0
2023-05-25 00:00:00+00:00,8.199999865610152e-05,8.600000001024455e-05,7.000000186963007e-05,8.499999967170879e-05,24841678,0.0,0.0
2023-05-26 00:00:00+00:00,8.499999967170879e-05,9.200000204145908e-05,7.599999662488699e-05,8.099999831756577e-05,15735677,0.0,0.0
2023-05-27 00:00:00+00:00,8.099999831756577e-05,8.199999865610152e-05,6.199999916134402e-05,7.200000254670158e-05,16698380,0.0,0.0
2023-05-28 00:00:00+00:00,7.200000254670158e-05,7.200000254670158e-05,5.999999848427251e-05,6.500000017695129e-05,12024142,0.0,0.0
2023-05-29 00:00:00+00:00,6.500000017695129e-05,7.500000356230885e-05,6.399999983841553e-05,7.100000220816582e-05,12397212,0.0,0.0
2023-05-30 00:00:00+00:00,7.100000220816582e-05,7.100000220816582e-05,4.8000001697801054e-05,5.0999999075429514e-05,30407312,0.0,0.0
2023-05-31 00:00:00+00:00,5.0999999075429514e-05,5.400000009103678e-05,4.099999932805076e-05,4.5000000682193786e-05,16089518,0.0,0.0
2023-06-01 00:00:00+00:00,4.5000000682193786e-05,5.6000000768108293e-05,4.5000000682193786e-05,4.999999873689376e-05,12719143,0.0,0.0
2023-06-02 00:00:00+00:00,4.999999873689376e-05,6.70000008540228e-05,4.999999873689376e-05,6.199999916134402e-05,16554518,0.0,0.0
2023-06-03 00:00:00+00:00,6.199999916134402e-05,7.100000220816582e-05,6.199999916134402e-05,6.399999983841553e-05,9628907,0.0,0.0
2023-06-04 00:00:00+00:00,6.500000017695129e-05,6.600000051548705e-05,6.199999916134402e-05,6.399999983841553e-05,6119286,0.0,0.0
2023-06-05 00:00:00+00:00,6.399999983841553e-05,6.399999983841553e-05,5.2999999752501026e-05,5.8000001445179805e-05,10676450,0.0,0.0
2023-06-06 00:00:00+00:00,5.8000001445179805e-05,5.900000178371556e-05,5.0999999075429514e-05,5.2999999752501026e-05,7461736,0.0,0.0
2023-06-07 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,4.600000102072954e-05,4.8000001697801054e-05,5970016,0.0,0.0
2023-06-08 00:00:00+00:00,4.8000001697801054e-05,4.8000001697801054e-05,4.099999932805076e-05,4.199999966658652e-05,7494282,0.0,0.0
2023-06-09 00:00:00+00:00,4.199999966658652e-05,4.3000000005122274e-05,3.5000000934815034e-05,3.899999865097925e-05,9157478,0.0,0.0
2023-06-10 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.300000025774352e-05,3.600000127335079e-05,7756360,0.0,0.0
2023-06-11 00:00:00+00:00,3.600000127335079e-05,4.099999932805076e-05,3.600000127335079e-05,3.899999865097925e-05,5801360,0.0,0.0
2023-06-12 00:00:00+00:00,3.899999865097925e-05,4.099999932805076e-05,3.099999958067201e-05,3.300000025774352e-05,6337313,0.0,0.0
