TIMESTAMP,POOKU_OPEN_PRICE_USD,POOKU_HIGH_PRICE_USD,POOKU_LOW_PRICE_USD,POOKU_CLOSE_PRICE_USD,POOKU_VOLUME_USD,POOKU_DIVIDENDS_USD,POOKU_STOCK_SPLITS_USD
2024-08-08 00:00:00+00:00,0.0007670000195503235,0.0012509999796748161,0.0005130000063218176,0.0006040000007487833,1789220,0.0,0.0
2024-08-09 00:00:00+00:00,0.0005740000051446259,0.0013050000416114926,0.0005740000051446259,0.0012619999470189214,1185921,0.0,0.0
2024-08-10 00:00:00+00:00,0.0012629999546334147,0.004612000193446875,0.0012000000569969416,0.0023240000009536743,4478199,0.0,0.0
2024-08-11 00:00:00+00:00,0.002320999978110194,0.003836000105366111,0.0019650000613182783,0.002076999982818961,2330029,0.0,0.0
2024-08-12 00:00:00+00:00,0.002076999982818961,0.00216299993917346,0.00048499999684281647,0.0005639999872073531,1898478,0.0,0.0
2024-08-13 00:00:00+00:00,0.0005639999872073531,0.0005639999872073531,0.00012399999832268804,0.00017600000137463212,796648,0.0,0.0
2024-08-14 00:00:00+00:00,0.00017499999376013875,0.0007249999907799065,0.00013099999341648072,0.00019799999427050352,702129,0.0,0.0
2024-08-15 00:00:00+00:00,0.00023200000578071922,0.000295000005280599,0.00013000000035390258,0.0002119999990100041,570441,0.0,0.0
2024-08-16 00:00:00+00:00,0.00021499999274965376,0.0002739999908953905,0.00014200000441633165,0.0001449999981559813,313284,0.0,0.0
2024-08-17 00:00:00+00:00,0.00016399999731220305,0.00017600000137463212,7.100000220816582e-05,7.200000254670158e-05,207628,0.0,0.0
2024-08-18 00:00:00+00:00,7.000000186963007e-05,9.200000204145908e-05,4.199999966658652e-05,7.999999797903001e-05,110690,0.0,0.0
2024-08-19 00:00:00+00:00,7.999999797903001e-05,9.100000170292333e-05,4.8999998398358e-05,5.199999941396527e-05,57514,0.0,0.0
2024-08-20 00:00:00+00:00,5.199999941396527e-05,5.400000009103678e-05,4.600000102072954e-05,4.600000102072954e-05,21020,0.0,0.0
2024-08-21 00:00:00+00:00,4.600000102072954e-05,5.500000042957254e-05,4.3000000005122274e-05,5.199999941396527e-05,16820,0.0,0.0
