,BTC,Lag
XRP,4.399981643061102e-09,12
ETH,3.294616142072146e-07,13
XEM,8.203004693044368e-06,5
QTUM,1.3183825621911255e-05,14
USDT,1.64717321126816e-05,18
SC,3.029988767145502e-05,30
KMD,4.171139403810516e-05,7
ARK,8.72230723586563e-05,6
MAID,0.000103797405402,26
DOGE,0.0004227661128465,30
ZEN,0.0004587218702608,6
RLC,0.0004931131305111,9
DGB,0.0006321833817886,30
XWC,0.0007492346450207,30
ANT,0.0014924057876523,10
ETC,0.0020574481623145,26
MONA,0.0033947505643059,27
LSK,0.004893994061602,10
SYS,0.0050903138774893,6
GNO,0.0165032413529471,5
FIRO,0.0362962794897522,23
CON,0.0379862816211945,25
VERI,0.0656010471479975,3
DCR,0.0974950137398913,1
STEEM,0.1289946272553273,1
BTS,0.2885107623589423,4
