TIMESTAMP,BTC_GOOGLE_TRENDS_FULL_NAME_PER_BIC
2017-06-01,44.841
2017-06-02,39.967
2017-06-03,37.043
2017-06-04,37.043
2017-06-05,41.917
2017-06-06,57.514
2017-06-07,50.69
2017-06-08,44.841
2017-06-09,42.892
2017-06-10,41.917
2017-06-11,42.892
2017-06-12,55.564
2017-06-13,47.766
2017-06-14,47.766
2017-06-15,58.488
2017-06-16,48.74
2017-06-17,39.967
2017-06-18,37.043
2017-06-19,38.992
2017-06-20,40.942
2017-06-21,41.917
2017-06-22,41.917
2017-06-23,40.942
2017-06-24,38.018
2017-06-25,35.093
2017-06-26,44.841
2017-06-27,48.74
2017-06-28,47.766
2017-06-29,40.942
2017-06-30,33.143
2017-07-01,31.989
2017-07-02,33.573
2017-07-03,34.06
2017-07-04,33.573
2017-07-05,34.06
2017-07-06,35.157
2017-07-07,33.512
2017-07-08,31.014
2017-07-09,31.44
2017-07-10,36.619
2017-07-11,42.773
2017-07-12,39.178
2017-07-13,36.68
2017-07-14,36.619
2017-07-15,40.763
2017-07-16,48.075
2017-07-17,43.87
2017-07-18,43.87
2017-07-19,41.25
2017-07-20,45.942
2017-07-21,44.967
2017-07-22,38.752
2017-07-23,38.752
2017-07-24,39.239
2017-07-25,40.824
2017-07-26,40.275
2017-07-27,39.178
2017-07-28,43.809
2017-07-29,37.107
2017-07-30,36.619
2017-07-31,46.978
2017-08-01,77.876
2017-08-02,71.295
2017-08-03,48.261
2017-08-04,43.874
2017-08-05,57.036
2017-08-06,47.165
2017-08-07,54.842
2017-08-08,55.939
2017-08-09,52.649
2017-08-10,48.261
2017-08-11,50.455
2017-08-12,61.424
2017-08-13,74.586
2017-08-14,83.361
2017-08-15,84.457
2017-08-16,71.295
2017-08-17,68.005
2017-08-18,71.295
2017-08-19,63.617
2017-08-20,59.23
2017-08-21,59.23
2017-08-22,68.005
2017-08-23,60.327
2017-08-24,54.842
2017-08-25,57.036
2017-08-26,52.649
2017-08-27,50.455
2017-08-28,53.746
2017-08-29,61.424
2017-08-30,64.714
2017-08-31,69.102
2017-09-01,74.586
2017-09-02,68.005
2017-09-03,61.424
2017-09-04,76.779
2017-09-05,77.876
2017-09-06,68.005
2017-09-07,61.424
2017-09-08,65.811
2017-09-09,53.746
2017-09-10,53.746
2017-09-11,60.327
2017-09-12,60.327
2017-09-13,80.07
2017-09-14,98.716
2017-09-15,109.685
2017-09-16,72.392
2017-09-17,60.327
2017-09-18,70.198
2017-09-19,64.714
2017-09-20,55.939
2017-09-21,57.036
2017-09-22,52.649
2017-09-23,44.971
2017-09-24,41.68
2017-09-25,49.358
2017-09-26,46.068
2017-09-27,50.455
2017-09-28,48.261
2017-09-29,47.165
2017-09-30,42.777
2017-10-01,43.527
2017-10-02,49.902
2017-10-03,49.354
2017-10-04,47.16
2017-10-05,45.173
2017-10-06,43.527
2017-10-07,41.882
2017-10-08,46.612
2017-10-09,54.632
2017-10-10,55.729
2017-10-11,55.729
2017-10-12,92.881
2017-10-13,106.728
2017-10-14,74.305
2017-10-15,68.478
2017-10-16,69.575
2017-10-17,66.833
2017-10-18,68.478
2017-10-19,66.833
2017-10-20,75.402
2017-10-21,86.506
2017-10-22,73.757
2017-10-23,81.777
2017-10-24,90.687
2017-10-25,80.68
2017-10-26,79.583
2017-10-27,67.382
2017-10-28,56.826
2017-10-29,65.736
2017-10-30,74.853
2017-10-31,87.603
2017-11-01,104.867
2017-11-02,141.879
2017-11-03,129.542
2017-11-04,104.867
2017-11-05,98.699
2017-11-06,104.867
2017-11-07,98.699
2017-11-08,104.867
2017-11-09,98.699
2017-11-10,123.373
2017-11-11,117.205
2017-11-12,148.048
2017-11-13,129.542
2017-11-14,98.699
2017-11-15,104.867
2017-11-16,104.867
2017-11-17,123.373
2017-11-18,92.53
2017-11-19,92.53
2017-11-20,117.205
2017-11-21,123.373
2017-11-22,104.867
2017-11-23,98.699
2017-11-24,92.53
2017-11-25,98.699
2017-11-26,148.048
2017-11-27,197.398
2017-11-28,228.241
2017-11-29,376.289
2017-11-30,308.434
2017-12-01,234.41
2017-12-02,178.892
2017-12-03,178.892
2017-12-04,209.735
2017-12-05,215.904
2017-12-06,289.928
2017-12-07,579.855
2017-12-08,512.0
2017-12-09,345.446
2017-12-10,333.108
2017-12-11,388.626
2017-12-12,357.783
2017-12-13,320.771
2017-12-14,283.759
2017-12-15,259.084
2017-12-16,252.916
2017-12-17,283.759
2017-12-18,289.928
2017-12-19,302.265
2017-12-20,407.132
2017-12-21,320.771
2017-12-22,616.867
2017-12-23,382.458
2017-12-24,289.928
2017-12-25,240.578
2017-12-26,240.578
2017-12-27,228.241
2017-12-28,228.241
2017-12-29,203.566
2017-12-30,203.566
2017-12-31,172.723
2018-01-01,158.04
2018-01-02,189.385
2018-01-03,186.3
2018-01-04,181.447
2018-01-05,179.677
2018-01-06,158.494
2018-01-07,159.809
2018-01-08,177.908
2018-01-09,167.747
2018-01-10,174.824
2018-01-11,196.007
2018-01-12,161.578
2018-01-13,141.71
2018-01-14,132.003
2018-01-15,133.318
2018-01-16,263.551
2018-01-17,355.816
2018-01-18,240.598
2018-01-19,179.677
