Lag,BAT,BTC,DASH,DCR,DOGE,ETC,ETH,GNO,IOTA,LTC,QTUM,USDT,XLM,XRP,ZEC
1,7.2681552000482924e-09,0.00013120701664701438,0.0011859878083734232,0.012501242448405003,0.004029930615492655,3.238795583933357e-06,0.00019971438617892118,0.35330844121361726,9.207880847429307e-15,1.078195535210354e-08,0.0007998312581805054,0.45939480996914195,0.0056819746437931275,0.2586296541659126,0.0010496919617973177
2,1.6922598174739195e-11,0.00019372005929320843,0.0003536598548661429,0.0021356185520772283,0.017432607826124154,2.0287529461647736e-05,0.00014353746480508684,0.6973917918633129,1.4876452103528837e-14,4.252855426286345e-08,0.0008280073946751963,0.7551239952401179,0.002268555461583413,0.24515704091891596,0.005178016453048967
3,1.1218444868133137e-10,0.00018875067384720303,0.0010177659805221237,0.0025783816610688154,0.023331932398479915,7.567909627049397e-05,0.0003159166879434865,0.7981183636263679,5.5928193302767805e-14,2.795741663117875e-11,0.0007634860382322483,0.6836646497141206,0.0028693901202292873,0.1234884512555595,0.00977134216014478
4,5.060359271082908e-09,2.6501860460310316e-05,0.0009399806022692882,0.0026775785417653534,0.0038439650194646547,5.599191631917211e-05,0.00046063369535856045,0.7845081483141583,1.9294136766374875e-13,1.4026373842070133e-10,0.0017568532003568332,0.7148190635811308,0.0007412906080569631,0.01771688407547609,0.02684492170552557
5,1.1739384009017673e-07,9.146118552503213e-05,0.003451373005017684,0.012971790363225133,0.005461548504815902,0.0001723058620546179,0.0007701778861353705,0.86774372754489,1.3785972704649807e-13,3.5563092466090747e-10,0.0004954357438715374,0.6125034470561614,0.0021453199239151186,0.0309118722536919,0.041604714423622444
6,8.183632627690968e-08,0.000128134873351636,0.0005871977090030674,0.0261964973123381,0.012549816727277193,0.0002955321471249519,0.0004889467294205777,0.8812621677929102,6.564619751945087e-13,1.623298029199039e-09,0.0010877558872282715,0.7919278859922574,0.00295642854518974,0.005948864778839875,0.03668024472479663
7,2.0850518714087795e-07,0.0004924059630236509,0.0001671661106873028,0.018399846858763107,0.02135611364676372,0.0007233909798720133,0.0017094375995802152,0.9177645710413792,3.5002345894082604e-13,4.985027252576339e-09,0.0010214527175986682,0.43312017933604374,0.005582958355661368,0.016225812055969045,0.07935294423806138
8,3.9217743992236635e-07,0.00022343565898871407,0.00030079816558540196,0.04966626717020625,0.01101034123365344,0.0008480235768558425,0.00015003021104594827,0.9204768106351358,2.0458177147606933e-17,2.5089496590494585e-09,0.001447847481645722,0.4312211321729776,0.006442031153276073,0.023890160337137326,0.1438478958670724
9,5.234292634626403e-07,0.00043178761247582997,5.5710825655612334e-05,0.07321248281128005,0.01318778197447458,0.001072227633893781,0.0001603685496353865,0.8607151109949616,6.109102473714188e-17,4.0919954135582294e-09,0.0007974841323786342,0.44027914865704965,0.011029720754262501,0.03658852453105802,0.21385841623036222
10,2.7337599142909206e-07,0.00019742819231504687,4.473750929218064e-05,0.1004404323655726,0.009494489935094648,0.001254540339591837,0.00020161184660349313,0.7410056937545995,1.1494738793772235e-16,8.633252916579654e-09,0.0007266219583362276,0.45392886826502976,0.017360647357778015,0.06007955373166822,0.27851382727785284
11,5.098787761275509e-08,0.00035527253176265985,1.1667041639844659e-05,0.13302215804841006,0.015903955981615227,0.001643025075238133,0.0003652581044211786,0.7733158398715874,3.433223727009084e-16,2.055606207846372e-08,0.00014765488581141626,0.3159150968905023,0.01743462685106507,0.07069889461264506,0.15628414416523295
12,3.4193496421843616e-08,0.0006799147503901532,2.4242650346055562e-05,0.15150110735406436,0.013422102936707727,0.0029475545812492673,0.0006165667052517438,0.6539042884092199,4.4322925020786154e-16,4.146200884768371e-08,0.0003259798393035503,0.28493751094833697,0.016680495172459748,0.0961719709280213,0.19643415930790872
13,8.737862758929017e-08,0.0009290556061163239,4.417000810852734e-05,0.22704284489313714,0.0019192385911128357,0.0033901925521904776,0.000543202582968014,0.6054184891637013,7.892086406064761e-16,8.182279168851301e-08,0.0003625970907035915,0.24136020341249356,0.024443585381205654,0.15775354490889348,0.06560209973577984
14,1.0355222481894877e-07,0.0011082430776481677,1.630266288083893e-05,0.3361278878201859,0.0031078439263729847,0.0011887456387679135,0.0007021603543467651,0.43854638016506964,3.622664316239994e-15,4.5849549776427746e-07,0.0009971909511633883,0.2615363283342743,0.015556546931764195,0.10764067943854773,0.012467503676822029
15,1.4417472050371434e-07,0.0016533371734015908,1.6345703896550554e-05,0.479119103506217,0.00010088278285463205,0.0010638401167947938,0.001384749331895341,0.4831283056760691,9.861828553719574e-18,7.093203511084531e-07,0.0006000975391088775,0.36246584639728674,0.014664998506449487,0.1114146625987875,0.01402360747844482
16,4.1440404917705617e-07,0.00047772369257103144,3.390358287089344e-05,0.3182082133973166,0.00018267355970083963,0.001439144380664731,0.001811955933717385,0.4908923769291008,2.770331391744366e-17,1.0573382583956661e-06,0.0006532943709939528,0.15072470306789582,0.006591507305128191,0.09632789366577485,0.014197411541761741
17,1.0679889654680667e-07,5.405262984450084e-05,7.626620014033114e-05,0.37927448686934584,0.00014131582420991813,0.0012802991069617404,0.000626161877862306,0.5564449843770496,4.760922354901085e-17,1.4628297843353476e-06,0.0002398867049160829,0.16549858191680522,0.007775829318825662,0.16494672197863447,0.017457009758120604
18,1.6024673124632856e-07,3.8185714970327416e-05,0.00011182431748917406,0.3788234007254369,7.48257712092471e-05,0.0011464523314009174,0.00021241748972237708,0.5969807582392725,6.173906142536832e-17,9.572414646322122e-07,0.00016802433967623735,0.14574288660913215,0.010046482733699994,0.10958608667038754,0.023144949738425357
19,2.0909509161971042e-07,5.028063036362005e-05,8.548482001330317e-05,0.3600178434323987,9.835619936692838e-05,0.0016906834502813817,3.0116045768530128e-05,0.6439670992226683,1.597657903399716e-16,1.080318180151044e-06,9.152987349602807e-05,0.015611816845123408,0.016472416869273466,0.13992178886997822,0.023450360933303712
20,5.3731110383064697e-08,6.336581855719102e-05,0.00018590868844817212,0.43513863841721623,1.5613581469061087e-05,0.0019786331890107836,3.3303866649455883e-05,0.6648487025574644,2.2018360327751514e-16,2.190400379199049e-06,1.4354604889413257e-05,0.021647214744906496,0.02436916472252969,0.17579822283889399,0.019319541632455375
21,7.775050009569251e-08,4.801881603764294e-06,0.0002637612135794943,0.4768454619309417,3.9356524611312343e-07,0.0026461062463566834,4.173417693849157e-05,0.2561618405796396,6.203921485471639e-16,2.5266716410789035e-06,1.3592868890775627e-05,0.024430824345437044,0.0032019014258769228,0.12413764787252958,0.024872507251072838
