TIMESTAMP,RWT_OPEN_PRICE_USD,RWT_HIGH_PRICE_USD,RWT_LOW_PRICE_USD,RWT_CLOSE_PRICE_USD,RWT_VOLUME_USD,RWT_DIVIDENDS_USD,RWT_STOCK_SPLITS_USD
2024-06-25 00:00:00+00:00,7.599999662488699e-05,0.00027600000612437725,1.2000000424450263e-05,3.5000000934815034e-05,104351,0.0,0.0
2024-06-26 00:00:00+00:00,3.5000000934815034e-05,6.500000017695129e-05,1.9999999494757503e-05,4.400000034365803e-05,10579,0.0,0.0
2024-06-27 00:00:00+00:00,4.400000034365803e-05,5.2999999752501026e-05,4.3000000005122274e-05,5.199999941396527e-05,135503,0.0,0.0
2024-06-28 00:00:00+00:00,5.199999941396527e-05,5.2999999752501026e-05,4.5000000682193786e-05,4.600000102072954e-05,117714,0.0,0.0
2024-06-29 00:00:00+00:00,4.600000102072954e-05,4.8999998398358e-05,3.9999998989515007e-05,3.9999998989515007e-05,128170,0.0,0.0
2024-06-30 00:00:00+00:00,4.099999932805076e-05,4.3000000005122274e-05,3.099999958067201e-05,3.7999998312443495e-05,122876,0.0,0.0
2024-07-01 00:00:00+00:00,3.7999998312443495e-05,3.9999998989515007e-05,2.9000000722589903e-05,2.9000000722589903e-05,117331,0.0,0.0
2024-07-02 00:00:00+00:00,2.9000000722589903e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.9999999242136255e-05,119027,0.0,0.0
2024-07-03 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.8000000384054147e-05,107663,0.0,0.0
2024-07-04 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,2.700000004551839e-05,2.9999999242136255e-05,91949,0.0,0.0
2024-07-05 00:00:00+00:00,2.9999999242136255e-05,4.5000000682193786e-05,2.9999999242136255e-05,4.5000000682193786e-05,102567,0.0,0.0
2024-07-06 00:00:00+00:00,4.5000000682193786e-05,4.999999873689376e-05,4.400000034365803e-05,4.5000000682193786e-05,110562,0.0,0.0
2024-07-07 00:00:00+00:00,4.5000000682193786e-05,4.600000102072954e-05,4.199999966658652e-05,4.400000034365803e-05,114873,0.0,0.0
2024-07-08 00:00:00+00:00,4.400000034365803e-05,4.8000001697801054e-05,4.400000034365803e-05,4.8000001697801054e-05,115731,0.0,0.0
2024-07-09 00:00:00+00:00,4.8000001697801054e-05,5.2999999752501026e-05,4.600000102072954e-05,5.2999999752501026e-05,127850,0.0,0.0
2024-07-10 00:00:00+00:00,5.2999999752501026e-05,5.700000110664405e-05,5.2999999752501026e-05,5.500000042957254e-05,143060,0.0,0.0
2024-07-11 00:00:00+00:00,5.500000042957254e-05,6.299999949987978e-05,5.500000042957254e-05,6.199999916134402e-05,133897,0.0,0.0
