,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.015157787185957367,0.12309225484181603,0.0995596397925601,0.0504424215051567,4478314.410571575,2115.7780907055153,1711.2863385416665,0.04773431816569464,0.18434824710376208
1,0.005261977205575999,0.07249251832900712,0.05942732331641107,0.031155494432370867,1554633.3958772558,1246.042056485786,1021.4702209341398,0.02942381039134907,0.8374871295943197
2,0.008497153649933267,0.09215338735288224,0.07548507804595543,0.029807727698258468,2510454.8480570316,1583.9839416431398,1297.4793565188172,0.0285455496428864,0.7559784149424021
3,0.016036738323486666,0.12660386715562164,0.09522791922356254,0.037790706150420204,4737999.063266047,2176.1380191995213,1636.8305190972217,0.03618554670481194,0.5030899755272102
4,0.0150743721081381,0.12274597509281227,0.0935211068407434,0.028881795122431834,4483441.418000628,2116.8661339993437,1612.8567725134405,0.027915811019837467,0.8186211845422752
5,0.009802690762470201,0.09898792624446907,0.07779649541622413,0.0286850513181701,4402931.618335179,2097.879528360632,1648.7633611111105,0.027756694801207533,0.6588334113341371
6,0.0028828908770474667,0.05368672163461433,0.03966884637629773,0.0323997887428216,4310698.8109759735,2075.996525004312,1533.9431165994617,0.03113780368207213,0.3933510252163242
7,0.0009472466011378001,0.030751748837294132,0.021997397857293797,0.022242378079797565,1416389.1275666738,1189.130670079774,850.6110399865591,0.021173541468601533,0.8785437545981948
8,0.0010293103349218666,0.03208207525679296,0.022405922136375867,0.0320935189323552,3169901.3804095127,1780.3777647892657,1243.4045758928569,0.030577022523909966,0.49226234713537004
9,0.0006022277036522333,0.0245147487604081,0.018322377115903066,0.027583551453362498,2115891.798136504,1453.0943276175767,1086.045882056452,0.026299918597857668,0.7472036547796899
10,0.000340164241703,0.01843643988359467,0.014681639486106667,0.023190370877605934,1293325.9807135556,1136.8069858408735,905.2829756944444,0.0221028960925302,0.7931659904217501
11,0.0004648252791070333,0.021557292291235333,0.017114770116614733,0.03542599710552053,1767296.6106663004,1329.2420233603418,1055.3120421706992,0.033267308307479294,0.8445085671059801
Mean,0.006341448689427583,0.06809207964004566,0.05293404297700405,0.03164156678485596,3020106.5385480192,1691.7780055905068,1300.2738500930725,0.03017668511651982,0.6589494751917847
