TIMESTAMP,KMD_CLOSE_PRICE_USD,KMD_OPEN_PRICE_USD,KMD_HIGH_PRICE_USD,KMD_LOW_PRICE_USD
2017-12-08,3.2937,3.175,3.3968,2.7042
2017-12-09,3.1324,3.3095,3.4921,2.8377
2017-12-10,2.806,3.1176,3.1462,2.4872
2017-12-11,3.2833,2.806,3.3276,2.7612
2017-12-12,3.6186,3.2833,3.7155,3.1639
2017-12-13,3.4677,3.6186,3.7241,3.1746
2017-12-14,3.6803,3.4677,3.8333,3.3968
2017-12-15,4.5789,3.6803,4.7719,3.4831
2017-12-16,4.4423,4.5702,4.7719,4.3148
2017-12-17,4.6981,4.4231,5.0577,4.3824
2017-12-18,5.6038,4.6981,5.7264,4.4643
2017-12-19,5.681,5.6604,6.4245,5.4068
2017-12-20,7.7869,5.681,8.4035,4.8413
2017-12-21,11.0859,7.7869,13.7203,7.4426
2017-12-22,11.0724,11.1406,13.0781,7.4677
2017-12-23,11.1197,11.0724,12.3116,9.9408
2017-12-24,10.2432,11.3239,11.3239,8.5176
2017-12-25,10.4247,10.3041,11.027,9.3924
2017-12-26,10.125,10.4247,10.5956,9.4231
2017-12-27,9.6462,10.0781,10.125,9.0435
2017-12-28,9.0071,9.7077,9.7462,7.5278
2017-12-29,9.6929,8.9929,10.1912,8.5141
2017-12-30,8.8025,9.6929,11.2929,7.9345
2017-12-31,9.91667,8.62025,10.06667,8.5
2018-01-01,9.54667,9.79452,10.10135,8.96154
2018-01-02,10.33088,9.58667,10.60145,9.41667
2018-01-03,10.04545,10.46323,10.46323,9.17647
2018-01-04,9.23485,10.04545,10.50725,8.71831
2018-01-05,8.37288,9.23485,10.23016,8.11017
2018-01-06,9.28448,8.37288,9.5,7.66667
2018-01-07,11.05762,9.28448,11.70833,9.11017
2018-01-08,9.61503,11.063,11.64571,8.32516
2018-01-09,8.91403,9.55535,9.60562,8.57479
2018-01-10,8.40156,8.94779,8.94779,7.39487
2018-01-11,7.18259,8.39324,8.4158,5.84826
2018-01-12,8.22257,7.17117,8.51122,6.93829
2018-01-13,8.97004,8.23839,9.5323,8.17312
2018-01-14,7.98762,8.96494,8.98609,7.25613
2018-01-15,7.88533,8.00352,8.34577,7.71433
2018-01-16,5.51408,7.98573,8.02282,4.50972
2018-01-17,5.89246,5.51446,6.20106,4.15619
2018-01-18,6.20454,5.92396,6.93113,5.41237
2018-01-19,6.73476,6.14481,7.05203,5.89878
2018-01-20,8.10839,6.74234,8.71926,6.74234
2018-01-21,6.87839,8.1117,8.43875,6.37157
2018-01-22,6.2162,6.89978,6.98714,5.54127
2018-01-23,6.22414,6.20498,6.80666,5.61184
2018-01-24,6.83185,6.2209,7.01552,6.12878
2018-01-25,6.65126,6.79404,7.0017,6.40321
2018-01-26,6.52923,6.6328,6.90691,5.84078
2018-01-27,6.73081,6.51129,6.75679,6.23229
2018-01-28,6.97939,6.72336,7.24662,6.62217
2018-01-29,7.03717,6.97812,7.30437,6.74041
2018-01-30,5.90779,7.03323,7.09616,5.64672
2018-01-31,5.91278,5.91863,6.00101,5.43153
2018-02-01,4.98947,5.91202,5.9567,4.67072
2018-02-02,4.47827,4.97422,4.97856,3.66482
2018-02-03,5.09336,4.47429,5.18615,4.14202
2018-02-04,4.25693,5.0958,5.25296,3.96282
2018-02-05,3.27184,4.25344,4.39263,3.07106
2018-02-06,3.79143,3.28152,3.87083,2.54641
2018-02-07,3.59679,3.74958,4.13547,3.49209
2018-02-08,3.94494,3.6241,4.11283,3.62072
2018-02-09,4.30426,3.93454,4.42167,3.75998
2018-02-10,4.17289,4.30089,4.65383,3.90629
2018-02-11,3.9247,4.17473,4.17767,3.65487
2018-02-12,4.13986,3.92897,4.24431,3.89991
2018-02-13,3.90678,4.15268,4.20779,3.8236
2018-02-14,4.51165,3.90774,4.55368,3.88768
2018-02-15,5.07734,4.5035,5.63113,4.48055
2018-02-16,5.1357,5.06868,5.18498,4.78041
2018-02-17,5.35287,5.14594,5.81913,5.14594
2018-02-18,4.83976,5.36363,5.54031,4.62289
