,K,Alpha,Tau,Non_Stationary_IMFs,MSE,IMF_1_P_Val
0,12,750,0.3,1,82.7146869688742,0.01
1,9,500,0.3,1,82.71759007465667,0.01
2,12,750,0.25,1,82.71999714401883,0.01
3,9,500,0.25,1,82.72078537080958,0.01
4,10,500,0.3,1,82.7212595593582,0.01
5,9,250,0.3,1,82.72327595278254,0.01
6,8,250,0.3,1,82.72403787696852,0.01
7,10,250,0.3,1,82.72553442387729,0.01
8,10,500,0.25,1,82.72614032827255,0.01
9,11,250,0.3,1,82.72871021340363,0.01
10,9,250,0.25,1,82.72922157987709,0.01
11,7,250,0.3,1,82.73027067132192,0.01
12,8,250,0.25,1,82.73047412172906,0.01
13,12,500,0.3,1,82.7314195921704,0.01
14,10,250,0.25,1,82.73258817083295,0.01
15,10,500,0.2,1,82.73528992181303,0.01
16,11,250,0.25,1,82.73730830054556,0.01
17,12,500,0.25,1,82.7390424690977,0.01
18,7,250,0.25,1,82.73994913701185,0.01
19,9,250,0.2,1,82.74059461278962,0.01
20,15,1000,0.3,1,82.74161599166574,0.01
21,8,250,0.2,1,82.74285605225626,0.01
22,10,250,0.2,1,82.74601989996681,0.01
23,11,500,0.3,1,82.74756067764676,0.01
24,12,500,0.2,1,82.7531312975112,0.01
25,11,250,0.2,1,82.75357331932481,0.01
26,7,250,0.2,1,82.7581411929911,0.01
27,11,500,0.25,1,82.765288317553,0.01
28,9,250,0.15,1,82.76664530055444,0.01
29,8,250,0.15,1,82.77140110162392,0.01
30,10,500,0.15,1,82.77539813982554,0.01
31,10,250,0.15,1,82.77654475767686,0.01
32,11,250,0.15,1,82.79012820346593,0.01
33,12,500,0.15,1,82.79184228101732,0.01
34,11,500,0.2,1,82.79938272412994,0.01
35,9,500,0.2,1,82.80805087433174,0.01
36,15,1000,0.25,1,82.83666141877116,0.01
37,9,250,0.1,1,82.84958939030783,0.01
38,11,500,0.15,1,82.85989153852913,0.01
39,8,250,0.1,1,82.87143270780051,0.01
40,10,250,0.1,1,82.87221448855959,0.01
41,7,250,0.15,1,82.89668815324266,0.01
42,11,250,0.1,1,82.90240657400128,0.01
43,11,750,0.3,1,83.01766539510768,0.01
44,12,500,0.1,1,83.38203441579313,0.01
45,15,750,0.3,1,83.4435656406182,0.01
46,9,250,0.05,1,83.45073212940811,0.01
47,10,250,0.05,1,83.4892815646269,0.01
48,11,250,0.05,1,83.53899088390014,0.01
49,15,750,0.25,1,83.55310769197929,0.01
50,15,750,0.2,1,83.7272211546526,0.01
51,15,750,0.15,1,84.13609713593712,0.01
52,13,750,0.3,1,84.71927875133697,0.01
53,12,250,0.3,1,85.23877241984657,0.01
54,14,1000,0.3,1,85.37579851598956,0.01
55,15,1250,0.3,1,85.65303375370138,0.01
56,13,250,0.3,1,85.93868817382211,0.01
57,11,750,0.25,1,86.0545464605926,0.01
58,14,500,0.3,1,86.25773307296417,0.01
59,12,250,0.25,1,86.28067039859108,0.01
60,10,500,0.1,1,86.35053646447581,0.01
61,14,750,0.25,1,86.70261263217456,0.01
62,14,750,0.3,1,87.01626269090606,0.01
63,13,750,0.25,1,87.03718824716702,0.01
64,14,750,0.2,1,87.34696011250517,0.01
65,13,250,0.25,1,87.38892541434373,0.01
66,12,250,0.2,1,88.18054102018775,0.01
67,14,500,0.25,1,88.30454856960989,0.01
68,15,250,0.3,1,88.84245833984062,0.01
69,13,250,0.2,1,90.027102744119,0.01
70,13,1000,0.3,1,91.06385039800739,0.01
71,15,250,0.25,1,91.27129469455001,0.01
72,14,250,0.3,1,91.77812358998332,0.01
73,12,250,0.15,1,92.2397746013883,0.01
74,12,750,0.2,1,92.34917676438795,0.01
75,14,750,0.15,1,93.24226650787035,0.01
76,15,1500,0.3,1,93.59693410306157,0.01
77,13,750,0.2,1,93.94428791443009,0.01
78,14,500,0.2,1,94.73591204722794,0.01
79,15,1000,0.2,1,95.03743715938248,0.01
80,15,250,0.2,1,95.50162005580887,0.01
81,13,250,0.15,1,95.55612802123962,0.01
82,14,250,0.25,1,96.46629875059706,0.01
83,13,500,0.3,1,97.30602664584399,0.01
84,9,500,0.15,1,98.0900910926426,0.01
85,13,500,0.25,1,98.23147949976315,0.01
86,13,500,0.2,1,99.38464143983603,0.01
87,13,500,0.15,1,101.46868173030234,0.01
88,12,250,0.1,1,103.31994232186784,0.01
89,15,250,0.15,1,103.83118203453958,0.01
90,14,250,0.2,1,104.69702756197577,0.01
91,15,500,0.3,1,105.4327462847071,0.01
92,15,1250,0.25,1,105.61259224316068,0.01
93,15,750,0.1,1,105.63466754740044,0.01
94,13,250,0.1,1,110.24479615197853,0.01
95,15,500,0.25,1,110.86776856954158,0.01
96,13,500,0.1,1,113.90741746898804,0.01
97,15,500,0.2,1,119.48216672362905,0.01
98,14,250,0.15,1,119.52732603699523,0.01
99,11,500,0.1,1,119.5934911841464,0.01
100,15,250,0.1,1,123.61986116231456,0.01
101,10,500,0.05,1,131.98413197928218,0.01
102,12,500,0.05,1,132.17765519773954,0.01
103,15,500,0.15,1,136.83993321570958,0.01
104,14,500,0.15,1,142.24091706009642,0.01
105,14,1000,0.25,1,143.4305198284037,0.01
106,14,1000,0.2,1,148.46766590664473,0.01
107,12,250,0.05,1,149.3073917099235,0.01
108,14,250,0.1,1,149.85420360418647,0.01
109,8,250,0.05,1,150.95467437433888,0.01
