TIMESTAMP,JOTCHUA_OPEN_PRICE_USD,JOTCHUA_HIGH_PRICE_USD,JOTCHUA_LOW_PRICE_USD,JOTCHUA_CLOSE_PRICE_USD,JOTCHUA_VOLUME_USD,JOTCHUA_DIVIDENDS_USD,JOTCHUA_STOCK_SPLITS_USD
2024-01-04 00:00:00+00:00,0.0006830000202171504,0.0006830000202171504,0.00031999999191612005,0.00035700001171790063,138729,0.0,0.0
2024-01-05 00:00:00+00:00,0.00035700001171790063,0.00045399999362416565,0.00031800000579096377,0.0003640000068116933,20729,0.0,0.0
2024-01-06 00:00:00+00:00,0.0003640000068116933,0.0003659999929368496,0.0001500000071246177,0.0002519999979995191,45073,0.0,0.0
2024-01-07 00:00:00+00:00,0.0002519999979995191,0.0002570000069681555,0.00020399999630171806,0.00020399999630171806,9201,0.0,0.0
2024-01-08 00:00:00+00:00,0.00020399999630171806,0.00024199999461416155,0.0001990000018849969,0.00024199999461416155,4403,0.0,0.0
2024-01-09 00:00:00+00:00,0.00024199999461416155,0.00028700000257231295,0.00023700000019744039,0.0002840000088326633,2231,0.0,0.0
2024-01-10 00:00:00+00:00,0.0002840000088326633,0.00032500000088475645,0.00025099999038502574,0.0002629999944474548,18197,0.0,0.0
2024-01-11 00:00:00+00:00,0.0002629999944474548,0.0003239999932702631,0.00024500000290572643,0.00029399999766610563,4131,0.0,0.0
2024-01-12 00:00:00+00:00,0.00029399999766610563,0.00031900001340545714,0.00016199999663513154,0.00016199999663513154,6486,0.0,0.0
2024-01-13 00:00:00+00:00,0.00016199999663513154,0.00016199999663513154,0.00014400000509340316,0.00014800000644754618,1566,0.0,0.0
2024-01-14 00:00:00+00:00,0.00014800000644754618,0.00016199999663513154,0.00014800000644754618,0.00016199999663513154,1420,0.0,0.0
2024-01-15 00:00:00+00:00,0.00016199999663513154,0.00016199999663513154,0.00015100000018719584,0.00015100000018719584,1232,0.0,0.0
2024-01-16 00:00:00+00:00,0.00015100000018719584,0.00015700000221841037,0.00014899999951012433,0.00015700000221841037,918,0.0,0.0
2024-01-17 00:00:00+00:00,0.00015700000221841037,0.00016199999663513154,0.00014899999951012433,0.0001539999939268455,3651,0.0,0.0
2024-01-18 00:00:00+00:00,0.0001539999939268455,0.0001539999939268455,0.00012199999764561653,0.00014099999680183828,5909,0.0,0.0
2024-01-19 00:00:00+00:00,0.00014099999680183828,0.00014600000577047467,0.00013499999477062374,0.00014600000577047467,1325,0.0,0.0
2024-01-20 00:00:00+00:00,0.00014600000577047467,0.00015900000289548188,0.00014600000577047467,0.00015500000154133886,1742,0.0,0.0
2024-01-21 00:00:00+00:00,0.00015500000154133886,0.00015500000154133886,0.0001500000071246177,0.0001500000071246177,349,0.0,0.0
2024-01-22 00:00:00+00:00,0.0001500000071246177,0.0001500000071246177,9.699999645818025e-05,9.699999645818025e-05,4257,0.0,0.0
