TIMESTAMP,ACH_OPEN_PRICE_USD,ACH_HIGH_PRICE_USD,ACH_LOW_PRICE_USD,ACH_CLOSE_PRICE_USD
2022-05-24,0.0219458,0.0374051,0.0211467,0.0222111
2022-05-25,0.0222111,0.026668,0.0208649,0.021654
2022-05-26,0.021674,0.0224253,0.0173227,0.0176723
2022-05-27,0.0175707,0.017972,0.015994,0.0166433
2022-05-28,0.0166109,0.0178716,0.0163176,0.0176393
2022-05-29,0.017449,0.0178889,0.0168316,0.017091
2022-05-30,0.0170907,0.0184671,0.0169816,0.0183253
2022-05-31,0.0183053,0.0184053,0.0171663,0.0174243
2022-06-01,0.0173764,0.017807,0.0155744,0.0156943
2022-06-02,0.0156959,0.0160156,0.0152662,0.0156559
2022-06-03,0.0156759,0.0157878,0.0147432,0.0153466
2022-06-04,0.0154066,0.0158173,0.0149779,0.0152384
2022-06-05,0.0152387,0.0158067,0.0149874,0.0153655
2022-06-06,0.0153655,0.016135,0.015087,0.0153671
2022-06-07,0.0153871,0.0155266,0.0144481,0.0151677
2022-06-08,0.0151886,0.0157293,0.0148403,0.0152101
2022-06-09,0.0152301,0.0157677,0.0146085,0.0147076
2022-06-10,0.0146975,0.0153861,0.0140555,0.0144716
2022-06-11,0.0144814,0.0145515,0.0126843,0.013265
2022-06-12,0.0132748,0.0133649,0.0119431,0.0127243
2022-06-13,0.0127143,0.0160779,0.0105782,0.0121732
2022-06-14,0.0121732,0.0149468,0.0114931,0.0118258
2022-06-15,0.0118157,0.0124259,0.0109403,0.0123514
2022-06-16,0.0123415,0.0124863,0.0113963,0.0119664
2022-06-17,0.0120922,0.012797,0.0118773,0.012091
2022-06-18,0.01209,0.012212,0.0107848,0.0114215
2022-06-19,0.0114313,0.012515,0.0108444,0.0124838
2022-06-20,0.0124351,0.0125162,0.0118745,0.0122465
2022-06-21,0.0122265,0.0142971,0.0121654,0.0134865
2022-06-22,0.0134965,0.0136963,0.0120679,0.0122178
