TIMESTAMP,NITEFEEDER_OPEN_PRICE_USD,NITEFEEDER_HIGH_PRICE_USD,NITEFEEDER_LOW_PRICE_USD,NITEFEEDER_CLOSE_PRICE_USD,NITEFEEDER_VOLUME_USD,NITEFEEDER_DIVIDENDS_USD,NITEFEEDER_STOCK_SPLITS_USD
2024-04-16 00:00:00+00:00,,,,0.0,550102,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,955464,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,1299644,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,828381,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,559785,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,641681,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,416905,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,307892,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,209839,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,385148,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,181415,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,174018,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,119457,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,115981,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,73024,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,43896,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,50238,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,82401,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,70083,0.0,0.0
2024-05-05 00:00:00+00:00,,,,0.0,81273,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,204336,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,59090,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,39177,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,47431,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,38332,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,36395,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,13236,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,36691,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,76681,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,70434,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,19920,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,34033,0.0,0.0
