TIMESTAMP,GAS_CLOSE_PRICE_USD,GAS_OPEN_PRICE_USD,GAS_HIGH_PRICE_USD,GAS_LOW_PRICE_USD
2017-11-25,21.62,22.78,22.8,20.0
2017-11-26,23.99,21.62,25.95,19.0
2017-11-27,22.97,23.99,23.99,21.0
2017-11-28,21.4,22.97,22.97,21.25
2017-11-29,19.07,21.4,22.84,18.99
2017-11-30,18.8,19.07,21.05,17.56
2017-12-01,19.54,18.8,20.21,17.8
2017-12-02,20.31,19.54,22.88,18.88
2017-12-03,20.89,20.31,23.8,19.34
2017-12-04,22.05,20.89,22.81,19.42
2017-12-05,19.46,22.05,22.48,19.46
2017-12-06,20.15,19.46,21.31,17.8
2017-12-07,20.21,20.15,20.21,18.13
2017-12-08,17.39,20.21,20.21,17.34
2017-12-09,18.49,17.39,20.2,16.55
2017-12-10,17.0,18.49,18.49,16.55
2017-12-11,17.37,17.0,18.17,16.78
2017-12-12,16.35,17.37,18.2,16.0
2017-12-13,21.87,16.35,22.72,16.3
2017-12-14,24.04,21.87,24.69,17.79
2017-12-15,23.86,24.04,24.58,19.71
2017-12-16,24.12,23.86,31.66,21.86
2017-12-17,31.03,24.12,34.24,23.42
2017-12-18,41.0,31.03,59.0,30.4
2017-12-19,35.64,41.0,45.0,29.0
2017-12-20,34.0,35.64,35.64,30.37
2017-12-21,30.93,34.0,34.99,30.84
2017-12-22,28.46,30.93,33.24,21.0
2017-12-23,26.92,28.46,28.46,22.25
2017-12-24,25.11,26.92,26.92,20.41
2017-12-25,27.99,25.11,28.22,23.98
2017-12-26,26.34,27.99,29.0,25.8
2017-12-27,31.92,26.34,33.89,26.33
2017-12-28,24.5,31.92,31.92,23.7
2017-12-29,27.95,24.5,29.53,24.5
2017-12-30,25.3,27.95,28.14,22.52
2017-12-31,29.14,25.3,29.14,23.5
2018-01-01,30.01,29.14,31.82,29.11
2018-01-02,31.25,30.01,35.71,29.0
2018-01-03,37.99,31.25,37.99,31.11
2018-01-04,43.45,37.99,44.0,31.39
2018-01-05,43.8,43.45,45.0,33.01
