TIMESTAMP,MDOGE34869_OPEN_PRICE_USD,MDOGE34869_HIGH_PRICE_USD,MDOGE34869_LOW_PRICE_USD,MDOGE34869_CLOSE_PRICE_USD,MDOGE34869_VOLUME_USD,MDOGE34869_DIVIDENDS_USD,MDOGE34869_STOCK_SPLITS_USD
2025-02-19 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,22,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,156,0.0,0.0
2025-02-22 00:00:00+00:00,,,,0.0,45,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,27,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,29,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,232,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,62,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,219,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,248,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,1161,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,143,0.0,0.0
2025-03-16 00:00:00+00:00,,,,0.0,793,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,1805,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,125,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,262,0.0,0.0
2025-03-24 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-03-25 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,814,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,36,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,438,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,147,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,12,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,108,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,155,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,231,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,35,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,106,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,132,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,49,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,40,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,75,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,83,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,21,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,1270,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,153,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,73,0.0,0.0
2025-06-01 00:00:00+00:00,4.4407616428543406e-07,4.4407616428543406e-07,3.9661816231273406e-07,4.000448257102107e-07,506,0.0,0.0
