,XMR
ETC,2.302465470637767e-07
LTC,1.88084816405403e-05
ETH,3.852898724061549e-05
BTC,0.0002865537390774772
MIOTA,0.0006770708481654425
ZEC,0.0012292189687210689
DASH,0.00124083215161098
DOGE,0.0026881032447748808
XLM,0.0034343868120884965
BAT,0.0067079976581530636
QTUM,0.007091928271554096
RLC,0.011741311640805652
ZEN,0.020207498377934657
DGB,0.04351724192820973
XRP,0.052628752153168375
DCR,0.07159213089317842
FIRO,0.07159502526390482
LSK,0.10399254173640055
XEM,0.10931409283063705
WAVES,0.11843686589804112
SC,0.1420287393660808
STEEM,0.16140846036081496
GNO,0.1889041544951025
SYS,0.20777076589350144
PIVX,0.22054708948404428
GAS,0.22717313213343301
ARK,0.24129165617895304
BTS,0.34862561579635976
ANT,0.6121433883559918
KMD,0.6746764061572053
LUNC,0.7763404294072305
