,XMR,Lag
PIVX,3.2956614449708217e-81,30
ETC,3.9376225673278554e-09,4
MIOTA,3.5778799550159014e-08,2
LTC,7.070495671662765e-07,4
BTC,7.849000568706357e-07,1
ETH,3.94866797346791e-06,12
DOGE,9.683651034929365e-06,24
ZEC,1.36983348206252e-05,2
BAT,4.449502805159813e-05,2
XLM,0.0001092249927791,4
DASH,0.0001481489121841,12
QTUM,0.0001992958390838,24
STEEM,0.0005011461859033,22
RLC,0.0007032302248086,3
DCR,0.0007086170599678,4
ARK,0.0010658085499283,20
DGB,0.0018476375399338,26
ZEN,0.0020986535146762,6
GNO,0.0038545047418175,1
XRP,0.0040323199307733,1
XEM,0.0141742239363266,17
BTS,0.0153389017774366,21
FIRO,0.0175877975334816,17
WAVES,0.0198491299708793,5
LSK,0.0235270039393436,13
SC,0.0312311882107483,17
ANT,0.05517162650557,1
GAS,0.059227626881526,1
SYS,0.0921150027639454,14
KMD,0.324079418806713,2
LUNC,0.488553514682323,10
