,close,labels
0,36841.085893146934,36693.09
1,36296.17942033972,37568.68
2,37091.94579204029,39246.79
3,39288.050874144086,36829.0
4,36410.5774518557,35513.2
5,35864.62006317256,35796.31
6,35474.831445510405,33552.79
7,33741.54190949325,33380.81
8,32722.23269566419,37388.05
9,37532.056484635825,36675.72
10,36030.12583171526,37331.98
11,37233.80183876978,35546.11
12,35425.41803932613,39020.57
13,39548.71595919194,40516.29
14,40337.75898344095,40144.04
15,40302.34327282686,38349.01
16,38296.75840998682,38092.97
17,37910.95860259674,35819.84
18,35761.59295576015,35483.72
19,35408.87379104993,35600.16
20,35535.831771586716,31608.93
21,31293.664001231027,32509.56
22,32497.12306326311,33678.07
23,34058.29971803181,34663.09
24,34569.93844677423,31584.45
25,31737.02569453031,32283.65
26,32058.206515932816,34700.34
27,35021.96917879136,34494.89
28,34337.08687784926,35911.73
29,35955.843602558016,35045.0
30,34685.81029991565,33504.69
31,33886.54312549135,33786.55
32,33744.648249502636,34669.13
33,34910.49313610646,35286.51
34,35270.81873789726,33690.14
35,33242.19857497642,34220.01
36,34584.49420105198,33862.12
37,34096.75163046527,32875.71
38,32890.08526911161,33815.81
39,33556.48016493514,33502.87
40,33386.39980665722,34258.99
41,34296.173119896135,33086.63
42,32939.415150682165,32729.77
43,32738.7802696616,32820.02
44,32867.47264088334,31880.0
45,31777.429831229754,31383.87
46,31488.62524572707,31520.07
47,31421.523728023818,31778.56
48,31947.38883773953,30839.65
49,30967.620862118703,29790.35
50,29856.696175154306,32144.51
51,32449.2384188253,32287.83
52,32270.43598208128,33634.09
53,33785.57579720012,34258.14
54,34279.70038901202,35381.02
55,35736.28428086619,37237.6
56,37390.26628090615,39457.87
57,39402.60925555079,40019.56
58,40069.251961280934,40016.48
59,39801.98778637789,42206.37
60,42224.89809655972,41461.83
61,41756.386056670184,39845.44
62,39935.63063146565,39147.82
63,39311.74718612906,38207.05
64,38364.957289211314,39723.18
65,40077.5475074103,40862.46
66,40715.513710769104,42836.87
67,42892.24250066552,44572.54
68,44424.93808944935,43794.37
69,44031.8213683089,46253.4
70,46939.082550924715,45584.99
71,46007.164453305806,45511.0
72,45790.34015337429,44399.0
73,44408.774015211966,47800.0
74,48114.9484166133,47068.51
75,46795.74619677185,46973.82
76,46624.474677735125,45901.29
77,46181.24992922567,44695.95
78,45377.32700045501,44705.29
79,45391.578417972145,46760.62
80,46958.53892657398,49322.47
81,49416.980670703175,48821.87
82,48656.12402049476,49239.22
83,48871.62687010368,49488.85
84,50103.45208184051,47674.01
85,47801.526703368116,48973.32
