TIMESTAMP,WULFY_OPEN_PRICE_USD,WULFY_HIGH_PRICE_USD,WULFY_LOW_PRICE_USD,WULFY_CLOSE_PRICE_USD,WULFY_VOLUME_USD,WULFY_DIVIDENDS_USD,WULFY_STOCK_SPLITS_USD
2025-03-08 00:00:00+00:00,,,,0.0,31,0.0,0.0
2025-03-15 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,19,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,55,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,167,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,18,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,87,0.0,0.0
2025-06-01 00:00:00+00:00,3.767741674209901e-08,3.767741674209901e-08,3.745048715586563e-08,3.745048715586563e-08,124,0.0,0.0
