TIMESTAMP,ADRENALINE_OPEN_PRICE_USD,ADRENALINE_HIGH_PRICE_USD,ADRENALINE_LOW_PRICE_USD,ADRENALINE_CLOSE_PRICE_USD,ADRENALINE_VOLUME_USD,ADRENALINE_DIVIDENDS_USD,ADRENALINE_STOCK_SPLITS_USD
2025-02-20 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-03-07 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-06-01 00:00:00+00:00,1.0051199916859613e-13,1.0051199916859613e-13,1.0051180265695236e-13,1.0051180265695236e-13,0,0.0,0.0
