TIMESTAMP,CLIPS_OPEN_PRICE_USD,CLIPS_HIGH_PRICE_USD,CLIPS_LOW_PRICE_USD,CLIPS_CLOSE_PRICE_USD,CLIPS_VOLUME_USD,CLIPS_DIVIDENDS_USD,CLIPS_STOCK_SPLITS_USD
2023-05-06 00:00:00+00:00,6.399999983841553e-05,7.200000254670158e-05,3.199999991920777e-05,3.5000000934815034e-05,26944751,0.0,0.0
2023-05-07 00:00:00+00:00,3.5000000934815034e-05,3.899999865097925e-05,1.8999999156221747e-05,1.9999999494757503e-05,8904285,0.0,0.0
2023-05-08 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,7.000000096013537e-06,9.999999747378752e-06,5326712,0.0,0.0
2023-05-09 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,4286368,0.0,0.0
2023-05-10 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,4.999999873689376e-06,6.000000212225132e-06,2059292,0.0,0.0
2023-05-11 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,2214500,0.0,0.0
2023-05-12 00:00:00+00:00,6.000000212225132e-06,9.999999747378752e-06,4.999999873689376e-06,7.000000096013537e-06,1767002,0.0,0.0
2023-05-13 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,1390006,0.0,0.0
2023-05-14 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,1442192,0.0,0.0
2023-05-15 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,1373303,0.0,0.0
2023-05-16 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,1496612,0.0,0.0
2023-05-17 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1417593,0.0,0.0
