TIMESTAMP,RCC36256_OPEN_PRICE_USD,RCC36256_HIGH_PRICE_USD,RCC36256_LOW_PRICE_USD,RCC36256_CLOSE_PRICE_USD,RCC36256_VOLUME_USD,RCC36256_DIVIDENDS_USD,RCC36256_STOCK_SPLITS_USD
2025-04-14 00:00:00+00:00,,,,0.0,96924,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,101074,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,14326,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,1357,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,412,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,24,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,162,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,31,0.0,0.0
2025-06-01 00:00:00+00:00,4.49530007402138e-14,4.49530007402138e-14,4.423500140401243e-14,4.466038812638712e-14,14,0.0,0.0
