TIMESTAMP,CATALORIAN_OPEN_PRICE_USD,CATALORIAN_HIGH_PRICE_USD,CATALORIAN_LOW_PRICE_USD,CATALORIAN_CLOSE_PRICE_USD,CATALORIAN_VOLUME_USD,CATALORIAN_DIVIDENDS_USD,CATALORIAN_STOCK_SPLITS_USD
2024-09-14 00:00:00+00:00,,,,0.0,345458,0.0,0.0
2024-09-15 00:00:00+00:00,,,,0.0,59040,0.0,0.0
2024-09-16 00:00:00+00:00,,,,0.0,17953,0.0,0.0
2024-09-17 00:00:00+00:00,,,,0.0,9791,0.0,0.0
2024-09-18 00:00:00+00:00,,,,0.0,5174,0.0,0.0
2024-09-19 00:00:00+00:00,,,,0.0,4215,0.0,0.0
2024-09-20 00:00:00+00:00,,,,0.0,12316,0.0,0.0
2024-09-21 00:00:00+00:00,,,,0.0,28047,0.0,0.0
2024-09-22 00:00:00+00:00,,,,0.0,10965,0.0,0.0
2024-09-23 00:00:00+00:00,,,,0.0,5565,0.0,0.0
2024-09-24 00:00:00+00:00,,,,0.0,7472,0.0,0.0
2024-09-25 00:00:00+00:00,,,,0.0,8679,0.0,0.0
2024-09-26 00:00:00+00:00,,,,0.0,2416,0.0,0.0
2024-09-27 00:00:00+00:00,,,,0.0,2816,0.0,0.0
2024-09-28 00:00:00+00:00,,,,0.0,1128,0.0,0.0
2024-09-29 00:00:00+00:00,,,,0.0,3534,0.0,0.0
2024-09-30 00:00:00+00:00,,,,0.0,889,0.0,0.0
2024-10-01 00:00:00+00:00,,,,0.0,3208,0.0,0.0
2024-10-02 00:00:00+00:00,,,,0.0,1368,0.0,0.0
2024-10-03 00:00:00+00:00,,,,0.0,4210,0.0,0.0
2024-10-04 00:00:00+00:00,,,,0.0,1642,0.0,0.0
2024-10-05 00:00:00+00:00,,,,0.0,587,0.0,0.0
2024-10-06 00:00:00+00:00,,,,0.0,1408,0.0,0.0
2024-10-07 00:00:00+00:00,,,,0.0,644,0.0,0.0
2024-10-08 00:00:00+00:00,,,,0.0,624,0.0,0.0
2024-10-09 00:00:00+00:00,,,,0.0,270,0.0,0.0
