TIMESTAMP,DESCIAI_OPEN_PRICE_USD,DESCIAI_HIGH_PRICE_USD,DESCIAI_LOW_PRICE_USD,DESCIAI_CLOSE_PRICE_USD,DESCIAI_VOLUME_USD,DESCIAI_DIVIDENDS_USD,DESCIAI_STOCK_SPLITS_USD
2025-02-27 00:00:00+00:00,,,,0.0,5306,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,5978,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,1842,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,2318,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,2265,0.0,0.0
2025-03-04 00:00:00+00:00,,,,0.0,1337,0.0,0.0
2025-03-05 00:00:00+00:00,,,,0.0,2209,0.0,0.0
2025-03-06 00:00:00+00:00,,,,0.0,2370,0.0,0.0
2025-03-07 00:00:00+00:00,,,,0.0,2272,0.0,0.0
2025-03-09 00:00:00+00:00,,,,0.0,1262,0.0,0.0
2025-03-10 00:00:00+00:00,,,,0.0,1574,0.0,0.0
2025-03-11 00:00:00+00:00,,,,0.0,4447,0.0,0.0
2025-03-12 00:00:00+00:00,,,,0.0,151,0.0,0.0
2025-03-13 00:00:00+00:00,,,,0.0,101,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,1478,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,1484,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,1220,0.0,0.0
2025-03-25 00:00:00+00:00,,,,0.0,2107,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,935,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,1017,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,1596,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,442,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,2460,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,853,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,790,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,505,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,702,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,244,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,577,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,467,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,1941,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,1186,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,798,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,272,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,343,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,885,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,315,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,257,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,58,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,1700,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,305,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,244,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,98,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,567,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,1486,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,309,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,428,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,825,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,421,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,1068,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,1716,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,81,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,128,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,55,0.0,0.0
2025-06-01 00:00:00+00:00,9.709499914148378e-13,9.709499914148378e-13,9.213919774722634e-13,9.44068608010884e-13,186,0.0,0.0
