TIMESTAMP,CHAD31477_OPEN_PRICE_USD,CHAD31477_HIGH_PRICE_USD,CHAD31477_LOW_PRICE_USD,CHAD31477_CLOSE_PRICE_USD,CHAD31477_VOLUME_USD,CHAD31477_DIVIDENDS_USD,CHAD31477_STOCK_SPLITS_USD
2024-05-28 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.600000102072954e-05,4.70000013592653e-05,28329,0.0,0.0
2024-05-29 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,4.5000000682193786e-05,4.5000000682193786e-05,6217,0.0,0.0
2024-05-30 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,4.099999932805076e-05,4.099999932805076e-05,33934,0.0,0.0
2024-05-31 00:00:00+00:00,4.099999932805076e-05,4.099999932805076e-05,3.9999998989515007e-05,3.9999998989515007e-05,15651,0.0,0.0
2024-06-01 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,3.899999865097925e-05,3.9999998989515007e-05,17370,0.0,0.0
2024-06-02 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,24054,0.0,0.0
2024-06-03 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.899999865097925e-05,3.899999865097925e-05,35231,0.0,0.0
2024-06-04 00:00:00+00:00,3.899999865097925e-05,4.099999932805076e-05,3.7999998312443495e-05,3.9999998989515007e-05,37199,0.0,0.0
2024-06-05 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,3.899999865097925e-05,3.899999865097925e-05,19735,0.0,0.0
2024-06-06 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.199999991920777e-05,3.199999991920777e-05,42154,0.0,0.0
2024-06-07 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.700000004551839e-05,2.700000004551839e-05,43552,0.0,0.0
2024-06-08 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.5999999706982635e-05,2.5999999706982635e-05,5413,0.0,0.0
2024-06-09 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,1.8000000636675395e-05,1.8999999156221747e-05,90427,0.0,0.0
2024-06-10 00:00:00+00:00,1.8999999156221747e-05,2.4000000848900527e-05,1.8999999156221747e-05,2.4000000848900527e-05,44152,0.0,0.0
