TIMESTAMP,MOONION_OPEN_PRICE_USD,MOONION_HIGH_PRICE_USD,MOONION_LOW_PRICE_USD,MOONION_CLOSE_PRICE_USD,MOONION_VOLUME_USD,MOONION_DIVIDENDS_USD,MOONION_STOCK_SPLITS_USD
2022-10-01 00:00:00+00:00,,,,0.0,1173,0.0,0.0
2022-10-02 00:00:00+00:00,,,,0.0,55921,0.0,0.0
2022-10-03 00:00:00+00:00,,,,0.0,40002,0.0,0.0
2022-10-04 00:00:00+00:00,,,,0.0,731,0.0,0.0
2022-10-05 00:00:00+00:00,,,,0.0,34170,0.0,0.0
2022-10-06 00:00:00+00:00,,,,0.0,25291,0.0,0.0
2022-10-07 00:00:00+00:00,,,,0.0,8363,0.0,0.0
2022-10-08 00:00:00+00:00,,,,0.0,11387,0.0,0.0
2022-10-09 00:00:00+00:00,,,,0.0,3465,0.0,0.0
2022-10-10 00:00:00+00:00,,,,0.0,888,0.0,0.0
2022-10-11 00:00:00+00:00,,,,0.0,13188,0.0,0.0
2022-10-12 00:00:00+00:00,,,,0.0,2893,0.0,0.0
2022-10-13 00:00:00+00:00,,,,0.0,5536,0.0,0.0
2022-10-14 00:00:00+00:00,,,,0.0,37,0.0,0.0
2022-10-15 00:00:00+00:00,,,,0.0,55,0.0,0.0
2022-10-16 00:00:00+00:00,,,,0.0,257,0.0,0.0
2022-10-17 00:00:00+00:00,,,,0.0,2571,0.0,0.0
2022-10-18 00:00:00+00:00,,,,0.0,108,0.0,0.0
2022-10-20 00:00:00+00:00,,,,0.0,1117,0.0,0.0
2022-10-21 00:00:00+00:00,,,,0.0,1498,0.0,0.0
2022-10-22 00:00:00+00:00,,,,0.0,7,0.0,0.0
2022-10-24 00:00:00+00:00,,,,0.0,331,0.0,0.0
2022-10-25 00:00:00+00:00,,,,0.0,8,0.0,0.0
2022-10-26 00:00:00+00:00,,,,0.0,29,0.0,0.0
2022-10-27 00:00:00+00:00,,,,0.0,1692,0.0,0.0
2022-10-28 00:00:00+00:00,,,,0.0,10,0.0,0.0
2022-10-29 00:00:00+00:00,,,,0.0,34,0.0,0.0
2022-10-30 00:00:00+00:00,,,,0.0,382,0.0,0.0
2022-10-31 00:00:00+00:00,,,,0.0,1214,0.0,0.0
2022-11-01 00:00:00+00:00,,,,0.0,6759,0.0,0.0
2022-11-02 00:00:00+00:00,,,,0.0,50,0.0,0.0
2022-11-03 00:00:00+00:00,,,,0.0,6806,0.0,0.0
2022-11-04 00:00:00+00:00,,,,0.0,495,0.0,0.0
2022-11-05 00:00:00+00:00,,,,0.0,202,0.0,0.0
2022-11-06 00:00:00+00:00,,,,0.0,1150,0.0,0.0
2022-11-07 00:00:00+00:00,,,,0.0,252,0.0,0.0
2022-11-08 00:00:00+00:00,,,,0.0,953,0.0,0.0
2022-11-09 00:00:00+00:00,,,,0.0,1379,0.0,0.0
2022-11-10 00:00:00+00:00,,,,0.0,382,0.0,0.0
2022-11-11 00:00:00+00:00,,,,0.0,158,0.0,0.0
2022-11-12 00:00:00+00:00,,,,0.0,1075,0.0,0.0
2022-11-13 00:00:00+00:00,,,,0.0,362,0.0,0.0
2022-11-14 00:00:00+00:00,,,,0.0,876,0.0,0.0
2022-11-15 00:00:00+00:00,,,,0.0,122,0.0,0.0
2022-11-16 00:00:00+00:00,,,,0.0,2387,0.0,0.0
2022-11-17 00:00:00+00:00,,,,0.0,642,0.0,0.0
2022-11-18 00:00:00+00:00,,,,0.0,39,0.0,0.0
2022-11-19 00:00:00+00:00,,,,0.0,1204,0.0,0.0
2022-11-20 00:00:00+00:00,,,,0.0,209,0.0,0.0
2022-11-21 00:00:00+00:00,,,,0.0,115,0.0,0.0
2022-11-22 00:00:00+00:00,,,,0.0,157,0.0,0.0
2022-11-23 00:00:00+00:00,,,,0.0,14,0.0,0.0
2022-11-24 00:00:00+00:00,,,,0.0,120,0.0,0.0
2022-11-25 00:00:00+00:00,,,,0.0,9,0.0,0.0
2022-11-27 00:00:00+00:00,,,,0.0,185,0.0,0.0
2022-11-28 00:00:00+00:00,,,,0.0,58,0.0,0.0
2022-11-29 00:00:00+00:00,,,,0.0,15,0.0,0.0
2022-11-30 00:00:00+00:00,,,,0.0,177,0.0,0.0
2022-12-01 00:00:00+00:00,,,,0.0,1408,0.0,0.0
2022-12-02 00:00:00+00:00,,,,0.0,313,0.0,0.0
2022-12-05 00:00:00+00:00,,,,0.0,7,0.0,0.0
2022-12-06 00:00:00+00:00,,,,0.0,665,0.0,0.0
2022-12-07 00:00:00+00:00,,,,0.0,2,0.0,0.0
2022-12-08 00:00:00+00:00,,,,0.0,42,0.0,0.0
2022-12-09 00:00:00+00:00,,,,0.0,831,0.0,0.0
2022-12-10 00:00:00+00:00,,,,0.0,32,0.0,0.0
2022-12-11 00:00:00+00:00,,,,0.0,53,0.0,0.0
2022-12-12 00:00:00+00:00,,,,0.0,369,0.0,0.0
2022-12-13 00:00:00+00:00,,,,0.0,12,0.0,0.0
2022-12-14 00:00:00+00:00,,,,0.0,13,0.0,0.0
2022-12-15 00:00:00+00:00,,,,0.0,271,0.0,0.0
2022-12-16 00:00:00+00:00,,,,0.0,156,0.0,0.0
2022-12-20 00:00:00+00:00,,,,0.0,7,0.0,0.0
2022-12-21 00:00:00+00:00,,,,0.0,204,0.0,0.0
2022-12-23 00:00:00+00:00,,,,0.0,214,0.0,0.0
2022-12-27 00:00:00+00:00,,,,0.0,262,0.0,0.0
2022-12-28 00:00:00+00:00,,,,0.0,2132,0.0,0.0
2022-12-29 00:00:00+00:00,,,,0.0,78,0.0,0.0
2023-01-01 00:00:00+00:00,,,,0.0,101,0.0,0.0
2023-01-02 00:00:00+00:00,,,,0.0,31,0.0,0.0
2023-01-03 00:00:00+00:00,,,,0.0,21,0.0,0.0
2023-01-04 00:00:00+00:00,,,,0.0,36,0.0,0.0
