TIMESTAMP,KAILY_OPEN_PRICE_USD,KAILY_HIGH_PRICE_USD,KAILY_LOW_PRICE_USD,KAILY_CLOSE_PRICE_USD,KAILY_VOLUME_USD,KAILY_DIVIDENDS_USD,KAILY_STOCK_SPLITS_USD
2024-12-12 00:00:00+00:00,0.00025400001322850585,0.00029200001154094934,0.00021100000594742596,0.0002579999854788184,34570,0.0,0.0
2024-12-13 00:00:00+00:00,0.0002579999854788184,0.0003549999964889139,0.0002579999854788184,0.0002770000137388706,29182,0.0,0.0
2024-12-14 00:00:00+00:00,0.0002770000137388706,0.00028199999360367656,0.00024199999461416155,0.0002570000069681555,7792,0.0,0.0
2024-12-15 00:00:00+00:00,0.0002570000069681555,0.0002579999854788184,0.00023200000578071922,0.0002410000015515834,5784,0.0,0.0
2024-12-16 00:00:00+00:00,0.0002410000015515834,0.0002410000015515834,0.00020300000323913991,0.00020500000391621143,8201,0.0,0.0
2024-12-17 00:00:00+00:00,0.00020500000391621143,0.00021399999968707561,0.00016599999798927456,0.0001880000054370612,13098,0.0,0.0
2024-12-18 00:00:00+00:00,0.0001880000054370612,0.0001880000054370612,6.199999916134402e-05,7.999999797903001e-05,33701,0.0,0.0
2024-12-19 00:00:00+00:00,7.999999797903001e-05,8.199999865610152e-05,3.600000127335079e-05,5.400000009103678e-05,20402,0.0,0.0
2024-12-20 00:00:00+00:00,5.400000009103678e-05,5.8000001445179805e-05,4.400000034365803e-05,4.70000013592653e-05,4428,0.0,0.0
2024-12-21 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,4.099999932805076e-05,4.099999932805076e-05,2152,0.0,0.0
2024-12-22 00:00:00+00:00,4.099999932805076e-05,4.5000000682193786e-05,3.899999865097925e-05,3.9999998989515007e-05,2627,0.0,0.0
2024-12-23 00:00:00+00:00,3.9999998989515007e-05,4.400000034365803e-05,3.899999865097925e-05,4.3000000005122274e-05,1267,0.0,0.0
2024-12-24 00:00:00+00:00,4.3000000005122274e-05,4.400000034365803e-05,4.099999932805076e-05,4.3000000005122274e-05,1533,0.0,0.0
2024-12-25 00:00:00+00:00,4.3000000005122274e-05,4.5000000682193786e-05,4.3000000005122274e-05,4.400000034365803e-05,1126,0.0,0.0
2024-12-26 00:00:00+00:00,4.400000034365803e-05,4.400000034365803e-05,3.9999998989515007e-05,3.9999998989515007e-05,567,0.0,0.0
2024-12-27 00:00:00+00:00,3.9999998989515007e-05,4.199999966658652e-05,3.7000001611886546e-05,3.7000001611886546e-05,918,0.0,0.0
2024-12-28 00:00:00+00:00,3.7000001611886546e-05,3.9999998989515007e-05,3.7000001611886546e-05,3.7999998312443495e-05,2290,0.0,0.0
2024-12-29 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.7000001611886546e-05,3.7000001611886546e-05,337,0.0,0.0
2024-12-30 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,3.600000127335079e-05,3.7000001611886546e-05,472,0.0,0.0
2024-12-31 00:00:00+00:00,3.7000001611886546e-05,3.9999998989515007e-05,3.600000127335079e-05,3.9999998989515007e-05,2560,0.0,0.0
2025-01-01 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.7000001611886546e-05,4.099999932805076e-05,3572,0.0,0.0
2025-01-02 00:00:00+00:00,4.099999932805076e-05,6.199999916134402e-05,4.099999932805076e-05,5.500000042957254e-05,9054,0.0,0.0
2025-01-03 00:00:00+00:00,5.500000042957254e-05,6.600000051548705e-05,5.500000042957254e-05,6.600000051548705e-05,5665,0.0,0.0
2025-01-04 00:00:00+00:00,6.600000051548705e-05,7.699999696342275e-05,5.8000001445179805e-05,5.900000178371556e-05,5786,0.0,0.0
2025-01-05 00:00:00+00:00,5.900000178371556e-05,6.0999998822808266e-05,5.500000042957254e-05,5.500000042957254e-05,3570,0.0,0.0
2025-01-06 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,5.2999999752501026e-05,5.2999999752501026e-05,813,0.0,0.0
2025-01-07 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,4.3000000005122274e-05,4.3000000005122274e-05,2008,0.0,0.0
2025-01-08 00:00:00+00:00,4.3000000005122274e-05,4.70000013592653e-05,4.099999932805076e-05,4.199999966658652e-05,989,0.0,0.0
2025-01-09 00:00:00+00:00,4.199999966658652e-05,4.5000000682193786e-05,4.199999966658652e-05,4.199999966658652e-05,1194,0.0,0.0
2025-01-10 00:00:00+00:00,4.199999966658652e-05,4.3000000005122274e-05,4.099999932805076e-05,4.3000000005122274e-05,248,0.0,0.0
2025-01-11 00:00:00+00:00,4.3000000005122274e-05,4.3000000005122274e-05,3.9999998989515007e-05,4.099999932805076e-05,314,0.0,0.0
2025-01-12 00:00:00+00:00,4.099999932805076e-05,4.099999932805076e-05,3.899999865097925e-05,3.899999865097925e-05,593,0.0,0.0
2025-01-13 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.400000059627928e-05,3.600000127335079e-05,502,0.0,0.0
2025-01-14 00:00:00+00:00,3.600000127335079e-05,3.7000001611886546e-05,3.600000127335079e-05,3.7000001611886546e-05,215,0.0,0.0
2025-01-15 00:00:00+00:00,3.7000001611886546e-05,4.199999966658652e-05,3.7000001611886546e-05,4.199999966658652e-05,85,0.0,0.0
2025-01-16 00:00:00+00:00,4.199999966658652e-05,4.5000000682193786e-05,3.7999998312443495e-05,4.400000034365803e-05,1386,0.0,0.0
2025-01-17 00:00:00+00:00,4.400000034365803e-05,4.600000102072954e-05,4.400000034365803e-05,4.5000000682193786e-05,408,0.0,0.0
2025-01-18 00:00:00+00:00,4.5000000682193786e-05,5.199999941396527e-05,4.5000000682193786e-05,5.199999941396527e-05,946,0.0,0.0
2025-01-19 00:00:00+00:00,5.199999941396527e-05,7.000000186963007e-05,4.8000001697801054e-05,4.8000001697801054e-05,6756,0.0,0.0
2025-01-20 00:00:00+00:00,4.8000001697801054e-05,4.8000001697801054e-05,4.099999932805076e-05,4.3000000005122274e-05,624,0.0,0.0
