TIMESTAMP,BTCMOON_OPEN_PRICE_USD,BTCMOON_HIGH_PRICE_USD,BTCMOON_LOW_PRICE_USD,BTCMOON_CLOSE_PRICE_USD,BTCMOON_VOLUME_USD,BTCMOON_DIVIDENDS_USD,BTCMOON_STOCK_SPLITS_USD
2024-12-30 00:00:00+00:00,,,,0.0,578,0.0,0.0
2024-12-31 00:00:00+00:00,,,,0.0,165,0.0,0.0
2025-01-01 00:00:00+00:00,,,,0.0,259,0.0,0.0
2025-01-02 00:00:00+00:00,,,,0.0,491,0.0,0.0
2025-01-03 00:00:00+00:00,,,,0.0,674,0.0,0.0
2025-01-04 00:00:00+00:00,,,,0.0,231,0.0,0.0
2025-01-05 00:00:00+00:00,,,,0.0,268,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,470,0.0,0.0
2025-01-07 00:00:00+00:00,,,,0.0,33,0.0,0.0
2025-01-08 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,35,0.0,0.0
2025-01-10 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-01-11 00:00:00+00:00,,,,0.0,29,0.0,0.0
2025-01-12 00:00:00+00:00,,,,0.0,63,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,25,0.0,0.0
2025-01-14 00:00:00+00:00,,,,0.0,152,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,63,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,25,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,62,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,174,0.0,0.0
2025-01-19 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-01-20 00:00:00+00:00,,,,0.0,237,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,20,0.0,0.0
2025-01-22 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,314,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,130,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,155,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,18,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,19,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,145,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,12,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,46,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,911,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,1918,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,648,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,231,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,4861,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,31,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,231,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,44,0.0,0.0
2025-02-17 00:00:00+00:00,,,,0.0,65,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-02-19 00:00:00+00:00,,,,0.0,46,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-02-22 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,335,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,827,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,79,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,33,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,36,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,59,0.0,0.0
2025-06-01 00:00:00+00:00,1.3284699403905142e-13,1.3284699403905142e-13,1.263017061813379e-13,1.263017061813379e-13,3,0.0,0.0
