TIMESTAMP,GMCOIN_OPEN_PRICE_USD,GMCOIN_HIGH_PRICE_USD,GMCOIN_LOW_PRICE_USD,GMCOIN_CLOSE_PRICE_USD,GMCOIN_VOLUME_USD,GMCOIN_DIVIDENDS_USD,GMCOIN_STOCK_SPLITS_USD
2021-11-01 00:00:00+00:00,0.7338569760322571,0.7500669956207275,0.4012640118598938,0.6974800229072571,1174328,0.0,0.0
2021-11-02 00:00:00+00:00,0.697409987449646,0.7151370048522949,0.667339026927948,0.6696140170097351,1330143,0.0,0.0
2021-11-03 00:00:00+00:00,0.6696280241012573,0.6755719780921936,0.6425809860229492,0.6485750079154968,709160,0.0,0.0
2021-11-04 00:00:00+00:00,0.6485610008239746,0.6500779986381531,0.632997989654541,0.6417189836502075,580201,0.0,0.0
2021-11-05 00:00:00+00:00,0.6416670083999634,0.6442810297012329,0.4439060091972351,0.5007839798927307,562356,0.0,0.0
2021-11-06 00:00:00+00:00,0.500789999961853,0.5111100077629089,0.4963110089302063,0.5069730281829834,1001702,0.0,0.0
2021-11-07 00:00:00+00:00,0.5070620179176331,0.5149419903755188,0.48965099453926086,0.514270007610321,1022734,0.0,0.0
2021-11-08 00:00:00+00:00,0.5142790079116821,0.5280740261077881,0.50382000207901,0.5256500244140625,792937,0.0,0.0
2021-11-09 00:00:00+00:00,0.5256360173225403,0.5526310205459595,0.5211570262908936,0.5491639971733093,903339,0.0,0.0
2021-11-10 00:00:00+00:00,0.5491200089454651,0.5525580048561096,0.5354179739952087,0.5416799783706665,615074,0.0,0.0
2021-11-11 00:00:00+00:00,0.5416529774665833,0.5639089941978455,0.5378689765930176,0.5639089941978455,935601,0.0,0.0
2021-11-12 00:00:00+00:00,0.5631979703903198,0.5774869918823242,0.5589190125465393,0.5683900117874146,963427,0.0,0.0
2021-11-13 00:00:00+00:00,0.5690850019454956,0.5759209990501404,0.5672109723091125,0.5756490230560303,859469,0.0,0.0
2021-11-14 00:00:00+00:00,0.5756099820137024,0.6003119945526123,0.5717369914054871,0.5987380146980286,1077398,0.0,0.0
2021-11-15 00:00:00+00:00,0.5988550186157227,0.6053410172462463,0.5948929786682129,0.6041730046272278,1188254,0.0,0.0
2021-11-16 00:00:00+00:00,0.605105996131897,0.6172950267791748,0.5934190154075623,0.5948299765586853,1133690,0.0,0.0
2021-11-17 00:00:00+00:00,0.5947369933128357,0.6093080043792725,0.5895280241966248,0.600163996219635,792531,0.0,0.0
2021-11-18 00:00:00+00:00,0.6000940203666687,0.6034759879112244,0.5870940089225769,0.5968689918518066,836438,0.0,0.0
2021-11-19 00:00:00+00:00,0.5968040227890015,0.6104779839515686,0.5967230200767517,0.6061710119247437,707433,0.0,0.0
2021-11-20 00:00:00+00:00,0.6060760021209717,0.6167380213737488,0.6056780219078064,0.6105700135231018,715716,0.0,0.0
2021-11-21 00:00:00+00:00,0.6109579801559448,0.6179140210151672,0.6093990206718445,0.6150760054588318,724658,0.0,0.0
2021-11-22 00:00:00+00:00,0.6148419976234436,0.6193469762802124,0.6128829717636108,0.6152349710464478,766969,0.0,0.0
