TIMESTAMP,RSWETH_OPEN_PRICE_USD,RSWETH_HIGH_PRICE_USD,RSWETH_LOW_PRICE_USD,RSWETH_CLOSE_PRICE_USD,RSWETH_VOLUME_USD,RSWETH_DIVIDENDS_USD,RSWETH_STOCK_SPLITS_USD
2024-03-19 00:00:00+00:00,3299.41650390625,3344.02734375,3194.126220703125,3194.126220703125,2389549,0.0,0.0
2024-03-20 00:00:00+00:00,3194.126220703125,3453.505859375,3126.461669921875,3451.6015625,2476562,0.0,0.0
2024-03-21 00:00:00+00:00,3451.6015625,3562.218017578125,3449.03271484375,3498.74462890625,2418992,0.0,0.0
2024-03-22 00:00:00+00:00,3498.74462890625,3536.009765625,3314.014404296875,3324.90234375,1231152,0.0,0.0
2024-03-23 00:00:00+00:00,3324.90234375,3420.644775390625,3309.163330078125,3388.0498046875,1898660,0.0,0.0
2024-03-24 00:00:00+00:00,3388.0498046875,3469.80810546875,3332.9658203125,3469.80810546875,1011280,0.0,0.0
2024-03-25 00:00:00+00:00,3469.80810546875,3641.676025390625,3450.460205078125,3615.029052734375,5006216,0.0,0.0
2024-03-26 00:00:00+00:00,3615.029052734375,3669.32861328125,3591.386474609375,3593.85986328125,2003328,0.0,0.0
2024-03-27 00:00:00+00:00,3593.85986328125,3626.212890625,3503.352294921875,3507.78125,1666583,0.0,0.0
2024-03-28 00:00:00+00:00,3507.78125,3591.106689453125,3493.0791015625,3575.7236328125,1741638,0.0,0.0
2024-03-29 00:00:00+00:00,3575.7236328125,3581.8837890625,3492.8115234375,3507.455810546875,5833050,0.0,0.0
2024-03-30 00:00:00+00:00,3507.455810546875,3564.51806640625,3505.328125,3522.363037109375,3233927,0.0,0.0
2024-03-31 00:00:00+00:00,3522.363037109375,3651.73681640625,3522.363037109375,3651.58056640625,3707592,0.0,0.0
2024-04-01 00:00:00+00:00,3651.58056640625,3651.646240234375,3440.837890625,3508.908447265625,2794532,0.0,0.0
2024-04-02 00:00:00+00:00,3508.908447265625,3510.662109375,3264.84375,3300.489501953125,7630482,0.0,0.0
2024-04-03 00:00:00+00:00,3300.489501953125,3358.997314453125,3291.633544921875,3331.5224609375,2546457,0.0,0.0
