TIMESTAMP,PEANUT_OPEN_PRICE_USD,PEANUT_HIGH_PRICE_USD,PEANUT_LOW_PRICE_USD,PEANUT_CLOSE_PRICE_USD,PEANUT_VOLUME_USD,PEANUT_DIVIDENDS_USD,PEANUT_STOCK_SPLITS_USD
2024-11-03 00:00:00+00:00,6.000000212225132e-06,9.000000318337698e-06,1.9999999949504854e-06,3.999999989900971e-06,4511120,0.0,0.0
2024-11-04 00:00:00+00:00,3.999999989900971e-06,1.4000000192027073e-05,3.999999989900971e-06,9.000000318337698e-06,2423109,0.0,0.0
2024-11-05 00:00:00+00:00,9.000000318337698e-06,2.499999936844688e-05,7.999999979801942e-06,1.9999999494757503e-05,5555031,0.0,0.0
2024-11-06 00:00:00+00:00,1.9999999494757503e-05,2.5999999706982635e-05,7.999999979801942e-06,9.999999747378752e-06,4378849,0.0,0.0
2024-11-07 00:00:00+00:00,9.999999747378752e-06,1.5999999959603883e-05,6.000000212225132e-06,7.999999979801942e-06,3331949,0.0,0.0
2024-11-08 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,3.000000106112566e-06,3.999999989900971e-06,2794149,0.0,0.0
2024-11-09 00:00:00+00:00,3.999999989900971e-06,7.000000096013537e-06,3.999999989900971e-06,6.000000212225132e-06,2020549,0.0,0.0
2024-11-10 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,1616359,0.0,0.0
2024-11-11 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,2211373,0.0,0.0
2024-11-12 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,1.9999999949504854e-06,1.9999999949504854e-06,1503111,0.0,0.0
2024-11-13 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,1535462,0.0,0.0
2024-11-14 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,1444205,0.0,0.0
2024-11-15 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,944831,0.0,0.0
2024-11-16 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,772549,0.0,0.0
2024-11-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,698200,0.0,0.0
2024-11-18 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,311667,0.0,0.0
2024-11-19 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,208217,0.0,0.0
2024-11-20 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,629916,0.0,0.0
2024-11-21 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,232904,0.0,0.0
