TIMESTAMP,SMRAT_OPEN_PRICE_USD,SMRAT_HIGH_PRICE_USD,SMRAT_LOW_PRICE_USD,SMRAT_CLOSE_PRICE_USD,SMRAT_VOLUME_USD,SMRAT_DIVIDENDS_USD,SMRAT_STOCK_SPLITS_USD
2021-04-19 00:00:00+00:00,,,,0.0,1535674,0.0,0.0
2021-04-20 00:00:00+00:00,,,,0.0,1326648,0.0,0.0
2021-04-21 00:00:00+00:00,,,,0.0,1810118,0.0,0.0
2021-04-22 00:00:00+00:00,,,,0.0,6744476,0.0,0.0
2021-04-23 00:00:00+00:00,,,,0.0,2550756,0.0,0.0
2021-04-24 00:00:00+00:00,,,,0.0,2180789,0.0,0.0
2021-04-25 00:00:00+00:00,,,,0.0,2261642,0.0,0.0
2021-04-30 00:00:00+00:00,,,,0.0,1007436,0.0,0.0
2021-05-01 00:00:00+00:00,,,,0.0,7121226,0.0,0.0
2021-05-02 00:00:00+00:00,,,,0.0,1858196,0.0,0.0
2021-05-03 00:00:00+00:00,,,,0.0,1797479,0.0,0.0
2021-05-04 00:00:00+00:00,,,,0.0,797176,0.0,0.0
2021-05-05 00:00:00+00:00,,,,0.0,963440,0.0,0.0
2021-05-06 00:00:00+00:00,,,,0.0,906945,0.0,0.0
2021-05-07 00:00:00+00:00,,,,0.0,605258,0.0,0.0
2021-05-08 00:00:00+00:00,,,,0.0,873852,0.0,0.0
2021-05-09 00:00:00+00:00,,,,0.0,1027471,0.0,0.0
2021-05-10 00:00:00+00:00,,,,0.0,436647,0.0,0.0
2021-05-11 00:00:00+00:00,,,,0.0,254569,0.0,0.0
2021-05-17 00:00:00+00:00,,,,0.0,116966,0.0,0.0
2021-05-18 00:00:00+00:00,,,,0.0,59,0.0,0.0
2021-05-19 00:00:00+00:00,,,,0.0,42,0.0,0.0
2021-05-20 00:00:00+00:00,,,,0.0,45,0.0,0.0
2021-05-21 00:00:00+00:00,,,,0.0,38,0.0,0.0
2021-05-22 00:00:00+00:00,,,,0.0,283060,0.0,0.0
2021-05-23 00:00:00+00:00,,,,0.0,267693,0.0,0.0
