TIMESTAMP,POLYDOGE_OPEN_PRICE_USD,POLYDOGE_HIGH_PRICE_USD,POLYDOGE_LOW_PRICE_USD,POLYDOGE_CLOSE_PRICE_USD,POLYDOGE_VOLUME_USD,POLYDOGE_DIVIDENDS_USD,POLYDOGE_STOCK_SPLITS_USD
2021-06-08 00:00:00+00:00,,,,0.0,751763,0.0,0.0
2021-06-09 00:00:00+00:00,,,,0.0,675321,0.0,0.0
2021-06-10 00:00:00+00:00,,,,0.0,427815,0.0,0.0
2021-06-11 00:00:00+00:00,,,,0.0,365437,0.0,0.0
2021-06-12 00:00:00+00:00,,,,0.0,302800,0.0,0.0
2021-06-13 00:00:00+00:00,,,,0.0,385819,0.0,0.0
2021-06-14 00:00:00+00:00,,,,0.0,340498,0.0,0.0
2021-06-15 00:00:00+00:00,,,,0.0,444864,0.0,0.0
2021-06-16 00:00:00+00:00,,,,0.0,1237117,0.0,0.0
2021-06-17 00:00:00+00:00,,,,0.0,1098607,0.0,0.0
2021-06-18 00:00:00+00:00,,,,0.0,820936,0.0,0.0
2021-06-19 00:00:00+00:00,,,,0.0,773037,0.0,0.0
2021-06-20 00:00:00+00:00,,,,0.0,787821,0.0,0.0
2021-06-21 00:00:00+00:00,,,,0.0,1132361,0.0,0.0
2021-06-22 00:00:00+00:00,,,,0.0,1189963,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,824217,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,683555,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,582587,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,564464,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,533681,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,535982,0.0,0.0
2021-06-29 00:00:00+00:00,,,,0.0,694220,0.0,0.0
2021-06-30 00:00:00+00:00,,,,0.0,551791,0.0,0.0
2021-07-01 00:00:00+00:00,,,,0.0,1327344,0.0,0.0
2021-07-02 00:00:00+00:00,,,,0.0,746912,0.0,0.0
2021-07-03 00:00:00+00:00,,,,0.0,699583,0.0,0.0
2021-07-04 00:00:00+00:00,,,,0.0,702644,0.0,0.0
2021-07-05 00:00:00+00:00,,,,0.0,467278,0.0,0.0
2021-07-06 00:00:00+00:00,,,,0.0,685834,0.0,0.0
2021-07-07 00:00:00+00:00,,,,0.0,571356,0.0,0.0
2021-07-08 00:00:00+00:00,,,,0.0,790196,0.0,0.0
2021-07-09 00:00:00+00:00,,,,0.0,528375,0.0,0.0
2021-07-10 00:00:00+00:00,,,,0.0,337403,0.0,0.0
2021-07-11 00:00:00+00:00,,,,0.0,465046,0.0,0.0
2021-07-12 00:00:00+00:00,,,,0.0,548376,0.0,0.0
2021-07-13 00:00:00+00:00,,,,0.0,417594,0.0,0.0
2021-07-14 00:00:00+00:00,,,,0.0,190873,0.0,0.0
2021-07-15 00:00:00+00:00,,,,0.0,204412,0.0,0.0
2021-07-16 00:00:00+00:00,,,,0.0,145280,0.0,0.0
2021-07-17 00:00:00+00:00,,,,0.0,342262,0.0,0.0
2021-07-18 00:00:00+00:00,,,,0.0,429937,0.0,0.0
2021-07-19 00:00:00+00:00,,,,0.0,87458,0.0,0.0
2021-07-20 00:00:00+00:00,,,,0.0,168912,0.0,0.0
2021-07-21 00:00:00+00:00,,,,0.0,239240,0.0,0.0
2021-07-22 00:00:00+00:00,,,,0.0,109524,0.0,0.0
2021-07-23 00:00:00+00:00,,,,0.0,211688,0.0,0.0
2021-07-24 00:00:00+00:00,,,,0.0,150847,0.0,0.0
2021-07-25 00:00:00+00:00,,,,0.0,75111,0.0,0.0
2021-07-26 00:00:00+00:00,,,,0.0,174952,0.0,0.0
2021-07-27 00:00:00+00:00,,,,0.0,101259,0.0,0.0
2021-07-28 00:00:00+00:00,,,,0.0,177284,0.0,0.0
2021-07-29 00:00:00+00:00,,,,0.0,251863,0.0,0.0
2021-07-30 00:00:00+00:00,,,,0.0,110132,0.0,0.0
2021-07-31 00:00:00+00:00,,,,0.0,49299,0.0,0.0
2021-08-01 00:00:00+00:00,,,,0.0,97160,0.0,0.0
2021-08-02 00:00:00+00:00,,,,0.0,54795,0.0,0.0
2021-08-03 00:00:00+00:00,,,,0.0,30585,0.0,0.0
2021-08-04 00:00:00+00:00,,,,0.0,71348,0.0,0.0
2021-08-05 00:00:00+00:00,,,,0.0,178792,0.0,0.0
2021-08-06 00:00:00+00:00,,,,0.0,84060,0.0,0.0
2021-08-07 00:00:00+00:00,,,,0.0,106086,0.0,0.0
2021-08-08 00:00:00+00:00,,,,0.0,100229,0.0,0.0
2021-08-09 00:00:00+00:00,,,,0.0,1075010,0.0,0.0
2021-08-10 00:00:00+00:00,,,,0.0,879219,0.0,0.0
2021-08-11 00:00:00+00:00,,,,0.0,137330,0.0,0.0
2021-08-12 00:00:00+00:00,,,,0.0,167450,0.0,0.0
2021-08-13 00:00:00+00:00,,,,0.0,415552,0.0,0.0
2021-08-14 00:00:00+00:00,,,,0.0,138652,0.0,0.0
2021-08-15 00:00:00+00:00,,,,0.0,215100,0.0,0.0
2021-08-16 00:00:00+00:00,,,,0.0,36946,0.0,0.0
