TIMESTAMP,LTC_OPEN_PRICE_USD,LTC_HIGH_PRICE_USD,LTC_LOW_PRICE_USD,LTC_CLOSE_PRICE_USD,LTC_MARKET_CAP_USD_PER_BIC,LTC_VOLUME_USD_PER_CMC,LTC_MARKET_CAP_USD_PER_CMC
2017-06-01,25.88,29.94,25.87,27.74,1402580671.0,420472992.0,1479645992.12
2017-06-02,27.74,28.95,26.56,27.9,1419932955.0,332251008.0,1487366316.31
2017-06-03,27.9,28.3,26.79,27.4,1404258530.0,290556000.0,1421817786.94
2017-06-04,27.4,27.9,26.79,27.79,1399983098.0,204435008.0,1436512586.63
2017-06-05,27.79,31.8,27.78,30.7,1506915392.0,366900992.0,1586278857.2
2017-06-06,30.7,31.33,28.08,30.1,1547483182.0,321099008.0,1571642192.19
2017-06-07,30.1,30.8,27.65,28.6,1524168504.0,264596992.0,1461052337.29
2017-06-08,28.6,30.85,27.99,30.08,1501824649.0,229004992.0,1554899463.47
2017-06-09,30.08,30.9,29.5,29.56,1544124743.0,176840992.0,1527922168.13
2017-06-10,29.56,30.25,29.0,30.13,1522480088.0,202679008.0,1567381712.97
2017-06-11,30.13,35.5,29.53,34.04,1584241276.0,406217984.0,1710731870.1
2017-06-12,34.04,34.17,27.0,29.06,1556204594.0,372663008.0,1520019062.32
2017-06-13,29.06,30.65,28.71,30.32,1513115743.0,150455008.0,1579263281.08
2017-06-14,30.32,32.0,27.5,28.81,1549085150.0,278323008.0,1558146224.07
2017-06-15,28.81,29.4,24.42,28.97,1447233136.0,314502016.0,1558335943.4
2017-06-16,28.97,33.9,27.65,33.89,1586308299.0,515972992.0,1841437408.26
2017-06-17,33.89,49.0,33.61,46.01,2101761896.0,1730780032.0,2458295326.33
2017-06-18,46.01,46.65,39.56,43.66,2226386932.0,1016220032.0,2376272924.69
2017-06-19,43.66,49.99,42.27,47.63,2377709871.0,1342360064.0,2598038245.42
2017-06-20,47.63,48.45,42.5,45.63,2394956683.0,612934976.0,2438536181.65
2017-06-21,45.63,46.16,41.5,44.0,2288598721.0,640054016.0,2468646451.97
2017-06-22,44.0,47.89,42.87,45.98,2349371371.0,445323008.0,2465480961.66
2017-06-23,45.98,46.96,45.52,46.03,2374925478.0,284270016.0,2446591285.66
2017-06-24,46.03,46.13,42.05,43.05,2284176682.0,321214016.0,2300237510.94
2017-06-25,43.05,43.76,38.27,40.8,2191390671.0,354372000.0,2271527609.5
2017-06-26,40.8,41.98,33.38,38.15,2002678745.0,538072000.0,2127619780.34
2017-06-27,38.15,40.5,33.61,40.5,1925770162.0,565265024.0,2097663118.05
2017-06-28,40.5,43.44,37.3,42.0,2090010746.0,353444000.0,2217715824.17
2017-06-29,42.0,42.14,39.6,40.2,2116431252.0,300131008.0,2126019668.11
2017-06-30,40.2,41.2,39.22,39.49,2082271658.0,251184000.0,2089790095.0
2017-07-01,39.49,39.83,37.4,38.37,2004376363.0,225507008.0,2019589047.42
2017-07-02,38.37,41.99,37.15,41.59,2013155888.0,315630016.0,2153776658.5
2017-07-03,41.59,47.7,40.6,45.51,2314624884.0,729937984.0,2406133732.25
2017-07-04,45.51,55.4,45.51,54.89,2606684291.0,1101750016.0,2868712774.0
2017-07-05,54.89,57.75,49.01,53.4,2703474563.0,790609024.0,2758632585.72
2017-07-06,53.4,53.4,50.01,51.2,2639915959.0,461148992.0,2652393637.23
2017-07-07,51.2,51.36,44.28,46.21,2479546239.0,553712000.0,2416847285.07
