TIMESTAMP,CERBER_OPEN_PRICE_USD,CERBER_HIGH_PRICE_USD,CERBER_LOW_PRICE_USD,CERBER_CLOSE_PRICE_USD,CERBER_VOLUME_USD,CERBER_DIVIDENDS_USD,CERBER_STOCK_SPLITS_USD
2024-09-24 00:00:00+00:00,,,,0.0,108522,0.0,0.0
2024-09-25 00:00:00+00:00,,,,0.0,26786,0.0,0.0
2024-09-26 00:00:00+00:00,,,,0.0,12145,0.0,0.0
2024-09-27 00:00:00+00:00,,,,0.0,7701,0.0,0.0
2024-09-28 00:00:00+00:00,,,,0.0,2404,0.0,0.0
2024-09-29 00:00:00+00:00,,,,0.0,34669,0.0,0.0
2024-09-30 00:00:00+00:00,,,,0.0,7245,0.0,0.0
2024-10-01 00:00:00+00:00,,,,0.0,3783,0.0,0.0
2024-10-02 00:00:00+00:00,,,,0.0,1513,0.0,0.0
2024-10-03 00:00:00+00:00,,,,0.0,3505,0.0,0.0
2024-10-04 00:00:00+00:00,,,,0.0,1205,0.0,0.0
2024-10-05 00:00:00+00:00,,,,0.0,2171,0.0,0.0
2024-10-06 00:00:00+00:00,,,,0.0,1837,0.0,0.0
2024-10-07 00:00:00+00:00,,,,0.0,1454,0.0,0.0
2024-10-08 00:00:00+00:00,,,,0.0,918,0.0,0.0
2024-10-09 00:00:00+00:00,,,,0.0,1948,0.0,0.0
2024-10-10 00:00:00+00:00,,,,0.0,4802,0.0,0.0
2024-10-11 00:00:00+00:00,,,,0.0,2116,0.0,0.0
2024-10-12 00:00:00+00:00,,,,0.0,1695,0.0,0.0
2024-10-13 00:00:00+00:00,,,,0.0,86,0.0,0.0
2024-10-14 00:00:00+00:00,,,,0.0,803,0.0,0.0
2024-10-15 00:00:00+00:00,,,,0.0,543,0.0,0.0
2024-10-16 00:00:00+00:00,,,,0.0,653,0.0,0.0
2024-10-17 00:00:00+00:00,,,,0.0,177,0.0,0.0
2024-10-18 00:00:00+00:00,,,,0.0,809,0.0,0.0
2024-10-19 00:00:00+00:00,,,,0.0,390,0.0,0.0
2024-10-20 00:00:00+00:00,,,,0.0,1272,0.0,0.0
2024-10-21 00:00:00+00:00,,,,0.0,1540,0.0,0.0
2024-10-22 00:00:00+00:00,,,,0.0,1921,0.0,0.0
2024-10-23 00:00:00+00:00,,,,0.0,1387,0.0,0.0
2024-10-24 00:00:00+00:00,,,,0.0,289,0.0,0.0
2024-10-25 00:00:00+00:00,,,,0.0,861,0.0,0.0
2024-10-26 00:00:00+00:00,,,,0.0,409,0.0,0.0
2024-10-27 00:00:00+00:00,,,,0.0,27,0.0,0.0
2024-10-28 00:00:00+00:00,,,,0.0,1104,0.0,0.0
2024-10-29 00:00:00+00:00,,,,0.0,1283,0.0,0.0
2024-10-30 00:00:00+00:00,,,,0.0,1204,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,653,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,796,0.0,0.0
2024-11-02 00:00:00+00:00,,,,0.0,277,0.0,0.0
