TIMESTAMP,PENICILLIN_OPEN_PRICE_USD,PENICILLIN_HIGH_PRICE_USD,PENICILLIN_LOW_PRICE_USD,PENICILLIN_CLOSE_PRICE_USD,PENICILLIN_VOLUME_USD,PENICILLIN_DIVIDENDS_USD,PENICILLIN_STOCK_SPLITS_USD
2025-01-04 00:00:00+00:00,,,,0.0,558,0.0,0.0
2025-01-05 00:00:00+00:00,,,,0.0,1460,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,434,0.0,0.0
2025-01-07 00:00:00+00:00,,,,0.0,515,0.0,0.0
2025-01-08 00:00:00+00:00,,,,0.0,644,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-01-10 00:00:00+00:00,,,,0.0,141,0.0,0.0
2025-01-11 00:00:00+00:00,,,,0.0,39,0.0,0.0
2025-01-12 00:00:00+00:00,,,,0.0,484,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,430,0.0,0.0
2025-01-14 00:00:00+00:00,,,,0.0,224,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,182,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,120,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,281,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,335,0.0,0.0
2025-01-19 00:00:00+00:00,,,,0.0,354,0.0,0.0
2025-01-20 00:00:00+00:00,,,,0.0,181,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,25,0.0,0.0
2025-01-22 00:00:00+00:00,,,,0.0,44,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,209,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,19,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,84,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,192,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,65,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,30,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,120,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,69,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,57,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,68,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,9,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,258,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,28,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,52,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,526,0.0,0.0
2025-06-01 00:00:00+00:00,7.571199933274417e-14,7.571199933274417e-14,7.571151821803013e-14,7.571151821803013e-14,39,0.0,0.0
