TIMESTAMP,KIBA_OPEN_PRICE_USD,KIBA_HIGH_PRICE_USD,KIBA_LOW_PRICE_USD,KIBA_CLOSE_PRICE_USD,KIBA_VOLUME_USD,KIBA_DIVIDENDS_USD,KIBA_STOCK_SPLITS_USD
2021-10-28 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,1.9999999949504854e-06,1.9999999949504854e-06,1764805,0.0,0.0
2021-10-29 00:00:00+00:00,1.9999999949504854e-06,7.000000096013537e-06,1.9999999949504854e-06,6.000000212225132e-06,1219246,0.0,0.0
2021-10-30 00:00:00+00:00,6.000000212225132e-06,2.4000000848900527e-05,6.000000212225132e-06,1.4000000192027073e-05,5576932,0.0,0.0
2021-10-31 00:00:00+00:00,1.4000000192027073e-05,1.8999999156221747e-05,9.000000318337698e-06,1.4999999621068127e-05,2888247,0.0,0.0
2021-11-01 00:00:00+00:00,1.4999999621068127e-05,3.9999998989515007e-05,1.4999999621068127e-05,3.7000001611886546e-05,5343069,0.0,0.0
2021-11-02 00:00:00+00:00,3.7000001611886546e-05,4.8000001697801054e-05,2.9000000722589903e-05,3.5000000934815034e-05,5744971,0.0,0.0
2021-11-03 00:00:00+00:00,3.5000000934815034e-05,4.099999932805076e-05,2.099999983329326e-05,2.499999936844688e-05,3513127,0.0,0.0
2021-11-04 00:00:00+00:00,2.499999936844688e-05,4.70000013592653e-05,2.4000000848900527e-05,2.5999999706982635e-05,3893851,0.0,0.0
2021-11-05 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,1.2999999853491317e-05,1.8999999156221747e-05,4136872,0.0,0.0
2021-11-06 00:00:00+00:00,1.8999999156221747e-05,2.2000000171829015e-05,1.4000000192027073e-05,1.700000029813964e-05,1816614,0.0,0.0
2021-11-07 00:00:00+00:00,1.700000029813964e-05,2.300000051036477e-05,1.2999999853491317e-05,2.300000051036477e-05,1260829,0.0,0.0
2021-11-08 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,1.5999999959603883e-05,1.5999999959603883e-05,964065,0.0,0.0
2021-11-09 00:00:00+00:00,1.5999999959603883e-05,2.300000051036477e-05,1.4000000192027073e-05,2.2000000171829015e-05,982065,0.0,0.0
2021-11-10 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,1.4999999621068127e-05,1.4999999621068127e-05,980818,0.0,0.0
2021-11-11 00:00:00+00:00,1.4999999621068127e-05,1.8999999156221747e-05,7.000000096013537e-06,1.4999999621068127e-05,1513372,0.0,0.0
2021-11-12 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,7.999999979801942e-06,1.2000000424450263e-05,1026747,0.0,0.0
2021-11-13 00:00:00+00:00,1.2000000424450263e-05,3.199999991920777e-05,1.2000000424450263e-05,2.8000000384054147e-05,2261969,0.0,0.0
2021-11-14 00:00:00+00:00,2.8000000384054147e-05,4.600000102072954e-05,2.4000000848900527e-05,3.899999865097925e-05,2157192,0.0,0.0
2021-11-15 00:00:00+00:00,3.899999865097925e-05,4.600000102072954e-05,3.099999958067201e-05,3.7999998312443495e-05,1789264,0.0,0.0
2021-11-16 00:00:00+00:00,3.7999998312443495e-05,7.79999973019585e-05,2.700000004551839e-05,2.9999999242136255e-05,711003,0.0,0.0
2021-11-17 00:00:00+00:00,2.9999999242136255e-05,3.7999998312443495e-05,2.499999936844688e-05,2.9999999242136255e-05,684983,0.0,0.0
2021-11-18 00:00:00+00:00,2.9999999242136255e-05,4.3000000005122274e-05,2.5999999706982635e-05,2.5999999706982635e-05,1402543,0.0,0.0
2021-11-19 00:00:00+00:00,2.5999999706982635e-05,3.7000001611886546e-05,2.5999999706982635e-05,3.600000127335079e-05,940324,0.0,0.0
2021-11-20 00:00:00+00:00,3.600000127335079e-05,5.0999999075429514e-05,3.099999958067201e-05,3.899999865097925e-05,2895284,0.0,0.0
2021-11-21 00:00:00+00:00,3.899999865097925e-05,4.5000000682193786e-05,3.099999958067201e-05,3.400000059627928e-05,1319485,0.0,0.0
2021-11-22 00:00:00+00:00,3.400000059627928e-05,3.7999998312443495e-05,2.9999999242136255e-05,3.5000000934815034e-05,3125458,0.0,0.0
2021-11-23 00:00:00+00:00,3.5000000934815034e-05,4.5000000682193786e-05,3.300000025774352e-05,4.3000000005122274e-05,3073676,0.0,0.0
2021-11-24 00:00:00+00:00,4.3000000005122274e-05,5.900000178371556e-05,3.9999998989515007e-05,4.099999932805076e-05,2617175,0.0,0.0
2021-11-25 00:00:00+00:00,5.0999999075429514e-05,7.899999764049426e-05,5.0999999075429514e-05,5.700000110664405e-05,5789536,0.0,0.0
2021-11-26 00:00:00+00:00,6.70000008540228e-05,7.200000254670158e-05,5.2999999752501026e-05,6.299999949987978e-05,7005185,0.0,0.0
2021-11-27 00:00:00+00:00,6.299999949987978e-05,8.70000003487803e-05,6.299999949987978e-05,7.899999764049426e-05,7490441,0.0,0.0
2021-11-28 00:00:00+00:00,7.899999764049426e-05,8.399999933317304e-05,6.199999916134402e-05,8.399999933317304e-05,6534480,0.0,0.0
2021-11-29 00:00:00+00:00,8.399999933317304e-05,9.200000204145908e-05,7.699999696342275e-05,8.800000068731606e-05,6892166,0.0,0.0
2021-11-30 00:00:00+00:00,8.800000068731606e-05,9.100000170292333e-05,6.900000153109431e-05,7.999999797903001e-05,7133034,0.0,0.0
2021-12-01 00:00:00+00:00,7.999999797903001e-05,8.499999967170879e-05,7.000000186963007e-05,7.400000322377309e-05,7018193,0.0,0.0
2021-12-02 00:00:00+00:00,7.400000322377309e-05,7.599999662488699e-05,5.8000001445179805e-05,6.900000153109431e-05,7707876,0.0,0.0
2021-12-03 00:00:00+00:00,6.900000153109431e-05,7.000000186963007e-05,5.0999999075429514e-05,5.500000042957254e-05,5973286,0.0,0.0
2021-12-04 00:00:00+00:00,5.500000042957254e-05,5.8000001445179805e-05,3.899999865097925e-05,4.600000102072954e-05,4259563,0.0,0.0
2021-12-05 00:00:00+00:00,4.600000102072954e-05,5.0999999075429514e-05,3.7999998312443495e-05,3.7999998312443495e-05,3941669,0.0,0.0
2021-12-06 00:00:00+00:00,3.899999865097925e-05,4.400000034365803e-05,2.9000000722589903e-05,4.400000034365803e-05,4972945,0.0,0.0
2021-12-07 00:00:00+00:00,4.400000034365803e-05,4.999999873689376e-05,3.7000001611886546e-05,3.7000001611886546e-05,3177521,0.0,0.0
2021-12-08 00:00:00+00:00,3.7000001611886546e-05,4.099999932805076e-05,3.600000127335079e-05,4.099999932805076e-05,1729608,0.0,0.0
2021-12-09 00:00:00+00:00,4.099999932805076e-05,4.70000013592653e-05,3.5000000934815034e-05,3.600000127335079e-05,2338207,0.0,0.0
2021-12-10 00:00:00+00:00,3.600000127335079e-05,4.8999998398358e-05,3.400000059627928e-05,4.099999932805076e-05,2863878,0.0,0.0
2021-12-11 00:00:00+00:00,4.099999932805076e-05,4.400000034365803e-05,3.899999865097925e-05,4.099999932805076e-05,2214802,0.0,0.0
2021-12-12 00:00:00+00:00,4.099999932805076e-05,5.700000110664405e-05,4.099999932805076e-05,5.700000110664405e-05,2761710,0.0,0.0
2021-12-13 00:00:00+00:00,5.700000110664405e-05,5.700000110664405e-05,4.099999932805076e-05,4.3000000005122274e-05,2399695,0.0,0.0
2021-12-14 00:00:00+00:00,4.3000000005122274e-05,4.999999873689376e-05,3.9999998989515007e-05,4.999999873689376e-05,2353433,0.0,0.0
2021-12-15 00:00:00+00:00,4.999999873689376e-05,5.199999941396527e-05,4.5000000682193786e-05,5.199999941396527e-05,1504300,0.0,0.0
2021-12-16 00:00:00+00:00,5.199999941396527e-05,5.2999999752501026e-05,4.70000013592653e-05,4.70000013592653e-05,1413516,0.0,0.0
2021-12-17 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,4.099999932805076e-05,4.099999932805076e-05,1389029,0.0,0.0
2021-12-18 00:00:00+00:00,4.099999932805076e-05,4.3000000005122274e-05,3.899999865097925e-05,4.099999932805076e-05,1063764,0.0,0.0
2021-12-19 00:00:00+00:00,4.099999932805076e-05,4.099999932805076e-05,3.300000025774352e-05,3.400000059627928e-05,1290519,0.0,0.0
2021-12-20 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,2.9000000722589903e-05,3.400000059627928e-05,1414520,0.0,0.0
2021-12-21 00:00:00+00:00,3.400000059627928e-05,3.7999998312443495e-05,3.300000025774352e-05,3.600000127335079e-05,1321758,0.0,0.0
2021-12-22 00:00:00+00:00,3.600000127335079e-05,3.7000001611886546e-05,3.199999991920777e-05,3.600000127335079e-05,929116,0.0,0.0
2021-12-23 00:00:00+00:00,3.600000127335079e-05,4.600000102072954e-05,3.600000127335079e-05,4.400000034365803e-05,1443395,0.0,0.0
2021-12-24 00:00:00+00:00,4.400000034365803e-05,4.5000000682193786e-05,3.7000001611886546e-05,4.099999932805076e-05,1546383,0.0,0.0
2021-12-25 00:00:00+00:00,4.099999932805076e-05,4.3000000005122274e-05,3.7999998312443495e-05,3.899999865097925e-05,799933,0.0,0.0
2021-12-26 00:00:00+00:00,3.899999865097925e-05,4.3000000005122274e-05,3.7000001611886546e-05,4.199999966658652e-05,1135082,0.0,0.0
2021-12-27 00:00:00+00:00,4.199999966658652e-05,5.500000042957254e-05,3.400000059627928e-05,3.7000001611886546e-05,1467550,0.0,0.0
2021-12-28 00:00:00+00:00,3.7000001611886546e-05,3.899999865097925e-05,3.099999958067201e-05,3.600000127335079e-05,1590914,0.0,0.0
2021-12-29 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.099999958067201e-05,3.199999991920777e-05,1642354,0.0,0.0
2021-12-30 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,2.700000004551839e-05,2.8000000384054147e-05,1787812,0.0,0.0
2021-12-31 00:00:00+00:00,2.8000000384054147e-05,3.600000127335079e-05,2.8000000384054147e-05,2.9999999242136255e-05,1505644,0.0,0.0
2022-01-01 00:00:00+00:00,2.9999999242136255e-05,3.300000025774352e-05,2.9999999242136255e-05,3.099999958067201e-05,866946,0.0,0.0
2022-01-02 00:00:00+00:00,3.099999958067201e-05,3.600000127335079e-05,3.099999958067201e-05,3.300000025774352e-05,931992,0.0,0.0
2022-01-03 00:00:00+00:00,3.300000025774352e-05,3.7999998312443495e-05,3.300000025774352e-05,3.400000059627928e-05,1291591,0.0,0.0
2022-01-04 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,3.099999958067201e-05,3.199999991920777e-05,1482087,0.0,0.0
2022-01-05 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,2.5999999706982635e-05,3.099999958067201e-05,2060549,0.0,0.0
2022-01-06 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,2.5999999706982635e-05,2.700000004551839e-05,1635574,0.0,0.0
2022-01-07 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,1.9999999494757503e-05,2.099999983329326e-05,2150394,0.0,0.0
2022-01-08 00:00:00+00:00,2.099999983329326e-05,2.4000000848900527e-05,2.099999983329326e-05,2.099999983329326e-05,1464803,0.0,0.0
2022-01-09 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.8999999156221747e-05,1.8999999156221747e-05,989590,0.0,0.0
2022-01-10 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,1.5999999959603883e-05,1.8999999156221747e-05,1549157,0.0,0.0
2022-01-11 00:00:00+00:00,1.8999999156221747e-05,2.2000000171829015e-05,1.8000000636675395e-05,2.2000000171829015e-05,1299853,0.0,0.0
2022-01-12 00:00:00+00:00,2.2000000171829015e-05,2.700000004551839e-05,2.099999983329326e-05,2.4000000848900527e-05,992238,0.0,0.0
2022-01-13 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.099999983329326e-05,2.2000000171829015e-05,853950,0.0,0.0
2022-01-14 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,1.8999999156221747e-05,2.4000000848900527e-05,778860,0.0,0.0
2022-01-15 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.300000051036477e-05,659674,0.0,0.0
2022-01-16 00:00:00+00:00,2.300000051036477e-05,2.499999936844688e-05,2.099999983329326e-05,2.099999983329326e-05,673622,0.0,0.0
2022-01-17 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.8000000636675395e-05,1.8000000636675395e-05,888002,0.0,0.0
2022-01-18 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.4999999621068127e-05,939757,0.0,0.0
2022-01-19 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.4000000192027073e-05,935773,0.0,0.0
2022-01-20 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.2999999853491317e-05,588078,0.0,0.0
2022-01-21 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,7.999999979801942e-06,9.000000318337698e-06,1366405,0.0,0.0
2022-01-22 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,1020664,0.0,0.0
2022-01-23 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,7.999999979801942e-06,9.000000318337698e-06,848866,0.0,0.0
2022-01-24 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,9.000000318337698e-06,687918,0.0,0.0
2022-01-25 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,393423,0.0,0.0
2022-01-26 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,480423,0.0,0.0
2022-01-27 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,9.000000318337698e-06,481184,0.0,0.0
2022-01-28 00:00:00+00:00,9.000000318337698e-06,1.2000000424450263e-05,9.000000318337698e-06,1.2000000424450263e-05,712349,0.0,0.0
2022-01-29 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.4000000192027073e-05,683258,0.0,0.0
2022-01-30 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,597188,0.0,0.0
2022-01-31 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2999999853491317e-05,427994,0.0,0.0
