TIMESTAMP,LOOPY_OPEN_PRICE_USD,LOOPY_HIGH_PRICE_USD,LOOPY_LOW_PRICE_USD,LOOPY_CLOSE_PRICE_USD,LOOPY_VOLUME_USD,LOOPY_DIVIDENDS_USD,LOOPY_STOCK_SPLITS_USD
2024-03-28 00:00:00+00:00,0.0002739999908953905,0.0009670000290498137,0.0001740000006975606,0.0008089999901130795,16383412,0.0,0.0
2024-03-29 00:00:00+00:00,0.0008089999901130795,0.0008089999901130795,0.0002730000123847276,0.0003650000144261867,15189858,0.0,0.0
2024-03-30 00:00:00+00:00,0.00036299999919719994,0.00044100001105107367,0.00019999999494757503,0.00022499999613501132,4987880,0.0,0.0
2024-03-31 00:00:00+00:00,0.00022499999613501132,0.00037299998803064227,0.00019999999494757503,0.00027600000612437725,2890553,0.0,0.0
2024-04-01 00:00:00+00:00,0.00027600000612437725,0.0002880000101868063,0.00012599999899975955,0.00013499999477062374,2972367,0.0,0.0
2024-04-02 00:00:00+00:00,0.00013499999477062374,0.00014600000577047467,9.100000170292333e-05,9.40000027185306e-05,3291465,0.0,0.0
2024-04-03 00:00:00+00:00,9.40000027185306e-05,9.7999996796716e-05,7.699999696342275e-05,8.199999865610152e-05,2189564,0.0,0.0
2024-04-04 00:00:00+00:00,8.199999865610152e-05,8.199999865610152e-05,6.900000153109431e-05,7.000000186963007e-05,2327808,0.0,0.0
2024-04-05 00:00:00+00:00,7.000000186963007e-05,7.599999662488699e-05,5.8000001445179805e-05,5.900000178371556e-05,2156811,0.0,0.0
2024-04-06 00:00:00+00:00,5.900000178371556e-05,6.600000051548705e-05,5.900000178371556e-05,6.299999949987978e-05,1329933,0.0,0.0
2024-04-07 00:00:00+00:00,6.299999949987978e-05,7.100000220816582e-05,6.199999916134402e-05,7.000000186963007e-05,1368256,0.0,0.0
2024-04-08 00:00:00+00:00,7.000000186963007e-05,7.400000322377309e-05,6.70000008540228e-05,7.300000288523734e-05,2516579,0.0,0.0
2024-04-09 00:00:00+00:00,7.300000288523734e-05,7.300000288523734e-05,6.70000008540228e-05,7.000000186963007e-05,2141760,0.0,0.0
